project_name,path,upstream,commit,license,purpose,project_dependency,runtime_dependency,reference_only,paper_related,simulation_related,status
EXUDYN,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_EXUDYN/EXUDYN,https://github.com/jgerstmayr/EXUDYN,b428cda78ef745e2092e7d202e72d84881bf4667,BSD-like (EXUDYN General License v1.0; LICENSE.txt),"Python/C++ flexible multibody dynamics, native ANCF beam elements (Gerstmayr); named cross-solver for e15 REPEAT_ANCF_CERTIFICATION",true,false,true,true,true,active_reference
MATLAB_space_debri_capturing_sim,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_MATLAB_space_debri_capturing_sim/MATLAB_space_debri_capturing_sim,https://github.com/Space-Robotics-Laboratory/MATLAB_space_debri_capturing_sim,5a65450f1750819ffe90a3cc33f326deba72d1cc,MIT (LICENSE),"2D/3D debris capture sim on SpaceDyn: IK, contact force, capture judgment; closest工况 method reference for V2 contact capture",true,false,true,true,true,active_reference
SPART,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_SPART/SPART,https://github.com/NPS-SRL/SPART,1365c7e6f345255a700936511b8abfd58d179016,LGPL-3.0 (LICENSE.md),"URDF-based floating-base kinematics/dynamics + GJM toolkit (NPS-SRL); independent cross-validator ONLY (copyleft: no source into deliverables); stale 2018; joint-mapping self-check required before any comparison",true,false,true,true,true,active_reference
SpaceDyn,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_SpaceDyn/SpaceDyn,https://github.com/Space-Robotics-Laboratory/SpaceDyn,57e5d608cb959338b1bcec6bc34249d959815036,UNKNOWN (no LICENSE file = all rights reserved) [HOLD],"Umetani-Yoshida free-floating dynamics original MATLAB/C++ implementation; ETS-VII heritage; method reading only, no code copy",true,false,true,true,true,active_reference
SpaceDyn_python,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_SpaceDyn_python/SpaceDyn_python,https://github.com/gabrielegilardi/SpaceDyn,09ca449bd8d846e3261657bae4d94c48c886b3ea,MIT (LICENSE),"Python port (WIP, stale since 2021) of SpaceDyn for Python-side cross-reading",true,false,true,false,true,active_reference
spacedyn_freefloating_demo,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_spacedyn_freefloating_demo/spacedyn_freefloating_demo,UNKNOWN (locally authored by project agents 2026-07; no upstream),N/A (no .git),UNKNOWN (no LICENSE) [HOLD],"Project-authored SpaceDyn free-floating demo scripts + RUNTIME_STATUS logs; learning scaffold, not engineering truth",true,false,true,false,true,teaching
oresat_structure,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_oresat_structure/oresat_structure,https://github.com/oresat/oresat-structure,4c02299f908e8b60afd23ca562b4ec418d51ce56,"CERN-OHL-S-v2 (LICENSE/cern_ohl_s_v2.pdf; NOTE: REFERENCE_INDEX.json 2026-07-27 recorded UNKNOWN_LICENSE - refined here)","OreSat CubeSat full SolidWorks structure; upstream DEPRECATED (moved to Onshape 2022); use = mass-list composition logic only, NO geometry into project",true,false,true,true,false,donor
space_robotics_bench,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_space_robotics_bench/space_robotics_bench,https://github.com/AndrejOrsula/space_robotics_bench,7528ff81f1ac0b34ba259b1ae150fdb4f6a90b5e,Apache-2.0 (LICENSE-APACHE),"Isaac Sim space-robot environment/task benchmark with RL baselines; V4 VLA data-gen scaffold; Isaac Sim gate unverified -> post-competition",true,false,true,true,true,active_reference
spaceros_demos,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1_spaceros_demos/spaceros_demos,https://github.com/space-ros/demos,c5e4784255bc1866af15cc2bf1136ba5ef6950e3,Apache-2.0 (LICENSE),"Space ROS demos (Canadarm2+MoveIt2, rovers); value = engineering organization of large space-arm URDF+sim+planning; fixed-base dynamics NOT transferable",true,false,true,true,true,active_reference
basilisk,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_03_space_dynamics/03_space_dynamics/repos/basilisk,https://github.com/AVSLab/basilisk,27eb48a28d10e31d12e5d1dfbcd3d0d9621c1c37 (manifest-recorded; .git stripped),ISC (verified from LICENSE + pyproject by 20260805 redteam),"Astrodynamics framework: 6-DOF spacecraft + spinningBodyNDOFStateEffector arm + flex panels; highest-quality repo in batch; build risk on Windows (VS2022+conan+swig) -> sandbox benchmark candidate only",true,false,true,true,true,active_reference
astrobee,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/astrobee,https://github.com/nasa/astrobee,bf43a42d5f89bf0679e51ab25e7a9b7800313e9c,Apache-2.0 (LICENSE; third-party deps include CC-BY-NC-SA/Non-commercial - registered),"NASA ISS free-flyer robot software; layered autonomy (executive/plan/behavior) + fail-safe architecture reference for SAFE-00; in-cabin air-propulsion dynamics NOT transferable; 2 intranet submodules can never be fully pulled",true,false,true,true,true,active_reference
isaac,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/isaac,https://github.com/nasa/isaac,3578a0dfa178e7fad357a02a87d83018209c150b,Apache-2.0 (LICENSE),"NASA ISAAC task planning / anomaly detection / replanning architecture reference; stale since 2024-08; cascades on Astrobee",true,false,true,true,false,active_reference
int-ball2_simulator,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/int-ball2_simulator,https://github.com/jaxa/int-ball2_simulator,e88db9d08f8c2f43c4054b047b00712b513a1c60,Apache-2.0 (LICENSE),"JAXA Int-Ball2 ROS1/Gazebo simulator; INSTALL.md self-reports Melodic+Ubuntu18.04 (EOL 2023); no manipulator; 1.5GB mostly ISS meshes; REJECT verdict 2026-08-05",true,false,true,false,true,superseded
int-ball2_isaac_sim,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/int-ball2_isaac_sim,https://github.com/sd-robotics/int-ball2_isaac_sim,29be0d23c87bca7d1f65e826a55f3500beb6c544,Apache-2.0 (LICENSE),"Int-Ball2 Isaac Sim integration example (ROS2); in-cabin platform; Isaac Sim hardware/license gate unverified -> post-competition",true,false,true,false,true,active_reference
space-ros,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/space-ros,https://github.com/space-ros/space-ros,749aabd8820dceee6fad7347e014002774906d89,"UNKNOWN (no LICENSE at root, redteam-verified) [HOLD]","Hardened ROS2 distribution packaging scaffold (Earthly/Docker/IKOS); contains NO dynamics; REJECT verdict; narrative material only",true,false,true,false,false,superseded
freecad.robotcad,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/freecad.robotcad,https://github.com/drfenixion/freecad.robotcad,ecac7664f5fff0295567a841fe0273e68907d65e,LGPL-2.1-or-later (LICENSE + package.xml),"FreeCAD RobotCAD workbench (CAD->URDF/xacro export, auto mass/inertia recompute); HIGHEST RISK ITEM: must never be installed into the pinned authoritative FreeCAD env; URDF round-trip could overwrite accepted inertial",true,false,true,false,false,active_reference
FreeCAD_Assembly4.1,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_04_robotics_software/04_robotics_software/repos/FreeCAD_Assembly4.1,https://github.com/leoheck/FreeCAD_Assembly4.1,6d768ca7c21b2abc157b646d3c1823a99d69063d,LGPL-2.1 (LICENSE),"FreeCAD Assembly4 LCS-driven assembly workbench; read LCS/CS_VISUAL_MOUNT design ideas only; do NOT install or replace the tested native assembly chain; TOP_12 verdict REJECT (misclassified into batch)",true,false,true,false,false,superseded
speedplusbaseline,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_05_perception_datasets/05_perception_datasets/repos/speedplusbaseline,https://github.com/tpark94/speedplusbaseline,cc904248bb0b7fd781c1891b07bd3e16aca12e6a,MIT (LICENSE.md),"SPEED+ pose-estimation baseline code (dataset itself NOT downloaded); pinned torch1.8/py3.7 cannot run on main env; related-work citation only; cannot support grasp/contact/force/VLA claims",true,false,true,true,false,active_reference
ANCF_beam,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_06_flexible_multibody/06_flexible_multibody/repos/ANCF_beam,https://github.com/rserban/ANCF_beam,00e8e8327d1049a518666d478515aed665c52341,"UNKNOWN (no LICENSE, redteam-verified) [HOLD]","Gradient-deficient ANCF beam/cable MATLAB implementation; stale 2018; method reading only; NOT applicable to plate/shell solar-sail verification (e15)",true,false,true,false,true,superseded
chrono,F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/chrono,https://github.com/projectchrono/chrono,24c78cf889de1105be3742cec9586f662cc52b05,BSD-3-Clause (LICENSE),"Project Chrono rigid/flexible multibody + FE/contact engine; clean full checkout exists in ROOT A as reference-only vendor, while the attempted ROOT B clone is absent; zero runtime imports; move/index decision remains a two-root HOLD",true,false,true,false,true,active_reference_external_to_B
SpaceRobotEnv,F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/external/spacecraft_layout_refs/spacerobotenv/SpaceRobotEnv,https://github.com/Tsinghua-Space-Robot-Learning-Group/SpaceRobotEnv,155989c2ae94a3afeedf9b8601b6125d83b9c097,Apache-2.0 (LICENSE),"Legacy Gym+mujoco-py free-floating 6-DoF UR5 state/image/dual-arm/reorientation/point-cloud environments and RL baselines; reference only, not B601 or project-certified dynamics; identical duplicate under F:/Robotic arm/High_performance_robotics_arm/external/spacecraft_layout_refs/spacerobotenv/SpaceRobotEnv",true,false,true,true,true,active_reference
High_performance_robotics_arm,F:/Robotic arm/High_performance_robotics_arm,UNKNOWN (no git remote; local-only history),2d769d7104bf920129e641fd13378e6ed2ff7cf9 (2026-06-09),UNKNOWN (no root LICENSE) [HOLD],"Predecessor B601-DM workspace (CAD/URDF/control/sim donor; historical lineage of accepted URDF); F:/Robotic arm root itself in HOLD per CM; runtime dependency already reclaimed to 0",true,false,true,false,true,donor
zero-robotic-arm,F:/Robotic arm/zero-robotic-arm,https://gitee.com/dearxie/zero-robotic-arm.git,c16b4be639d1619073dfe629cf37750dfc1d7c54 (2025-12-26),GPL-2.0 (LICENSE),"ZERO desktop 6-DOF arm open-source package; includes SolidWorks/Simulink and tracked clean 5. Deep_LR Gymnasium/MuJoCo/Stable-Baselines3 TD3 teaching case (14 files / 38,422,631 B; README says handwritten TD3 unvalidated); parent worktree has 26 porcelain entries; no SEI engineering role",false,false,true,false,true,teaching
reBot-DevArm (HPRA vendor clone),F:/Robotic arm/High_performance_robotics_arm/vendor/reBot-DevArm,https://github.com/Seeed-Projects/reBot-DevArm.git,71a1a6e662c3935c83d46e11c8d610d1e92b0486,CERN-OHL-W-v2 (LICENSE),"Seeed reBot B601-DM hardware docs/STEP - gripper/arm hardware donor; the AUTHORITATIVE runtime copy is inside ROOT A (80_third_party/vendor/reBot-DevArm, gitignored); this clone is a duplicate",true,false,true,false,false,donor
reBotArmController_ROS2,F:/Robotic arm/High_performance_robotics_arm/vendor/reBotArmController_ROS2,https://github.com/Seeed-Projects/reBotArmController_ROS2.git,319100d3ebb529d43c5a874fa92104fa1062493f,UNKNOWN (no LICENSE at root) [HOLD],"Seeed ROS2 (Jazzy) controller packages for reBot arm: bringup/moveit_config/moveit_demos/msgs/controller; ROS2 control workspace reference (Linux/WSL side)",true,false,true,false,true,donor
Pendulum-DDPG,F:/Project/Pendulum-DDPG,https://github.com/vehiclewaxberry/Pendulum-DDPG.git,2540c41 (2026-05-02),UNKNOWN (not verified) [HOLD],"DDPG pendulum RL teaching code; marginal SEI relevance (control-learning only)",false,false,true,false,false,teaching
REFLIB ingestion toolset,F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB1__tools/_tools,UNKNOWN (locally authored),N/A,UNKNOWN (no LICENSE) [HOLD],"clone/build/fetch scripts used to assemble this library (clone_references.sh, build_index.py, fetch_ntrs.py, fetch_arxiv.py); companion tools at F:/SPACE_ROBOTICS_REFERENCE_LIBRARY/REFLIB2_00_manifest/00_manifest/tools; library maintenance provenance, not a project asset",true,false,true,false,false,teaching
