script,child,line,urdf_origin_numbers_exact_match,parent_match,axis_match_when_present,limits_match_when_present
a3_02_robust_stow.py,link1,30,True,True,True,True
a3_02_robust_stow.py,link2,30,True,True,True,True
a3_02_robust_stow.py,link3,30,True,True,True,True
a3_02_robust_stow.py,link4,30,True,True,True,True
a3_02_robust_stow.py,link5,30,True,True,True,True
a3_02_robust_stow.py,link6,30,True,True,True,True
a3_02_robust_stow.py,gripper_link,36,True,True,True,True
a3_02_robust_stow.py,gripper_left,36,True,True,True,True
a3_02_robust_stow.py,gripper_right,36,True,True,True,True
a3_02b_corridor_in_box.py,link1,30,True,True,True,True
a3_02b_corridor_in_box.py,link2,30,True,True,True,True
a3_02b_corridor_in_box.py,link3,30,True,True,True,True
a3_02b_corridor_in_box.py,link4,30,True,True,True,True
a3_02b_corridor_in_box.py,link5,30,True,True,True,True
a3_02b_corridor_in_box.py,link6,30,True,True,True,True
a3_02b_corridor_in_box.py,gripper_link,36,True,True,True,True
a3_02b_corridor_in_box.py,gripper_left,36,True,True,True,True
a3_02b_corridor_in_box.py,gripper_right,36,True,True,True,True
a3_02c_envelope_authority_correction.py,link1,51,True,True,True,True
a3_02c_envelope_authority_correction.py,link2,51,True,True,True,True
a3_02c_envelope_authority_correction.py,link3,51,True,True,True,True
a3_02c_envelope_authority_correction.py,link4,51,True,True,True,True
a3_02c_envelope_authority_correction.py,link5,51,True,True,True,True
a3_02c_envelope_authority_correction.py,link6,51,True,True,True,True
a3_02c_envelope_authority_correction.py,gripper_link,57,True,True,True,True
a3_02c_envelope_authority_correction.py,gripper_left,57,True,True,True,True
a3_02c_envelope_authority_correction.py,gripper_right,57,True,True,True,True
a3_02d_fullsystem_reopt.py,link1,32,True,True,True,True
a3_02d_fullsystem_reopt.py,link2,32,True,True,True,True
a3_02d_fullsystem_reopt.py,link3,32,True,True,True,True
a3_02d_fullsystem_reopt.py,link4,32,True,True,True,True
a3_02d_fullsystem_reopt.py,link5,32,True,True,True,True
a3_02d_fullsystem_reopt.py,link6,32,True,True,True,True
a3_02d_fullsystem_reopt.py,gripper_link,38,True,True,True,True
a3_02d_fullsystem_reopt.py,gripper_left,38,True,True,True,True
a3_02d_fullsystem_reopt.py,gripper_right,38,True,True,True,True
a3_03_deployer_zone_and_ejection.py,link1,78,True,True,True,True
a3_03_deployer_zone_and_ejection.py,link2,78,True,True,True,True
a3_03_deployer_zone_and_ejection.py,link3,78,True,True,True,True
a3_03_deployer_zone_and_ejection.py,link4,78,True,True,True,True
a3_03_deployer_zone_and_ejection.py,link5,78,True,True,True,True
a3_03_deployer_zone_and_ejection.py,link6,78,True,True,True,True
a3_03_deployer_zone_and_ejection.py,gripper_link,84,True,True,True,True
a3_03_deployer_zone_and_ejection.py,gripper_left,84,True,True,True,True
a3_03_deployer_zone_and_ejection.py,gripper_right,84,True,True,True,True
a3_03b_station_rail_ejection.py,link1,20,True,True,True,True
a3_03b_station_rail_ejection.py,link2,20,True,True,True,True
a3_03b_station_rail_ejection.py,link3,20,True,True,True,True
a3_03b_station_rail_ejection.py,link4,20,True,True,True,True
a3_03b_station_rail_ejection.py,link5,20,True,True,True,True
a3_03b_station_rail_ejection.py,link6,20,True,True,True,True
a3_04_fullarm_station_attribution.py,link1,47,True,True,True,True
a3_04_fullarm_station_attribution.py,link2,47,True,True,True,True
a3_04_fullarm_station_attribution.py,link3,47,True,True,True,True
a3_04_fullarm_station_attribution.py,link4,47,True,True,True,True
a3_04_fullarm_station_attribution.py,link5,47,True,True,True,True
a3_04_fullarm_station_attribution.py,link6,47,True,True,True,True
a3_04_fullarm_station_attribution.py,gripper_link,53,True,True,True,True
a3_04_fullarm_station_attribution.py,gripper_left,53,True,True,True,True
a3_04_fullarm_station_attribution.py,gripper_right,53,True,True,True,True
a3_04b_zones_pockets_gate.py,link1,21,True,True,True,True
a3_04b_zones_pockets_gate.py,link2,21,True,True,True,True
a3_04b_zones_pockets_gate.py,link3,21,True,True,True,True
a3_04b_zones_pockets_gate.py,link4,21,True,True,True,True
a3_04b_zones_pockets_gate.py,link5,21,True,True,True,True
a3_04b_zones_pockets_gate.py,link6,21,True,True,True,True
a3_04b_zones_pockets_gate.py,gripper_link,27,True,True,True,True
a3_04b_zones_pockets_gate.py,gripper_left,27,True,True,True,True
a3_04b_zones_pockets_gate.py,gripper_right,27,True,True,True,True
