document,object_name,object_type,label,source_path,shape_file
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,DESIGN_FREEZE_ASSEMBLY_V1,App::Part,DESIGN_FREEZE_ASSEMBLY_V1,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin,App::Origin,Origin,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,X_Axis,App::Line,X-axis,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Y_Axis,App::Line,Y-axis,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Z_Axis,App::Line,Z-axis,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XY_Plane,App::Plane,XY-plane,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XZ_Plane,App::Plane,XZ-plane,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,YZ_Plane,App::Plane,YZ-plane,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin001,App::Point,Origin001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SOURCE_GEOMETRY_LIBRARY,App::Part,SOURCE_GEOMETRY_LIBRARY__EMBEDDED_ACTIVE_COPIES,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin002,App::Origin,Origin004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,X_Axis001,App::Line,X-axis001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Y_Axis001,App::Line,Y-axis001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Z_Axis001,App::Line,Z-axis001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XY_Plane001,App::Plane,XY-plane001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XZ_Plane001,App::Plane,XZ-plane001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,YZ_Plane001,App::Plane,YZ-plane001,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin003,App::Point,Origin003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INSTALLED_COMPONENT_LINKS,App::Part,INSTALLED_COMPONENT_LINKS__DEFAULT_CONFIGURATION,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin004,App::Origin,Origin007,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,X_Axis002,App::Line,X-axis002,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Y_Axis002,App::Line,Y-axis002,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Z_Axis002,App::Line,Z-axis002,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XY_Plane002,App::Plane,XY-plane002,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XZ_Plane002,App::Plane,XZ-plane002,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,YZ_Plane002,App::Plane,YZ-plane002,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin005,App::Point,Origin006,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,DESIGN_CANDIDATE_COMPONENTS,App::Part,DESIGN_CANDIDATE_COMPONENTS__EVIDENCE_ONLY_NOT_EXPORTED,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin006,App::Origin,Origin010,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,X_Axis003,App::Line,X-axis003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Y_Axis003,App::Line,Y-axis003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Z_Axis003,App::Line,Z-axis003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XY_Plane003,App::Plane,XY-plane003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XZ_Plane003,App::Plane,XZ-plane003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,YZ_Plane003,App::Plane,YZ-plane003,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin007,App::Point,Origin009,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,UNRESOLVED_COMPONENT_SLOTS,App::Part,UNRESOLVED_COMPONENT_SLOTS__HOLD,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin008,App::Origin,Origin012,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,X_Axis004,App::Line,X-axis004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Y_Axis004,App::Line,Y-axis004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Z_Axis004,App::Line,Z-axis004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XY_Plane004,App::Plane,XY-plane004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,XZ_Plane004,App::Plane,XZ-plane004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,YZ_Plane004,App::Plane,YZ-plane004,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,Origin009,App::Point,Origin011,,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_BUS_12U_CORE,Part::Feature,SRC_BUS_12U_CORE__V0_ANALYTIC_RECONSTRUCTION__LEGACY_FLANGE_TAGGED_REFERENCE,20_engineering/cad/spacecraft_layout/model_specs_v0.json::servicer_12U_v0.primitives,SRC_BUS_12U_CORE.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_SOLAR_ARRAY_LEFT,Part::Feature,SRC_SOLAR_ARRAY_LEFT__DEPLOYED_PLATE_PROXY,20_engineering/cad/spacecraft_layout/model_specs_v0.json::solar_panel_left,SRC_SOLAR_ARRAY_LEFT.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_SOLAR_ARRAY_RIGHT,Part::Feature,SRC_SOLAR_ARRAY_RIGHT__DEPLOYED_PLATE_PROXY,20_engineering/cad/spacecraft_layout/model_specs_v0.json::solar_panel_right,SRC_SOLAR_ARRAY_RIGHT.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_B601_ARM_CORE_Q0,Part::Feature,SRC_B601_ARM_CORE_Q0__FRAME_AXIS_WITNESS,20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY_Q0_WITNESS.step,SRC_B601_ARM_CORE_Q0.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_M3R_INTERFACE_ASSEMBLY,Part::Feature,SRC_M3R_INTERFACE_ASSEMBLY__WORKING_BREP,20_engineering/F3R2_MECHANICAL_DETAILED_DESIGN_V1/06_parameterized_parts/m3r/M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,SRC_M3R_INTERFACE_ASSEMBLY.Shape.brp
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,SRC_GRIPPER_R1_PALM,Part::Feature,SRC_GRIPPER_R1_PALM__CORRECTED_NEUTRAL_BREP,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/B601_GRIPPER_PALM_RAIL_SLOT_R1.step,SRC_GRIPPER_R1_PALM.Shape.brp
