path,index_blob_bytes
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/cad/history_v1/WP09D_SERVICE.SLDASM,0
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/logs/native_delta_hierarchy_service_conflict/WP09D_SERVICE.SLDASM,0
20_engineering/cad/freecad_authoritative/B51R1_MASTER_SKELETON_FREECAD.FCStd,9822
20_engineering/cad/freecad_authoritative/B601_BASE_ADAPTER.FCStd,72106
20_engineering/cad/freecad_authoritative/B601_BASE_ADAPTER.step,52223
20_engineering/cad/freecad_authoritative/B601_BASE_ADAPTER_DRAWING.FCStd,19270
20_engineering/cad/freecad_authoritative/B601_BASE_ADAPTER_FEM.FCStd,4684706
20_engineering/cad/freecad_authoritative/B601_CARRIER_BASE_LINK.FCStd,4384
20_engineering/cad/freecad_authoritative/B601_CARRIER_GRIPPER_LEFT.FCStd,4871
20_engineering/cad/freecad_authoritative/B601_CARRIER_GRIPPER_LINK.FCStd,5504
20_engineering/cad/freecad_authoritative/B601_CARRIER_GRIPPER_RIGHT.FCStd,4870
20_engineering/cad/freecad_authoritative/B601_CARRIER_LINK1.FCStd,5211
20_engineering/cad/freecad_authoritative/B601_CARRIER_LINK2.FCStd,5191
20_engineering/cad/freecad_authoritative/B601_CARRIER_LINK3.FCStd,5181
20_engineering/cad/freecad_authoritative/B601_CARRIER_LINK4.FCStd,5212
20_engineering/cad/freecad_authoritative/B601_CARRIER_LINK5.FCStd,5197
20_engineering/cad/freecad_authoritative/B601_CARRIER_LINK6.FCStd,5211
20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY.FCStd,7572
20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY_DEPLOYED_NOMINAL_WITNESS.step,27423
20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY_PARTIAL_WITNESS.step,27791
20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY_Q0_WITNESS.step,26464
20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY_SERVICE_WITNESS.step,27118
20_engineering/cad/freecad_authoritative/B601_KINEMATIC_ASSEMBLY_STOWED_WITNESS.step,27559
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_BASE_LINK.FCStd,169765
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_GRIPPER_LEFT.FCStd,43586
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_GRIPPER_LINK.FCStd,6712492
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_GRIPPER_RIGHT.FCStd,43566
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_LINK1.FCStd,6920751
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_LINK2.FCStd,6512950
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_LINK3.FCStd,6335862
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_LINK4.FCStd,16569916
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_LINK5.FCStd,77150
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/B601_HIFI_VISUAL_LINK6.FCStd,472050
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/F3_P3_TOP_ASSEMBLY.FCStd,43906276
20_engineering/cad/reference_donors/HAGA_HIFI_FREECAD/SPACE_EMBODIED_ROBOT_TOP_INTEGRATION_F3P3.FCStd,26734
20_engineering/cad/spacecraft_layout/robot_mount_adapter_v0/robot_mount_adapter_v0.step,19656
20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.step,78000
20_engineering/cad/spacecraft_layout/servicer_6U_v0/robot_mount_adapter_v0.SLDPRT.SLDPRT,72076
20_engineering/cad/spacecraft_layout/servicer_6U_v0/servicer_6U_v0.step,77599
20_engineering/cad/spacecraft_layout/target_debris_v0/target_debris_v0.step,57708
20_engineering/cad/spacecraft_layout/target_satellite_v0/target_satellite_v0.step,51580
