instance,kind,volume_mm3,al_equivalent_mass_kg,mass_kg_allocated,mass_basis,representation_role
e2_pin_wing_H05,WING_PIN,56.259641,0.000151901,,E2_HEADLESS_PRESS_PIN_CANDIDATE; PRESS_FIT_UNKNOWN; WING_ROOT_FORK_PAD_Z-113.15_PHYSICAL_STOP_REGISTERED_SECONDARY; FLUSH_0.2MM_ABOVE_PAD,SIMPLIFIED_PROXY
e2_pin_wing_H06,WING_PIN,56.259641,0.000151901,,E2_HEADLESS_PRESS_PIN_CANDIDATE; PRESS_FIT_UNKNOWN; WING_ROOT_FORK_PAD_Z-113.15_PHYSICAL_STOP_REGISTERED_SECONDARY; FLUSH_0.2MM_ABOVE_PAD,SIMPLIFIED_PROXY
e2_pin_wing_H07,WING_PIN,56.259641,0.000151901,,E2_HEADLESS_PRESS_PIN_CANDIDATE; PRESS_FIT_UNKNOWN; WING_ROOT_FORK_PAD_Z-113.15_PHYSICAL_STOP_REGISTERED_SECONDARY; FLUSH_0.2MM_ABOVE_PAD,SIMPLIFIED_PROXY
e2_pin_wing_H08,WING_PIN,56.259641,0.000151901,,E2_HEADLESS_PRESS_PIN_CANDIDATE; PRESS_FIT_UNKNOWN; WING_ROOT_FORK_PAD_Z-113.15_PHYSICAL_STOP_REGISTERED_SECONDARY; FLUSH_0.2MM_ABOVE_PAD,SIMPLIFIED_PROXY
e2_stub_bay_H01,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H02,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H03,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H04,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H05,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H06,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H07,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_bay_H08,STUB,228.444051,0.000616799,,E2_STUB_BAY_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_out_H01,STUB,228.444051,0.000616799,,E2_STUB_OUTSIDE_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_out_H02,STUB,228.444051,0.000616799,,E2_STUB_OUTSIDE_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_out_H03,STUB,228.444051,0.000616799,,E2_STUB_OUTSIDE_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_stub_out_H04,STUB,228.444051,0.000616799,,E2_STUB_OUTSIDE_HEADED_CANDIDATE; D4.4_IN_EXISTING_D4.5_PAIRED_HOLE; TIP_CLEARS_M4_SCREW_0.1MM; MATERIAL/FIT/LOCKING UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H01,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H02,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H03,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H04,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H05,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H06,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H07,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_bay_H08,WASHER,22.580197,6.0967e-05,,E2_WASHER_ENVELOPE_UNSELECTED_OD7_SHEAR_WEB_CLEARANCE; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_out_H01,WASHER,47.712938,0.000128825,,E2_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_out_H02,WASHER,47.712938,0.000128825,,E2_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_out_H03,WASHER,47.712938,0.000128825,,E2_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e2_washer_out_H04,WASHER,47.712938,0.000128825,,E2_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
