instance,kind,volume_mm3,al_equivalent_mass_kg,mass_kg_allocated,mass_basis,representation_role
e3_clamp_bolt_J01_0,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J01_1,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J02_0,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J02_1,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J03_0,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J03_1,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J04_0,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_bolt_J04_1,CLAMP_BOLT,194.975094,0.000526433,,M3_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; NO_ANTI_CRUSH_SLEEVE_REGISTERED,SIMPLIFIED_PROXY
e3_clamp_washer_J01_0,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_clamp_washer_J01_1,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_clamp_washer_J02_0,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_clamp_washer_J02_1,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_clamp_washer_J03_0,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_clamp_washer_J03_1,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
