pair_id,layer,y_interval_S_mm,od_or_thickness,bearing_face_or_note
E1P-G01-0,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G01-0,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G01-0,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G01-0,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G01-0,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G01-0,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G01-1,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G01-1,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G01-1,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G01-1,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G01-1,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G01-1,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G02-0,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G02-0,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G02-0,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G02-0,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G02-0,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G02-0,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G02-1,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G02-1,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G02-1,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G02-1,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G02-1,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G02-1,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G03-0,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G03-0,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G03-0,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G03-0,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G03-0,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G03-0,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G04-0,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G04-0,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G04-0,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G04-0,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G04-0,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G04-0,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G05-0,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G05-0,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G05-0,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G05-0,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G05-0,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G05-0,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G05-1,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G05-1,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G05-1,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G05-1,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G05-1,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G05-1,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G06-0,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G06-0,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G06-0,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G06-0,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G06-0,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G06-0,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G06-1,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G06-1,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G06-1,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G06-1,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G06-1,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G06-1,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G07-0,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G07-0,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G07-0,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G07-0,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G07-0,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G07-0,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G08-0,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G08-0,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G08-0,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G08-0,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G08-0,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G08-0,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G09-0,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G09-0,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G09-0,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G09-0,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G09-0,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G09-0,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G09-1,head,"[113.65, 116.65]",5.5,头下面 → 垫圈
E1P-G09-1,washer,"[113.15, 113.65]",6,纵梁外腹面 y=+113.150（承压面 Ø6 环）
E1P-G09-1,outer_wall,"[111.15, 113.15]",2,纵梁管外壁
E1P-G09-1,anti_crush_sleeve,"[103.15, 111.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G09-1,inner_wall,"[101.15, 103.15]",2,纵梁管内壁
E1P-G09-1,beam_end_thread,"[93.15, 101.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G10-0,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G10-0,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
