module_id,name_zh,coverage_kind,electrically_active,electrical_interface_exists,required_fields,completion_status,actual_model_selected,electrical_interface_complete,energization_allowed,open_inputs,source_ids
M01,总布置/外包络,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,False,False,,MECHANICAL_DOMAIN_ELECTRICAL_ALLOCATION_PENDING,False,False,False,equipment_placement_and_connector_access;bonding_and_insulation;mechanical_electrical_boundary,wp03_equipment;wp01_interfaces
M02,主次结构连接,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,False,False,,MECHANICAL_DOMAIN_ELECTRICAL_ALLOCATION_PENDING,False,False,False,equipment_placement_and_connector_access;bonding_and_insulation;mechanical_electrical_boundary,wp03_equipment;wp01_interfaces
M03,B601及夹爪,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition;accepted_model_to_OEM_revision_registration;seven_motor_load_profile;regenerative_energy_path;CAN_bitrate_and_termination,b601_voltage;b601_bom;wp02_harness;b601_thermal
M04,保持释放,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces
M05,太阳翼,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces
M06,EPS,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M07,电池,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M08,OBC数据/任务计算,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M09,背板卡笼载板,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,False,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces
M10,ADCS,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M11,通信天线,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M12,感知,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M13,线束连接器,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,False,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;wire_cross_section_mm2;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;wire_cross_section_mm2;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;wp02_harness;route_c_open_inputs
M14,热控EMC,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,False,True,return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,return_bonding_definition;equipment_dissipation_and_thermal_contact_from_actual_devices,wp03_equipment;wp01_interfaces
M15,平移推进,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,wp03_equipment;wp01_interfaces;equipment_candidates
M16,AIT夹具维护,FUNCTIONAL_DOMAIN_NOT_EXCLUSIVE_MASS_OWNER,True,True,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,INTERFACE_DRAFT_OPEN_INPUTS,False,False,False,selected_model;operating_voltage_range_v;continuous_current_a;peak_current_a;connector_part_number;pin_map;return_bonding_definition,b601_bom
