wire_id,net,from_device,from_pin,to_device,to_pin,wire_or_mate,pin_view,design_status,source,cut_length_mm,physical_status,build_approved
A01,ARM_RAW+,PS1,TB2.4,Q1,1,LAPP1120762 2x2.5mm2 core1,NAMED_TERMINALS; no inferred cavity numbering,PIN_DESIGN; TERMINAL_LUG_SELECTION_OPEN,RSP;ETA,,NOT_EXECUTED,False
A02,ARM_Q+,Q1,2,K1,P_IN,LAPP1120762 core1,NAMED_TERMINALS; no inferred cavity numbering,K1_OPEN,ETA,,NOT_EXECUTED,False
A03,ARM_SW+,K1,P_OUT,U1,IN+,LAPP1120762 core1,NAMED_TERMINALS; no inferred cavity numbering,K1_OPEN,REGEN,,NOT_EXECUTED,False
A04,ARM_RET,PS1,TB2.1,K1,R_IN,LAPP1120762 core2,NAMED_TERMINALS; no inferred cavity numbering,K1_OPEN,RSP,,NOT_EXECUTED,False
A05,ARM_RET_SW,K1,R_OUT,U1,IN-,LAPP1120762 core2,NAMED_TERMINALS; no inferred cavity numbering,K1_OPEN,REGEN,,NOT_EXECUTED,False
A06,ARM_RET,PS1,TB2.1,Q1,11,"separate rated reference lead, PN pending",NAMED_TERMINALS; no inferred cavity numbering,REFERENCE_PIN_DESIGN,ETA,,NOT_EXECUTED,False
A07,ARM_BUS+,U1,OUT+,SEP,PWR,LAPP1120762 to OEM copper-lug harness; transition terminal pending,NAMED_TERMINALS; no inferred cavity numbering,V4_SPLITTER_CAVITY_OPEN,DM_PUBLIC;REGEN,,NOT_EXECUTED,False
A08,ARM_BUS_RET,U1,OUT-,SEP,RET,LAPP1120762 to OEM copper-lug harness; transition terminal pending,NAMED_TERMINALS; no inferred cavity numbering,V4_SPLITTER_CAVITY_OPEN,DM_PUBLIC;REGEN,,NOT_EXECUTED,False
A09,ARM_BUS+,SEP,PWR,DM,VCC_REF,OEM XT30(2+2) harness retained,NAMED_TERMINALS; no inferred cavity numbering,V4_PIN_OPEN,DM_PUBLIC;DM_2023,,NOT_EXECUTED,False
A10,ARM_BUS_RET,SEP,RET,DM,RET_REF,OEM XT30(2+2) harness retained,NAMED_TERMINALS; no inferred cavity numbering,V4_PIN_OPEN,DM_PUBLIC;DM_2023,,NOT_EXECUTED,False
A11,BRAKE+,U1,R+,RB1,A,supplied resistor leads; fit to terminal to verify,NAMED_TERMINALS; no inferred cavity numbering,PIN_DESIGN_PULSE_THERMAL_OPEN,REGEN,,NOT_EXECUTED,False
A12,BRAKE-,U1,R-,RB1,B,supplied resistor leads,NAMED_TERMINALS; no inferred cavity numbering,PIN_DESIGN_PULSE_THERMAL_OPEN,REGEN,,NOT_EXECUTED,False
C01,DM_CANH,CAN,H,SEP,H,OEM GH1.25 two-pin lead,NAMED_TERMINALS; no inferred cavity numbering,BOTH_CAVITIES_OPEN,DM_PUBLIC,,NOT_EXECUTED,False
C02,DM_CANL,CAN,L,SEP,L,OEM GH1.25 two-pin lead,NAMED_TERMINALS; no inferred cavity numbering,BOTH_CAVITIES_OPEN,DM_PUBLIC,,NOT_EXECUTED,False
C03,DM_CANH,SEP,H,DM,CANH_REF,OEM XT302+2 signal pair,NAMED_TERMINALS; no inferred cavity numbering,V4_PIN_OPEN,DM_PUBLIC;DM_2023,,NOT_EXECUTED,False
C04,DM_CANL,SEP,L,DM,CANL_REF,OEM XT302+2 signal pair,NAMED_TERMINALS; no inferred cavity numbering,V4_PIN_OPEN,DM_PUBLIC;DM_2023,,NOT_EXECUTED,False
