id,canonical_id,representation_role,operation,qualification,source_step,native_path,nominal_volume_mm3,material,mass_kg,manufacturing_release
MIPS_CRADLE_B,C000,PHYSICAL_GEOMETRY,ADD,CUSTOM_NONPRESSURE_EXTERNAL_CARRIER; OEM_SIDE_SCREWS_UNRESOLVED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_CRADLE_B.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C000.SLDPRT,36673.02656030346,,,False
MIPS_OEM_MAX_ENVELOPE,C001,FUNCTIONAL_ENVELOPE,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_OEM_MAX_ENVELOPE.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C001.SLDPRT,237638.5440767999,,,False
MIPS_INTERFACE_SHIM_-1_0,C002,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_INTERFACE_SHIM_-1_0.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C002.SLDPRT,7.610508203321268,,,False
MIPS_INTERFACE_SHIM_-1_1,C002,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_INTERFACE_SHIM_-1_1.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C002.SLDPRT,7.610508203321274,,,False
MIPS_INTERFACE_SHIM_1_0,C002,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_INTERFACE_SHIM_1_0.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C002.SLDPRT,7.610508203321267,,,False
MIPS_INTERFACE_SHIM_1_1,C002,PHYSICAL_GEOMETRY,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\MIPS_INTERFACE_SHIM_1_1.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C002.SLDPRT,7.610508203321274,,,False
P60_REFERENCE_B,C003,FUNCTIONAL_ENVELOPE,ADD,NOT_EVALUATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_REFERENCE_B.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C003.SLDPRT,267264.0,,,False
P60_TRAY_B,C004,PHYSICAL_GEOMETRY,ADD,HOST_ATTACHMENT_ONLY_DEVICE_HOLES_UNBOUND,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\P60_TRAY_B.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C004.SLDPRT,25235.366377848997,,,False
GROMMET_0,C005,PHYSICAL_GEOMETRY,ADD,CUSTOM_ELASTIC_CANDIDATE_MATERIAL_AND_RETENTION_UNVERIFIED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\GROMMET_0.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C005.SLDPRT,165.71901247686168,,,False
GROMMET_1,C005,PHYSICAL_GEOMETRY,ADD,CUSTOM_ELASTIC_CANDIDATE_MATERIAL_AND_RETENTION_UNVERIFIED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\GROMMET_1.step,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\native\p\C005.SLDPRT,165.71901247686168,,,False
