reference,pin,x_mm,y_mm,net,from_to,external_wire_color,footprint
A1,1,55,55,RS_LOOP_1,S01,orange,WirePad_GSE
TP1,1,70,55,RS_LOOP_1,S01,RS_LOOP_1,TestPoint-MinTH
B1,1,85,55,RS_LOOP_1,S01,yellow,WirePad_GSE
A2,1,55,60,RS_LOOP_2,S02,red,WirePad_GSE
TP2,1,70,60,RS_LOOP_2,S02,RS_LOOP_2,TestPoint-MinTH
B2,1,85,60,RS_LOOP_2,S02,white,WirePad_GSE
A3,1,55,65,RS_LOOP_3,S03,yellow,WirePad_GSE
TP3,1,70,65,RS_LOOP_3,S03,RS_LOOP_3,TestPoint-MinTH
B3,1,85,65,RS_LOOP_3,S03,orange,WirePad_GSE
A4,1,55,70,RS_LOOP_4,S04,white,WirePad_GSE
TP4,1,70,70,RS_LOOP_4,S04,RS_LOOP_4,TestPoint-MinTH
B4,1,85,70,RS_LOOP_4,S04,red,WirePad_GSE
A5,1,55,75,RS_LOOP_5,S05,black,WirePad_GSE
TP5,1,70,75,RS_LOOP_5,S05,RS_LOOP_5,TestPoint-MinTH
B5,1,85,75,RS_LOOP_5,S05,black,WirePad_GSE
