id,from_endpoint,to_endpoint,signal,source,status,note,physical_test,cut_length_mm
BP01,BPX.PBAT2.1,DOCK.P4.5,EPS_RET,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP02,BPX.PBAT2.2,DOCK.P4.6,EPS_RET,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP03,BPX.PBAT2.3,DOCK.P4.7,EPS_RET,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP04,BPX.PBAT2.4,DOCK.P4.8,EPS_RET,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP05,BPX.PBAT2.5,DOCK.P4.1,VBAT_DIRECT_RAW,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,4 pins total current shared; raw battery no short-circuit protection,NOT_EXECUTED,
BP06,BPX.PBAT2.6,DOCK.P4.2,VBAT_DIRECT_RAW,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,4 pins total current shared; raw battery no short-circuit protection,NOT_EXECUTED,
BP07,BPX.PBAT2.7,DOCK.P4.3,VBAT_DIRECT_RAW,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,4 pins total current shared; raw battery no short-circuit protection,NOT_EXECUTED,
BP08,BPX.PBAT2.8,DOCK.P4.4,VBAT_DIRECT_RAW,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,4 pins total current shared; raw battery no short-circuit protection,NOT_EXECUTED,
BP09,BPX.PBAT2.9,DOCK.P5.2,I2C_SCL,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP10,BPX.PBAT2.10,DOCK.P5.4,BPX_ENABLE_ACTIVE_HIGH,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP11,BPX.PBAT2.11,DOCK.P5.3,I2C_SDA,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP12,BPX.PBAT2.12,DOCK.P5.1,EPS_RET,BPX1.1.0 §3.4; Dock3.1 §12,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
BP_NC13,BPX.PBAT2.13,NC,NC,BPX1.1.0 §3.4,INTENTIONALLY_NOT_CONNECTED,Pin14 conflicts with Dock3.1 §12 legacy kill-switch table; current BPX NC wins,NOT_EXECUTED,
BP_NC14,BPX.PBAT2.14,NC,NC,BPX1.1.0 §3.4,INTENTIONALLY_NOT_CONNECTED,Pin14 conflicts with Dock3.1 §12 legacy kill-switch table; current BPX NC wins,NOT_EXECUTED,
PV0_1,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1,PV0+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV0_3,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3,PV0+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV0_RET2,PV_BRANCH_0.RET,ACU.X1.TFM.2,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV0_RET4,PV_BRANCH_0.RET,ACU.X1.TFM.4,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV1_5,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5,PV1+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV1_7,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7,PV1+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
