delta_id,net,from_endpoint,to_endpoint,scope,physical_test
SC001,ARMED,U107.5,U107.12,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC002,AUX_CLOSED_3V3,U113.4,U118.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC003,AUX_RETURN,R115.1,R116.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC004,AUX_RETURN,R115.1,J105.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC005,AUX_SENSE,U113.2,R116.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC006,AUX_STATUS_MCU,J102.6,U118.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC007,AUX_STATUS_MCU,J102.6,R122.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC008,BUS_MONITOR_OK,J102.7,U114.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC009,BUS_MONITOR_OK,J102.7,R117.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC010,CWD,U101.2,C101.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC011,EN_STOP,U101.3,R102.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC012,EN_STOP,U101.3,J103.6,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC013,FAULT_N_RAW,U101.7,U101.8,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC014,FAULT_N_RAW,U101.7,U102.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC015,FAULT_N_RAW,U101.7,U103.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC016,FAULT_N_RAW,U101.7,U104.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC017,FAULT_N_RAW,U101.7,U106.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC018,FAULT_N_RAW,U101.7,R101.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC019,GATE_DRV,U112.5,R113.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC020,HB_SEEN,U107.2,U108.5,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC021,HEARTBEAT_FILTER,R104.2,U115.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC022,HEARTBEAT_FILTER,R104.2,R119.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC023,HEARTBEAT_IN,R104.1,J102.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC024,HW_PERMIT_IN,J102.2,U114.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC025,HW_PERMIT_IN,J102.2,R118.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC026,K1_COIL_MINUS,Q101.2,J104.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC027,K1_GATE,Q101.1,R113.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC028,K1_GATE,Q101.1,R114.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC029,MCU_VIO,J102.8,R120.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC030,MCU_VIO,J102.8,R121.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC031,MCU_VIO,J102.8,R122.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC032,PERMIT_BEFORE_STOP,J103.5,U114.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC033,RESET_CONTACT,R107.1,J103.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC034,RESET_EDGE,U105.6,U107.3,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC035,RESET_EDGE,U105.6,U109.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC036,RESET_N,U109.4,U111.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC037,RESET_RC,U105.1,R107.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC038,RESET_RC,U105.1,R109.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC039,RESET_RC,U105.1,C102.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC040,RUN_CLEAR_N,U107.13,U111.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC041,RUN_DRIVE,U112.3,R111.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC042,RUN_DRIVE,U112.3,R112.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC043,RUN_LATCH,U107.9,U119.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC044,RUN_LATCH,U107.9,R123.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC045,RUN_LATCH,U107.9,U116.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC046,RUN_LEVEL_5V,R111.1,U119.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC047,RUN_STATUS_MCU,J102.4,U116.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC048,RUN_STATUS_MCU,J102.4,R120.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC049,SAFE_N,U106.4,U107.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC050,SAFE_N,U106.4,U108.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC051,SAFE_N,U106.4,U111.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC052,SAFE_N,U106.4,U117.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC053,SAFE_STATUS_MCU,J102.5,U117.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC054,SAFE_STATUS_MCU,J102.5,R121.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC055,SENSE_24V,U104.5,R105.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC056,SENSE_24V,U104.5,R106.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC057,START_CONTACT,R108.1,J103.4,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC058,START_EDGE,U105.4,U107.11,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC059,START_RC,U105.3,R108.2,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
SC060,START_RC,U105.3,R110.1,LOCAL_SUBPAGE_ONLY_NOT_MASTER,NOT_EXECUTED
