id,responsibility_owner,source_parent_assembly,representation_role,physical_mass_applicable,mass_accounting_basis,candidate_material_mass_kg,legacy_planning_budget_kg,as_built_mass_kg,volume_mm3,density_kg_mm3,volume_source,density_source,note
RB_longeron_-1_-1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.07516425714576416,,,27838.613757690433,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=9a2bed76a3e1cb7baece6b6436e08af8c6f128146e36a0a3203e93b2348a1787,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_longeron_-1_-1/density_kg_mm3,
RB_longeron_-1_1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.07501683476890202,,,27784.01287737112,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=89ff560c26a41f4eca879d3d7b3272c8ae4b5f8c47b2d379eade9ab61f7c4bd2,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_longeron_-1_1/density_kg_mm3,
RB_longeron_1_-1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.07516425714576419,,,27838.61375769044,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=975e72455ad902850c9388efe208822026f6612a7eff20f2b159dc57600ddea0,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_longeron_1_-1/density_kg_mm3,
RB_longeron_1_1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.07501683476890202,,,27784.01287737112,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=f9b2c15b827efcf6ffe40c8df1d037c263281beafc151ac3929a78c64fc7005a,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_longeron_1_1/density_kg_mm3,
RB_end_frame_-1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.16560908052998966,,,61336.69649258876,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=4c3f189f299741c6008fe6d8d1163d48e8fd3ab5f2c50b58b832ebb1205035ae,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_end_frame_-1/density_kg_mm3,
RB_end_plug_-1_-1_-1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.002584907503737639,,,957.3731495324589,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=16163ac28356dc62d2a97d01560c45c50eb1c212ef9c2fc7f50e170e90299191,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_end_plug_-1_-1_-1/density_kg_mm3,
RB_end_screw_-1_-1_-1,ROOT_FRAME_FASTENER_KIT,ROOT_STRUCTURE,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
RB_end_plug_-1_-1_1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.002584907503737639,,,957.3731495324589,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=16163ac28356dc62d2a97d01560c45c50eb1c212ef9c2fc7f50e170e90299191,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_end_plug_-1_-1_1/density_kg_mm3,
RB_end_screw_-1_-1_1,ROOT_FRAME_FASTENER_KIT,ROOT_STRUCTURE,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
RB_end_plug_-1_1_-1,ROOT_FRAME_METAL,ROOT_STRUCTURE,PHYSICAL_GEOMETRY,True,SOURCE_BOUND_CANDIDATE_MATERIAL,0.002584907503737639,,,957.3731495324589,2.7e-06,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\results\PARTS_SOURCE_MANIFEST.json#/parts/sha256=16163ac28356dc62d2a97d01560c45c50eb1c212ef9c2fc7f50e170e90299191,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp04_robot_assembly_20260906_175153\candidate\results\service_instances.json#/instances/id=RB_end_plug_-1_1_-1/density_kg_mm3,
