I_kgm2,omega_deg_s,E_rot_J,identity
0.1,1,1.5230870989335429e-05,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
0.1,3.0633,0.00014292355213042692,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
0.1,10,0.0015230870989335428,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
0.1,30,0.013707783890401884,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1,1,0.00015230870989335428,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1,3.0633,0.0014292355213042691,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1,10,0.015230870989335428,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1,30,0.13707783890401884,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
10,1,0.0015230870989335428,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
10,3.0633,0.014292355213042693,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
10,10,0.1523087098933543,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
10,30,1.3707783890401883,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
100,1,0.01523087098933543,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
100,3.0633,0.14292355213042693,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
100,10,1.5230870989335428,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
100,30,13.707783890401885,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1000,1,0.1523087098933543,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1000,3.0633,1.4292355213042691,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1000,10,15.230870989335429,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
1000,30,137.07783890401885,PARAMETRIC_NOT_CURRENT_ASSEMBLY_INERTIA
