id,responsibility_owner,representation_role,accounting_basis,candidate_material_mass_kg,vendor_reference_mass_kg,retained_legacy_planning_budget_kg,source_bound_volume_mm3,density_kg_mm3,as_built_mass_kg,note
B601_base_link,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_gripper_left,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_gripper_link,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_gripper_right,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_link1,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_link2,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_link3,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_link4,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_link5,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
B601_link6,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,INCLUDED_IN_ONE_MANUFACTURER_WHOLE_ARM_NOMINAL,,,,,,,"Covered by owner-level4.5kg whole arm reference counted once. No per-link apportionment, density or COM invented."
CLAMP_DUAL_0_BN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_0_BW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_0_TN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_0_TW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_1_BN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_1_BW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_1_TN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_1_TW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_BASE,HARNESS_RESTRAINT_HARDWARE,PHYSICAL_GEOMETRY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_DUAL_LID,HARNESS_RESTRAINT_HARDWARE,PHYSICAL_GEOMETRY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_0_BN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_0_BW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_0_TN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_0_TW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_1_BN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_1_BW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_1_TN,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_1_TW,HARNESS_RESTRAINT_HARDWARE,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_BASE,HARNESS_RESTRAINT_HARDWARE,PHYSICAL_GEOMETRY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
CLAMP_PWR_LID,HARNESS_RESTRAINT_HARDWARE,PHYSICAL_GEOMETRY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
GROMMET_0,HARNESS_RESTRAINT_HARDWARE,PHYSICAL_GEOMETRY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
GROMMET_1,HARNESS_RESTRAINT_HARDWARE,PHYSICAL_GEOMETRY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_0,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_1,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_2,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_3,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_4,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_5,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_6,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_bottom_washer_7,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_0,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_1,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_2,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_3,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_4,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_5,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_6,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_bolt_7,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_0,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_1,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_2,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_3,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_4,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_5,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_6,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_interstage_nut_7,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_0,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_1,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_2,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_3,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_4,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_5,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_6,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M5_top_washer_7,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_bottom_washer_-70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_bottom_washer_-70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_bottom_washer_70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_bottom_washer_70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_bolt_-70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_bolt_-70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_bolt_70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_bolt_70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_nut_-70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_nut_-70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_nut_70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_root_nut_70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_top_washer_-70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_top_washer_-70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_top_washer_70_-70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
M6_top_washer_70_70,ROOT_FRAME_FASTENER_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_CRADLE_B,PROPULSION_MOUNTING_KIT,PHYSICAL_GEOMETRY,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,0.09901717171281933,,,36673.02656030346,2.7e-06,,
MIPS_FOOT_0_BOTTOM_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_0_NUT,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_0_SCREW,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_0_TOP_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_1_BOTTOM_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_1_NUT,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_1_SCREW,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_1_TOP_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_2_BOTTOM_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_2_NUT,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_2_SCREW,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_2_TOP_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_3_BOTTOM_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_3_NUT,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_3_SCREW,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_FOOT_3_TOP_WASHER,PROPULSION_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
MIPS_INTERFACE_SHIM_-1_0,PROPULSION_MOUNTING_KIT,PHYSICAL_GEOMETRY,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,2.054837214896742e-05,,,7.610508203321268,2.7e-06,,
MIPS_INTERFACE_SHIM_-1_1,PROPULSION_MOUNTING_KIT,PHYSICAL_GEOMETRY,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,2.054837214896744e-05,,,7.610508203321274,2.7e-06,,
MIPS_INTERFACE_SHIM_1_0,PROPULSION_MOUNTING_KIT,PHYSICAL_GEOMETRY,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,2.054837214896742e-05,,,7.610508203321267,2.7e-06,,
MIPS_INTERFACE_SHIM_1_1,PROPULSION_MOUNTING_KIT,PHYSICAL_GEOMETRY,EXISTING_EXPLICIT_MATERIAL_ALLOCATION,2.054837214896744e-05,,,7.610508203321274,2.7e-06,,
MIPS_OEM_MAX_ENVELOPE,EQUIPMENT_ADCS_PROPULSION_ALLOCATION,FUNCTIONAL_ENVELOPE,NO_DENSITY_FOR_ENVELOPE_REPRESENTED_HARDWARE_UNRESOLVED,,,,,,,
P60_HOST_0_BN,P60_MOUNTING_KIT,SIMPLIFIED_PROXY,UNRESOLVED_PHYSICAL_MASS,,,,,,,
