wire_id,change,old_from,old_to,new_from,new_to
A01,UNCHANGED,PS1.TB2.4,Q1.1,PS1.TB2.4,Q1.1
A02,UNCHANGED,Q1.2,K1.A2(+),Q1.2,K1.A2(+)
A03,UNCHANGED,K1.A1(-),U1.IN+,K1.A1(-),U1.IN+
A04,UNCHANGED,PS1.TB2.1,U1.IN-,PS1.TB2.1,U1.IN-
A06,UNCHANGED,PS1.TB2.1,Q1.11,PS1.TB2.1,Q1.11
A07,UNCHANGED,U1.OUT+,SEP.PWR,U1.OUT+,SEP.PWR
A08,UNCHANGED,U1.OUT-,SEP.RET,U1.OUT-,SEP.RET
A09,UNCHANGED,SEP.PWR,DM.VCC_REF,SEP.PWR,DM.VCC_REF
A10,UNCHANGED,SEP.RET,DM.RET_REF,SEP.RET,DM.RET_REF
A11,UNCHANGED,U1.R+,RB1.A,U1.R+,RB1.A
A12,UNCHANGED,U1.R-,RB1.B,U1.R-,RB1.B
C01,UNCHANGED,CAN.H,SEP.H,CAN.H,SEP.H
C02,UNCHANGED,CAN.L,SEP.L,CAN.L,SEP.L
C03,UNCHANGED,SEP.H,DM.CANH_REF,SEP.H,DM.CANH_REF
C04,UNCHANGED,SEP.L,DM.CANL_REF,SEP.L,DM.CANL_REF
L01,UNCHANGED,PDU.TFM.9,OBC.P1.2,PDU.TFM.9,OBC.P1.2
L02,UNCHANGED,PDU.TFM.10,OBC.P1.1,PDU.TFM.10,OBC.P1.1
S01,UNCHANGED,RS_A.orange,RS_B.yellow,RS_A.orange,RS_B.yellow
S02,UNCHANGED,RS_A.red,RS_B.white,RS_A.red,RS_B.white
S03,UNCHANGED,RS_A.yellow,RS_B.orange,RS_A.yellow,RS_B.orange
S04,UNCHANGED,RS_A.white,RS_B.red,RS_A.white,RS_B.red
S05,UNCHANGED,RS_A.black,RS_B.black,RS_A.black,RS_B.black
BP01,UNCHANGED,BPX.PBAT2.1,DOCK.P4.5,BPX.PBAT2.1,DOCK.P4.5
BP02,UNCHANGED,BPX.PBAT2.2,DOCK.P4.6,BPX.PBAT2.2,DOCK.P4.6
BP03,UNCHANGED,BPX.PBAT2.3,DOCK.P4.7,BPX.PBAT2.3,DOCK.P4.7
BP04,UNCHANGED,BPX.PBAT2.4,DOCK.P4.8,BPX.PBAT2.4,DOCK.P4.8
BP05,UNCHANGED,BPX.PBAT2.5,DOCK.P4.1,BPX.PBAT2.5,DOCK.P4.1
BP06,UNCHANGED,BPX.PBAT2.6,DOCK.P4.2,BPX.PBAT2.6,DOCK.P4.2
BP07,UNCHANGED,BPX.PBAT2.7,DOCK.P4.3,BPX.PBAT2.7,DOCK.P4.3
BP08,UNCHANGED,BPX.PBAT2.8,DOCK.P4.4,BPX.PBAT2.8,DOCK.P4.4
BP09,UNCHANGED,BPX.PBAT2.9,DOCK.P5.2,BPX.PBAT2.9,DOCK.P5.2
BP10,UNCHANGED,BPX.PBAT2.10,DOCK.P5.4,BPX.PBAT2.10,DOCK.P5.4
BP11,UNCHANGED,BPX.PBAT2.11,DOCK.P5.3,BPX.PBAT2.11,DOCK.P5.3
BP12,UNCHANGED,BPX.PBAT2.12,DOCK.P5.1,BPX.PBAT2.12,DOCK.P5.1
PV0_1,UNCHANGED,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.1
PV0_3,UNCHANGED,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3,PV_BRANCH_0.BLOCKED_POS,ACU.X1.TFM.3
PV0_RET2,UNCHANGED,PV_BRANCH_0.RET,ACU.X1.TFM.2,PV_BRANCH_0.RET,ACU.X1.TFM.2
PV0_RET4,UNCHANGED,PV_BRANCH_0.RET,ACU.X1.TFM.4,PV_BRANCH_0.RET,ACU.X1.TFM.4
PV1_5,UNCHANGED,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.5
PV1_7,UNCHANGED,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7,PV_BRANCH_1.BLOCKED_POS,ACU.X1.TFM.7
PV1_RET6,UNCHANGED,PV_BRANCH_1.RET,ACU.X1.TFM.6,PV_BRANCH_1.RET,ACU.X1.TFM.6
PV1_RET8,UNCHANGED,PV_BRANCH_1.RET,ACU.X1.TFM.8,PV_BRANCH_1.RET,ACU.X1.TFM.8
