instance_id,baseline_relation,responsibility_owner,source_container_label,container_is_dynamic_body,dynamic_link_id,rigid_group_id,rigid_group_mapping_status,dynamic_parent_joint,source_URDF_link_record_complete,whole_body_ownership_complete,source_frame,source_step_path,source_sha256,source_hash_verified,representation_role,is_ground_only,native_current_whole_plan_installed,mass_evidence_class,mass_kg,mass_scope,mass_source_pointer,COM_local_m,inertia_COM_local_kg_m2,inertia_expressed_in,inertia_reference_point,legacy_budget_mass_kg,legacy_budget_evidence_class,budget_is_additive_to_mass,owner_reference_mass_kg,owner_reference_additive_to_children,as_built_mass_kg,uncertainty_status
RB_longeron_-1_-1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_longeron_-1_-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_longeron_-1_-1_860c564c_service_solid.step,9a2bed76a3e1cb7baece6b6436e08af8c6f128146e36a0a3203e93b2348a1787,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.07516425714576416,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/544/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_longeron_-1_1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_longeron_-1_1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_longeron_-1_1_7f47196b_service_solid.step,89ff560c26a41f4eca879d3d7b3272c8ae4b5f8c47b2d379eade9ab61f7c4bd2,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.07501683476890202,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/545/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_longeron_1_-1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_longeron_1_-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_longeron_1_-1_968f5c50_service_solid.step,975e72455ad902850c9388efe208822026f6612a7eff20f2b159dc57600ddea0,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.07516425714576419,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/546/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_longeron_1_1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_longeron_1_1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_longeron_1_1_3330a9e7_service_solid.step,f9b2c15b827efcf6ffe40c8df1d037c263281beafc151ac3929a78c64fc7005a,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.07501683476890202,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/547/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_end_frame_-1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_end_frame_-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_end_frame_-1_e46eea49_service_solid.step,4c3f189f299741c6008fe6d8d1163d48e8fd3ab5f2c50b58b832ebb1205035ae,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.16560908052998966,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/526/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_end_plug_-1_-1_-1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_end_plug_-1_-1_-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_end_plug_-1_-1_-1_578cc8ce_service_solid.step,16163ac28356dc62d2a97d01560c45c50eb1c212ef9c2fc7f50e170e90299191,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.002584907503737639,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/528/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_end_screw_-1_-1_-1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_FASTENER_KIT,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_end_screw_-1_-1_-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_end_screw_-1_-1_-1_ff5d0c37_service_solid.step,4ece51ef372326ffb80d177e3214a7b5699140a994eda82e72c9db9e32a67865,True,SIMPLIFIED_PROXY,False,False,UNKNOWN,,UNKNOWN_CURRENT_INSTANCE,,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_end_plug_-1_-1_1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_end_plug_-1_-1_1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_end_plug_-1_-1_-1_578cc8ce_service_solid.step,16163ac28356dc62d2a97d01560c45c50eb1c212ef9c2fc7f50e170e90299191,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.002584907503737639,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/529/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_end_screw_-1_-1_1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_FASTENER_KIT,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_end_screw_-1_-1_1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_end_screw_-1_-1_-1_ff5d0c37_service_solid.step,4ece51ef372326ffb80d177e3214a7b5699140a994eda82e72c9db9e32a67865,True,SIMPLIFIED_PROXY,False,False,UNKNOWN,,UNKNOWN_CURRENT_INSTANCE,,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
RB_end_plug_-1_1_-1,UNCHANGED_SOURCE_FROM_873,ROOT_FRAME_METAL,ROOT_STRUCTURE,False,,,UNKNOWN_NOT_INFERRED_FROM_STATIC_GROUP,,False,False,STEP_LOCAL:RB_end_plug_-1_1_-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\RB_end_plug_-1_-1_-1_578cc8ce_service_solid.step,16163ac28356dc62d2a97d01560c45c50eb1c212ef9c2fc7f50e170e90299191,True,PHYSICAL_GEOMETRY,False,False,CAD_ESTIMATE,0.002584907503737639,CANDIDATE_GEOMETRY_MATERIAL_MODEL,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\PARAMETER_PACKET.json#instances/530/mass,,,,,,UNKNOWN,False,,False,,UNKNOWN_NOT_ZERO
