occurrence,label,quantity,volume_mm3,mass_kg,scope
o1.1,MC01_V29_R202_LOWER_LEFT_CLEARANCE_NOTCH__HOST_OPEN,1,64539.400862835704,,reference geometry; mass/material as-built unbound
o1.2,V29_PCB_ACTUAL_135_PAD_DRILLS_1p6_NOMINAL,1,12547.201259215353,,reference geometry; mass/material as-built unbound
o1.3,REF_Q201_TO247_CATALOGUE_MAX_BODY_POSE_UNVERIFIED,1,1795.4324509525563,,reference geometry; mass/material as-built unbound
o1.4,MC04_TSP1800ST_PROJECT_CUT_0p203_UNCOMPRESSED,1,84.89477047988085,,reference geometry; mass/material as-built unbound
o1.5,MC05_PEEK_M2p5_INSULATING_SHOULDER_NOT_QUALIFIED,1,51.874763294238036,,reference geometry; mass/material as-built unbound
o1.6,REF_C201_CATALOGUE_BODY_ONLY,1,1267.2000000000003,,reference geometry; mass/material as-built unbound
o1.7,REF_C202_CATALOGUE_BODY_ONLY,1,360.0,,reference geometry; mass/material as-built unbound
o1.8,REF_C211_CATALOGUE_BODY_ONLY,1,856.8000000000002,,reference geometry; mass/material as-built unbound
o1.9,REF_C212_CATALOGUE_BODY_ONLY,1,1425.6000000000004,,reference geometry; mass/material as-built unbound
o1.10,REF_C213_CATALOGUE_BODY_ONLY,1,360.00000000000006,,reference geometry; mass/material as-built unbound
o1.11,J204_WURTH_74651195R_OEM_MODEL_STANDOFF_DATUM_CORRECTED,1,439.79797602469887,,reference geometry; mass/material as-built unbound
o1.12,J205_WURTH_74651195R_OEM_MODEL_STANDOFF_DATUM_CORRECTED,1,439.7979760246986,,reference geometry; mass/material as-built unbound
o1.13,J206_WURTH_74651195R_OEM_MODEL_STANDOFF_DATUM_CORRECTED,1,439.79797602469847,,reference geometry; mass/material as-built unbound
o1.14,J207_WURTH_74651195R_OEM_MODEL_STANDOFF_DATUM_CORRECTED,1,439.7979760246985,,reference geometry; mass/material as-built unbound
o1.15,R201_VISHAY_OEM_3_SOLIDS_PROJECT_SOLDER_DATUM,1,38.65768480174026,,reference geometry; mass/material as-built unbound
o1.16,R202_VISHAY_OEM_3_SOLIDS_PROJECT_SOLDER_DATUM,1,72.514093265144,,reference geometry; mass/material as-built unbound
o1.17,MC02_V30_PEEK450G_V_GROOVE_AND_TERMINAL_GUIDE_LEFT,1,4432.702260942481,,reference geometry; mass/material as-built unbound
o1.18,MC03_V30_PEEK450G_REMOVABLE_TWO_POLE_COVER_LEFT,1,3779.1775603459228,,reference geometry; mass/material as-built unbound
o1.19,MC02_V30_PEEK450G_V_GROOVE_AND_TERMINAL_GUIDE_RIGHT,1,4432.702260942483,,reference geometry; mass/material as-built unbound
o1.20,MC03_V30_PEEK450G_REMOVABLE_TWO_POLE_COVER_RIGHT,1,3779.177560345921,,reference geometry; mass/material as-built unbound
o1.21,J204_TE130191_OEM_C_A3_DIMENSION_CHECKED_UNCRIMPED,1,157.87634649951988,,reference geometry; mass/material as-built unbound
o1.22,J204_ETTINGER00305059_M5_WASHER_REFERENCE,1,56.4779819299105,,reference geometry; mass/material as-built unbound
o1.23,J204_HPC_SHN5BRB_M5_NUT_SMOOTH_THREAD_REFERENCE,1,141.58403672064267,,reference geometry; mass/material as-built unbound
o1.24,J204_55A0111_10_9_LOCAL_39p5mm_JACKET_ENVELOPE,1,327.9248658325694,,reference geometry; mass/material as-built unbound
o1.25,J204_STRIPPED_BUNDLE_MAX_ENVELOPE_NO_SOLID_COPPER_MASS_CREDIT,1,3.2350739002979747,,reference geometry; mass/material as-built unbound
o1.26,J205_TE130191_OEM_C_A3_DIMENSION_CHECKED_UNCRIMPED,1,157.8763464995199,,reference geometry; mass/material as-built unbound
o1.27,J205_ETTINGER00305059_M5_WASHER_REFERENCE,1,56.4779819299105,,reference geometry; mass/material as-built unbound
o1.28,J205_HPC_SHN5BRB_M5_NUT_SMOOTH_THREAD_REFERENCE,1,141.58403672064267,,reference geometry; mass/material as-built unbound
o1.29,J205_55A0111_10_9_LOCAL_39p5mm_JACKET_ENVELOPE,1,327.9248658325694,,reference geometry; mass/material as-built unbound
o1.30,J205_STRIPPED_BUNDLE_MAX_ENVELOPE_NO_SOLID_COPPER_MASS_CREDIT,1,3.2350739002979747,,reference geometry; mass/material as-built unbound
o1.31,J206_TE130191_OEM_C_A3_DIMENSION_CHECKED_UNCRIMPED,1,157.8763464995199,,reference geometry; mass/material as-built unbound
o1.32,J206_ETTINGER00305059_M5_WASHER_REFERENCE,1,56.47798192991052,,reference geometry; mass/material as-built unbound
o1.33,J206_HPC_SHN5BRB_M5_NUT_SMOOTH_THREAD_REFERENCE,1,141.58403672064264,,reference geometry; mass/material as-built unbound
o1.34,J206_55A0111_10_9_LOCAL_39p5mm_JACKET_ENVELOPE,1,327.9248658325694,,reference geometry; mass/material as-built unbound
o1.35,J206_STRIPPED_BUNDLE_MAX_ENVELOPE_NO_SOLID_COPPER_MASS_CREDIT,1,3.2350739002979747,,reference geometry; mass/material as-built unbound
o1.36,J207_TE130191_OEM_C_A3_DIMENSION_CHECKED_UNCRIMPED,1,157.87634649951988,,reference geometry; mass/material as-built unbound
o1.37,J207_ETTINGER00305059_M5_WASHER_REFERENCE,1,56.47798192991052,,reference geometry; mass/material as-built unbound
o1.38,J207_HPC_SHN5BRB_M5_NUT_SMOOTH_THREAD_REFERENCE,1,141.58403672064264,,reference geometry; mass/material as-built unbound
o1.39,J207_55A0111_10_9_LOCAL_39p5mm_JACKET_ENVELOPE,1,327.9248658325694,,reference geometry; mass/material as-built unbound
o1.40,J207_STRIPPED_BUNDLE_MAX_ENVELOPE_NO_SOLID_COPPER_MASS_CREDIT,1,3.2350739002979747,,reference geometry; mass/material as-built unbound
o1.41,M3_CLAMP_-10_-9_ISO4762_M3X30_CATALOG_REFERENCE,1,267.69631773352506,,reference geometry; mass/material as-built unbound
o1.42,M3_CLAMP_-10_-9_ISO4032_M3_CATALOG_REFERENCE,1,45.15388372585278,,reference geometry; mass/material as-built unbound
o1.43,M3_CLAMP_-10_-9_ISO7089_WASHER_0p5_REF_13.5,1,15.221016406642551,,reference geometry; mass/material as-built unbound
o1.44,M3_CLAMP_-10_-9_ISO7089_WASHER_0p5_REF_-12.1,1,15.221016406642551,,reference geometry; mass/material as-built unbound
o1.45,M3_CLAMP_-10_-34_ISO4762_M3X30_CATALOG_REFERENCE,1,267.69631773352506,,reference geometry; mass/material as-built unbound
o1.46,M3_CLAMP_-10_-34_ISO4032_M3_CATALOG_REFERENCE,1,45.15388372585278,,reference geometry; mass/material as-built unbound
o1.47,M3_CLAMP_-10_-34_ISO7089_WASHER_0p5_REF_13.5,1,15.221016406642548,,reference geometry; mass/material as-built unbound
o1.48,M3_CLAMP_-10_-34_ISO7089_WASHER_0p5_REF_-12.1,1,15.221016406642548,,reference geometry; mass/material as-built unbound
o1.49,M3_CLAMP_110_-9_ISO4762_M3X30_CATALOG_REFERENCE,1,267.69631773352506,,reference geometry; mass/material as-built unbound
o1.50,M3_CLAMP_110_-9_ISO4032_M3_CATALOG_REFERENCE,1,45.15388372585277,,reference geometry; mass/material as-built unbound
o1.51,M3_CLAMP_110_-9_ISO7089_WASHER_0p5_REF_13.5,1,15.221016406642557,,reference geometry; mass/material as-built unbound
o1.52,M3_CLAMP_110_-9_ISO7089_WASHER_0p5_REF_-12.1,1,15.221016406642557,,reference geometry; mass/material as-built unbound
o1.53,M3_CLAMP_110_-34_ISO4762_M3X30_CATALOG_REFERENCE,1,267.6963177335251,,reference geometry; mass/material as-built unbound
o1.54,M3_CLAMP_110_-34_ISO4032_M3_CATALOG_REFERENCE,1,45.15388372585277,,reference geometry; mass/material as-built unbound
o1.55,M3_CLAMP_110_-34_ISO7089_WASHER_0p5_REF_13.5,1,15.221016406642553,,reference geometry; mass/material as-built unbound
o1.56,M3_CLAMP_110_-34_ISO7089_WASHER_0p5_REF_-12.1,1,15.221016406642553,,reference geometry; mass/material as-built unbound
