group,index,label,volume_mm3,mass_kg,mass_status
main,0,MC01_MAIN_CARRIER_MONOLITHIC_THERMAL_ARCH_6061,64675.90086283566,0.17462493232965628,GEOMETRY_DENSITY_DESIGN_VALUE
main,1,REF_V26_PCB_ACTUAL_DRILLS_PARTIAL_POPULATION,12650.55965751844,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,2,REF_Q201_TO247_CATALOGUE_MAX_BODY_POSE_UNVERIFIED,1795.4324509525563,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,3,MC04_TSP1800ST_PROJECT_CUT_0p203_UNCOMPRESSED,84.89477047988085,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,4,MC05_PEEK_M2p5_INSULATING_SHOULDER_NOT_QUALIFIED,51.874763294238036,6.743719228250945e-05,GEOMETRY_DENSITY_DESIGN_VALUE
main,5,MC02_DUAL_WIRE_BASE_PEEK,2374.88374340201,0.0030873488664226135,GEOMETRY_DENSITY_DESIGN_VALUE
main,6,MC03_DUAL_WIRE_CAP_PEEK,1170.4124088756575,0.0015215361315383548,GEOMETRY_DENSITY_DESIGN_VALUE
main,7,MC02_DUAL_WIRE_BASE_PEEK,2374.88374340201,0.0030873488664226135,GEOMETRY_DENSITY_DESIGN_VALUE
main,8,MC03_DUAL_WIRE_CAP_PEEK,1170.4124088756575,0.0015215361315383548,GEOMETRY_DENSITY_DESIGN_VALUE
main,9,REF_C201_CATALOGUE_BODY_ONLY,1267.2000000000003,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,10,REF_C202_CATALOGUE_BODY_ONLY,360.0,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,11,REF_C211_CATALOGUE_BODY_ONLY,856.8000000000002,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,12,REF_C212_CATALOGUE_BODY_ONLY,1425.6000000000004,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
main,13,REF_C213_CATALOGUE_BODY_ONLY,360.00000000000006,,UNKNOWN_OR_REFERENCE_NO_MASS_CREDIT
propulsion,0,PC01_PROJECT_SIDE_CARRIER_NO_C_POD_OEM_HOLES,51822.732755697994,0.1399213784403846,GEOMETRY_DENSITY_DESIGN_VALUE
propulsion,1,PC02_PROP_HARNESS_BASE_PEEK,2847.6513913183153,0.00370194680871381,GEOMETRY_DENSITY_DESIGN_VALUE
propulsion,2,PC03_PROP_HARNESS_CAP_PEEK,2847.6513913183153,0.00370194680871381,GEOMETRY_DENSITY_DESIGN_VALUE
