wire_id,old_from,old_to,new_from,new_to,active,change
A01,PS1.TB2.4,Q1.1,J200.1,F201.1,true,REVISED
A02,Q1.2,K1.A2(+),Q203.3,K1.A2(+),true,REVISED
A03,K1.A1(-),U1.IN+,K1.A1(-),J203.1,true,REVISED
A04,PS1.TB2.1,U1.IN-,U203.5,J203.2,true,REVISED
A06,PS1.TB2.1,Q1.11,J200.2,U203.4,true,REVISED
A07,U1.OUT+,SEP.PWR,J203.1,SEP.PWR,true,REVISED
A08,U1.OUT-,SEP.RET,J203.2,SEP.RET,true,REVISED
A09,SEP.PWR,DM.VCC_REF,SEP.PWR,DM.VCC_REF,true,UNCHANGED
A10,SEP.RET,DM.RET_REF,SEP.RET,DM.RET_REF,true,UNCHANGED
A11,U1.R+,RB1.A,U1.R+,RB1.A,false,REVISED
A12,U1.R-,RB1.B,U1.R-,RB1.B,false,REVISED
C01,CAN.H,SEP.H,CAN.H,SEP.H,true,UNCHANGED
C02,CAN.L,SEP.L,CAN.L,SEP.L,true,UNCHANGED
C03,SEP.H,DM.CANH_REF,SEP.H,DM.CANH_REF,true,UNCHANGED
C04,SEP.L,DM.CANL_REF,SEP.L,DM.CANL_REF,true,UNCHANGED
L01,PDU.TFM.9,OBC.P1.2,PDU.TFM.9,OBC.P1.2,true,UNCHANGED
L02,PDU.TFM.10,OBC.P1.1,PDU.TFM.10,OBC.P1.1,true,UNCHANGED
S01,RS_A.orange,RS_B.yellow,RS_A.orange,RS_B.yellow,true,UNCHANGED
S02,RS_A.red,RS_B.white,RS_A.red,RS_B.white,true,UNCHANGED
S03,RS_A.yellow,RS_B.orange,RS_A.yellow,RS_B.orange,true,UNCHANGED
S04,RS_A.white,RS_B.red,RS_A.white,RS_B.red,true,UNCHANGED
S05,RS_A.black,RS_B.black,RS_A.black,RS_B.black,true,UNCHANGED
BP01,BPX.PBAT2.1,DOCK.P4.5,BPX.PBAT2.1,DOCK.P4.5,true,UNCHANGED
BP02,BPX.PBAT2.2,DOCK.P4.6,BPX.PBAT2.2,DOCK.P4.6,true,UNCHANGED
BP03,BPX.PBAT2.3,DOCK.P4.7,BPX.PBAT2.3,DOCK.P4.7,true,UNCHANGED
BP04,BPX.PBAT2.4,DOCK.P4.8,BPX.PBAT2.4,DOCK.P4.8,true,UNCHANGED
