case_id,state,node,heat_W,condition,mechanical_sink_node,thermal_contact_R_K_W,qualification
SBP000,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,main_before_sense,2.4737338956137114,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,main_after_sense,17.311466574452346,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,auxiliary_branch,0.019882595895535437,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,controller_allocation,0.059666356439740525,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,input_capacitor_leakage,0.057331166517924206,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,CHB_conversion,63.70588235294119,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,THN_conversion,4.2,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,main_before_sense,4.5e-08,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,auxiliary_branch,0.019882595895535437,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,controller_allocation,0.059999955,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,THN_conversion,4.2,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP000,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,main_before_sense,2.4737338956137114,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,main_after_sense,17.311466574452346,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,auxiliary_branch,0.01570639784947913,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,controller_allocation,0.059666356439740525,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,input_capacitor_leakage,0.057331166517924206,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,CHB_conversion,63.70588235294119,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,THN_conversion,1.8666666666666676,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,main_before_sense,4.5e-08,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,auxiliary_branch,0.01570639784947913,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,controller_allocation,0.059999955,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,THN_conversion,1.8666666666666676,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP001,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,main_before_sense,2.1948553179228054,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,main_after_sense,15.359587696836956,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,auxiliary_branch,0.019882595895535437,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,controller_allocation,0.059685725455522524,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,input_capacitor_leakage,0.05748611864418018,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,CHB_conversion,40.11111111111113,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,THN_conversion,4.2,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,main_before_sense,4.5e-08,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,auxiliary_branch,0.019882595895535437,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,controller_allocation,0.059999955,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,THN_conversion,4.2,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP002,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,main_before_sense,2.1948553179228054,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,main_after_sense,15.359587696836956,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,auxiliary_branch,0.01570639784947913,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,controller_allocation,0.059685725455522524,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,input_capacitor_leakage,0.05748611864418018,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,CHB_conversion,40.11111111111113,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,THN_conversion,1.8666666666666676,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,run,startup_bias_allocation,0.25,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,shared_contact_loop,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,main_before_sense,4.5e-08,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,main_after_sense,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,auxiliary_branch,0.01570639784947913,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,controller_allocation,0.059999955,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,input_capacitor_leakage,0.0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,THN_conversion,1.8666666666666676,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP003,cold,startup_bias_allocation,0,MAIN_SWITCH_OPEN_AUX_ON_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,shared_contact_loop,0.0,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,main_before_sense,2.4737338956137114,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,main_after_sense,17.311466574452346,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,auxiliary_branch,0.04428619815900253,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,controller_allocation,0.059666356439740525,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,input_capacitor_leakage,0.057331166517924206,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
SBP004,run,CHB_conversion,63.70588235294119,ASSUMING_ON_DC_ALLOCATION_NOT_MEASURED,,,UNBOUND
