id,responsibility_owner,representation_role,physical_mass_applicable,mass_kg,mass_identity,COM_local_m,inertia_COM_local_kg_m2,source_step_service,source_step_sha256_service,native_service,native_sha256_service
B601_base_link,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_base_link_LINKLOCAL.step,a451b9150d00ec8e381ae69c0bb9d62b3a1fed1b1cd1ad373a719e28290f07c5,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_50c3c0fe8e29d7706821.SLDPRT,50c3c0fe8e29d770682180c116520416a5dc492f6d0d473b58e0421bf237a9f1
B601_gripper_left,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_gripper_left_LINKLOCAL.step,d0b725bec635bd170d89c6c4de933d519cc480a096a1bb0189cd55c50738e380,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_401adf8db25b559b3f4d.SLDPRT,401adf8db25b559b3f4d59e32f13cda06901c47f000eef32a9a4957d952c687f
B601_gripper_link,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_gripper_link_LINKLOCAL.step,97e2fe07fe24673deae473d0518fd30e3345ed85a82f8811265482b0215811bc,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_27d57470afe474a75b97.SLDPRT,27d57470afe474a75b977307efbf4a51fe055c30a02ac94d48fd5fe67aff974e
B601_gripper_right,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_gripper_right_LINKLOCAL.step,9a96d53ccc6eee6272ee571041ea41b36c85904d7b6c5bd5179980eb43613327,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_657d0990b866babca543.SLDPRT,657d0990b866babca543bc87d0d8afba5bf6aa99507a0afcaf5cc19de188aeb0
B601_link1,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_link1_LINKLOCAL.step,db9a92b0e33f5237accab8b62de543af2cd67eb68fa248d335ff266bf957f4ce,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_4f35d35383d9f7c00fe0.SLDPRT,4f35d35383d9f7c00fe0fa46b166d71c22713b7f8713a3f62223b3c0a6228af5
B601_link2,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_link2_LINKLOCAL.step,39818daefd32a6a2a5bf61c6b1e1670380a27125415e3b154360159df7f30960,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_2c568bdc19c94c258c7f.SLDPRT,2c568bdc19c94c258c7f886fd2941502e54655068de91c7b8003c9693b43f609
B601_link3,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_link3_LINKLOCAL.step,34dc2177f050f96503449d9e10ce459eacf1619892d03bde85f396bd7c2fc162,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_f49d51649b008a0cfe1d.SLDPRT,f49d51649b008a0cfe1df50f0619fc92fbc6949082eadcd4bbe4921be26b0750
B601_link4,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_link4_LINKLOCAL.step,a44be74fb6be0f2b8b4502ed1a0167f0266c1f4298634dd7a88cc433c9994530,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_dbbf754538cb6b08cd84.SLDPRT,dbbf754538cb6b08cd8477c64c92688d32880655167670d214e6e3acaae0db55
B601_link5,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_link5_LINKLOCAL.step,10ed8c19b32f2816fa24158931542858cfc0d2dd7e8fa3c25a21352c896d8978,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_77a5fb8a45f974cbdccc.SLDPRT,77a5fb8a45f974cbdccc59fbefc05ad807e6f47fcbd9e8b599d095d47609f5c0
B601_link6,B601_DM_COMPLETE,PHYSICAL_GEOMETRY,True,,INCLUDED_IN_OWNER_MODULE_NO_LINK_APPORTIONMENT,null,null,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\sources\B601_link6_LINKLOCAL.step,6f04be472dab289f6db6dbf8c79d2a82d4c712b16460e4dee860773525449a13,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\cad\P_e553ffda751b85cf1061.SLDPRT,e553ffda751b85cf1061032ae270de36264a9e452d51db5b582af5db9db6833a
