id,path,sha256,strict_json,parse_error,verdict_field,source_verdict,next_stage_authorized,next_stage_type_check,release_credit,release_credit_type_check,navigation_does_not_override_source
competition_gate,10_research/competition_convergence/competition_gate_check.json,8B3CDBDAA09E9048262888F596BACC5A7EC543AF55542256E8BCE66DE15A6200,PASS,,,NO_TOP_LEVEL_VERDICT_FIELD,false,PASS,,NOT_PRESENT,true
mechanical_release_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,14D30FD40AC60253C0716A71BA46950E1DF6B8E69DCE3F12690319B970A48674,PASS,,verdict,TERMINAL_CLOSURE_EXECUTED__GATE_A_NOT_PASSED__TMG4_TM6_INTERNAL_BLOCKERS_REGISTERED__NO_RELEASE_CREDIT,false,PASS,false,PASS,true
mech_embodied_handoff,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json,42792057BD9FE08FDEABADEC23B5F2CFA06095A33D5A8F363633CE90BC6BE982,PASS,,verdict,MECHANICAL_TO_EMBODIED_HANDOFF_FAIL,false,PASS,false,PASS,true
sim13_preexecution,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/18_SIM13_PREEXECUTION_GATE.json,AF24635327DC96D0DAAABA6A074C9440C0BD0F984E1418AF6C6677C3D4CF77DE,PASS,,verdict,ABORT_ONLY_WITH_SOURCE_ONLY_ANALYTIC_PREBIND_DIAGNOSTICS (unchanged; truthful),false,PASS,false,PASS,true
route_c_frontier,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_TERMINAL_CURRENT_FRONTIER_V3.json,5C73438C86A6F217E9B5EAC30F875759F265ACF3C33944203151A6906DB3A86A,PASS,,,NO_TOP_LEVEL_VERDICT_FIELD,false,PASS,false,PASS,true
odr60_request,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-60_DECISION_REQUEST.json,09686A33E1FD7984DB041A9E7D4609EF30785C93392B4CCA431701B68B52FA62,PASS,,verdict,OWNER_SYSTEM_BOUNDARY_DECISION_REQUIRED__OPTION_A_RECOMMENDED__NO_NEW_EXECUTION_OR_RELEASE_AUTHORITY,false,PASS,false,PASS,true
odr60_system_binding,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_BINDING_READINESS_GATE_V1.json,D93D9710EB1177417565B303138956CC70A41B0373A7148863CDEC6CF9877223,PASS,,verdict,SYSTEM_BINDING_CONTRACTS_STRUCTURAL_PASS__URDF_CONTENT_AND_CONFIRMED_FRAME_BRIDGE_BOUND__EXECUTION_MOUNT_SPELLING_CLEARANCE_POLICY_AND_MOTION_CERTIFICATES_ABSENT__PAIR_EDGE_PATH_RELEASE_HOLD,,NOT_PRESENT,,NOT_PRESENT,true
odr60_binding_intake,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_BINDING_INTAKE_V1/BINDING_INTAKE_GATE_V1.json,509127D151BE7C60B74C54A12E629C0CC673126DEC5DF158177AED9E72009634,PASS,,verdict,BINDING_INTAKE_SCHEMAS_PASS__URDF_IDENTITY_AND_FRAME_BRIDGE_RESOLVED__MOUNT_EXECUTION_SCENE_CLEARANCE_MOTION_CERTIFICATES_UNBOUND__PAIR_EDGE_PATH_RELEASE_HOLD,false,PASS,false,PASS,true
odr60_collision_authority,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/ODR60_OPTION_A_COLLISION_AUTHORITY_GATE_V1.json,81D9201F2A7F62C450C45A067E586BAD722688F300F4D3AC816427BF30C0D763,PASS,,verdict,ODR60_OPTION_A_BASE_LINK_PROXY_VERIFIED_PASS__SYSTEM_COLLISION_HOLD__11166_UNASSESSED_FAIL_CLOSED__NO_PATH_SEARCH_OR_RELEASE_AUTHORITY,false,PASS,false,PASS,true
odr60_preflight,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/ODR60_OPTION_A_PREFLIGHT_GATE_V1.json,664E7E8FF98839858D4234730F6BB78496006DF3D33F54FF1425D804D7D8436A,HOLD,DUPLICATE_JSON_KEY:next_stage_authorized,,,,NOT_PRESENT,,NOT_PRESENT,true
