path,head,branch,prunable,exists,disk_files,disk_bytes,dirty,untracked,modified,branch_merged_into_current,classification_v0
F:/_SEI_PROJECT_CONSOLIDATION_20260807/07_STAGING/WAVE3_INTEGRATION_WORKTREE,e14b224a4f51de38116694f90679cfe4d32d6607,refs/heads/consolidation/wave3-c1-import-20260807,True,False,0,0,,,,False,PRUNABLE_BROKEN_GITDIR
F:/_SEI_PROJECT_CONSOLIDATION_20260807/12_WAVE4/WORKTREE_RECONCILIATION,cd0ea800be5db1cc056974387411be4d0e8b7cfe,refs/heads/reconciliation/prewave4-workingtree-20260807,True,False,0,0,,,,False,PRUNABLE_BROKEN_GITDIR
F:/codex-worktrees/future-flight-convergence-20260720/agent-a0,f608e2e70deb27455e4b56586481f687ae96a7a2,refs/heads/codex/asm00-interface-a0,False,True,686,116497634,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-convergence-20260720/agent-c,12d9b46caeebe7e28816986738086a5d9cf0f5a5,refs/heads/codex/competition-convergence-c,False,True,696,116598020,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-convergence-20260720/agent-h,4bf0e12e8ed984dd5843dc54d93e1b79d0d592c8,refs/heads/codex/ground-components-h,False,True,676,116466103,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-e15-20260714/ancf-solver-reliability,92058d87a81416b05f74b5fd7bcda18fd39cfc57,refs/heads/codex/e15-ancf-solver,False,True,230,5958107,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-e15-20260714/grasp-frame-roll,09b15aa98514554e3d254972f6eb906409f36ca4,refs/heads/codex/e15-grasp-frame-roll,False,True,243,6114925,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-e15-20260714/integrate,7de78a2710e8f60ed0832caa90a988e75effd950,refs/heads/codex/e15-integrate,False,True,287,7895164,True,27,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-e15-20260714/mpcs-pareto-validity,67837a02e5417f80e6c8ec2b2a4875d726693eb5,refs/heads/codex/e15-mpcs-pareto,False,True,231,5975560,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-p0-20260714/ancf-certification,a244192101e71e2737d8276869eb50cb58bfea91,refs/heads/codex/ancf-certification,False,True,311,31941597,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-p0-20260714/core-evidence-coverage,37c40828fd159e25f417ac531f27ef43d132a81f,refs/heads/codex/core-evidence-coverage,False,True,312,32031165,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-p0-20260714/research-integrator,3262a1312ad7a4682962fc6bea973923d48d69b5,refs/heads/codex/research-integrator,False,True,389,62041360,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-p0-20260714/sync-capture-planner,e472e23e7c635716ecb9a1df3498f4dab9eb2e17,refs/heads/codex/sync-capture-planner,False,True,325,33857545,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-p0-20260714/viz-portability-verify,e765194dd6523cf2b26e0302040e619a9ccdbfb8,,False,True,318,32070806,True,0,1,,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-p0-20260714/viz-portability-verify2,86d50d1dbb80769c935309e0eee4d43381a1325f,,False,True,328,59533584,True,0,1,,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-wave1-20260719-ctrl01,1c579a7f19d720dce5d5b4724bf5f1ad809c8aad,refs/heads/wave1/ctrl-01,False,True,621,115224385,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-wave1-20260719-ctrl02,10cd1f4585ad6b47961b0757789425d2c412d5fd,refs/heads/wave1/ctrl-02,False,True,613,112928643,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-wave1-20260719-integrator,faa34e5f44bb8114291a36bd500cac737808270a,refs/heads/codex/wave1-integrator,False,True,683,116363931,False,0,0,False,HISTORICAL_CANDIDATE
F:/codex-worktrees/future-flight-wave1-20260719-safe00,2de2ca8dcc5c031e2067f35880b3f423cfc707c2,refs/heads/codex/wave1-safe00-recovery,False,True,603,111764615,False,0,0,False,HISTORICAL_CANDIDATE
F:/kb-worktrees/track-a,b75352c1c226c0f3e9a4bc9c469b766e06f41616,refs/heads/kb/track-a,True,False,0,0,,,,False,PRUNABLE_BROKEN_GITDIR
