source_id,path,source_type,verbatim_status,sha256,role
SIM09_GATE,30_simulation/sim_09_grasp_evaluator/results/e1_gate_check.json,gate_json,NO_GLOBAL_VERDICT_FIELD,67c43bfd7788c4012b4f6ca28de6fede70d74e71cb849cfbbb56d21636face47,candidate_prefilter
SIM10_GATE,30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json,gate_json,SIM10_GATES_PASS,367078aa79853591b8da276f047c8c4fdbc4017e5136680fe90ad3432cc14265,paper1_feasibility_core
SIM11_GATE,30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,gate_json,SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS,287aa84824ced51fb4480dfc3d39e9dafc8ee41b37c9de0f73e2d927263fec10,finite_bandwidth_flexible_side_evidence
SIM12_GATE,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,gate_json,SIM12_PHASE1_GATES_PASS,a416c13481119bbdc61764d518a1abebc159a78bbd78fac132803069713dacd8,paper1_strategy_core
E15_CORE_GATE,30_simulation/e15_core_coverage/results/core_gate_check.json,gate_json,REPEAT_CORE_NO_SAFE_CANDIDATE,761798e52ead35f8bf6200034af088e85f7bb9085c71d0883bf1e70c1cffe3a7,negative_result
E15_ANCF_GATE,30_simulation/e15_ancf_certification/results/gate_summary.json,gate_json,REPEAT_ANCF_CERTIFICATION,aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80,flex_certification_blocker
E16_GATE,30_simulation/e16_sync_capture/results/gate_check.json,gate_json,PASS_WITH_GEOMETRY_AND_FLEX_LIMITATIONS,5538b054805781f7717d316bfc81c9f79cbc6b3b4d6cc9fdc72905d80984cc6f,limited_extension
SAFE_GATE,30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json,gate_json,PASS_NEXT_STAGE_NOT_AUTHORIZED,ff56929dd8352e447afdb8b7d17c5ef0b248883c66bc4f00c16c50c6f4c46eee,fail_closed_runtime
CTRL01_GATE,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,gate_json,REPEAT,ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96,control_boundary
CTRL02_GATE,30_simulation/control_02_base_attitude/results/control_02_gate_check.json,gate_json,PASS_SCOPE_LIMITED,240fa708b53646a024bb0fd2d67085188dd7c81685515b69c4cdc5dc50edfc5e,control_boundary
LITERATURE_MANIFEST,50_literature/references/manifest.yaml,literature_ssot,45_ENTRIES_44_LOCAL_PDF,b71294069deddef2a088dbc3ec63446f54c7d76f42045ed17a5fb066037913d6,literature_inventory
READING_CARD_INDEX,50_literature/references/notes/INDEX.md,literature_index,29_COMPLETE_15_BIBLIOGRAPHIC_ONLY,600ff900072276fe846f0c7b4e46b0691aa1dc29c77d9496b629c166a93dd862,paper_knowledge_entry
PAPER_CONTROLLER_STATE,10_research/knowledge_base/papers/controller_state.yaml,derived_navigation,PAPER_KNOWLEDGE_STATE_BUILT,48320fd5015a071bf4cba63901f70baedbe7fb19b5f7875aeee43f1da68a52cc,paper_knowledge_machine_state
PAPER_CONTROLLER_VALIDATION,10_research/knowledge_base/papers/controller_validation.json,validation_json,PAPER_KNOWLEDGE_READY,9f60aea857339dff44e1233d9f97833a3909eddd0bd9ab1fe1bfd67e0bf64760,paper_knowledge_validation
