configuration,name,type,suppressed
STOWED_ENGINEERING_CANDIDATE,平行1,MateParallel,False
STOWED_ENGINEERING_CANDIDATE,角度1,MatePlanarAngleDim,False
STOWED_ENGINEERING_CANDIDATE,重合1,MateCoincident,False
STOWED_ENGINEERING_CANDIDATE,重合2,MateCoincident,False
STOWED_ENGINEERING_CANDIDATE,重合3,MateCoincident,False
STOWED_ENGINEERING_CANDIDATE,重合4,MateCoincident,False
SOLAR_DEPLOY_ARM_LOCKED,平行1,MateParallel,False
SOLAR_DEPLOY_ARM_LOCKED,角度1,MatePlanarAngleDim,False
SOLAR_DEPLOY_ARM_LOCKED,重合1,MateCoincident,False
SOLAR_DEPLOY_ARM_LOCKED,重合2,MateCoincident,False
SOLAR_DEPLOY_ARM_LOCKED,重合3,MateCoincident,False
SOLAR_DEPLOY_ARM_LOCKED,重合4,MateCoincident,False
DEPLOYED_NOMINAL,平行1,MateParallel,False
DEPLOYED_NOMINAL,角度1,MatePlanarAngleDim,False
DEPLOYED_NOMINAL,重合1,MateCoincident,False
DEPLOYED_NOMINAL,重合2,MateCoincident,False
DEPLOYED_NOMINAL,重合3,MateCoincident,False
DEPLOYED_NOMINAL,重合4,MateCoincident,False
L_FAIL,平行1,MateParallel,False
L_FAIL,角度1,MatePlanarAngleDim,False
L_FAIL,重合1,MateCoincident,False
L_FAIL,重合2,MateCoincident,False
L_FAIL,重合3,MateCoincident,False
L_FAIL,重合4,MateCoincident,False
R_FAIL,平行1,MateParallel,False
R_FAIL,角度1,MatePlanarAngleDim,False
R_FAIL,重合1,MateCoincident,False
R_FAIL,重合2,MateCoincident,False
R_FAIL,重合3,MateCoincident,False
R_FAIL,重合4,MateCoincident,False
DEPLOY_FAILED_BOTH,平行1,MateParallel,False
DEPLOY_FAILED_BOTH,角度1,MatePlanarAngleDim,False
DEPLOY_FAILED_BOTH,重合1,MateCoincident,False
DEPLOY_FAILED_BOTH,重合2,MateCoincident,False
DEPLOY_FAILED_BOTH,重合3,MateCoincident,False
DEPLOY_FAILED_BOTH,重合4,MateCoincident,False
PARTIAL,平行1,MateParallel,False
PARTIAL,角度1,MatePlanarAngleDim,False
PARTIAL,重合1,MateCoincident,False
PARTIAL,重合2,MateCoincident,False
PARTIAL,重合3,MateCoincident,False
PARTIAL,重合4,MateCoincident,False
SERVICE,平行1,MateParallel,False
SERVICE,角度1,MatePlanarAngleDim,False
SERVICE,重合1,MateCoincident,False
SERVICE,重合2,MateCoincident,False
SERVICE,重合3,MateCoincident,False
SERVICE,重合4,MateCoincident,False
