chain_id,item,unit,nominal,candidate_basis,worst_case_min,worst_case_max,rss_mean,rss_standard_uncertainty,rss_k3_lower,rss_k3_upper,status
B601_M4_PATTERN_ALIGNMENT,hole_offset,mm,0.0,CANDIDATE_PROCESS_CAPABILITY pos 0.05+0.05 datum 0.02 clocking arc,-0.198984643,0.198984643,0.0,,,,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
B601_M4_PATTERN_ALIGNMENT,radial_clearance,mm,0.3,CANDIDATE_FIT_ISO286_H7_HOLE + H6_THREAD_MAJOR_PROXY minus candidate offsets,0.101015357,0.508984643,0.305,0.062320606,0.118038182,,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
B601_M4_PATTERN_ALIGNMENT,flatness,mm,,CANDIDATE_PROCESS_CAPABILITY 0.05 over 64 mm span,0.0,0.05,,0.028867513,,,CANDIDATE_TERM
B601_M4_PATTERN_ALIGNMENT,mounting_tilt,rad,0.0,flatness candidate over 64 mm pattern span,-0.00078125,0.00078125,0.0,0.000451055,-0.001353165,0.001353165,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
STAGE_A_STAGE_B_SPIGOT,radial_clearance,mm,0.2,CANDIDATE_FIT_ISO286_H7_G6,0.206,0.2345,,0.005966923,,,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
STAGE_A_STAGE_B_SPIGOT,coaxiality,mm,,CANDIDATE_PROCESS_CAPABILITY diametral zone 0.05; margin after consumption,0.181,,,0.014433757,,,CANDIDATE_TERM
STAGE_A_STAGE_B_ANNULAR_SKIRT,radial_clearance,mm,0.2,CANDIDATE_FIT_ISO286_H7_G6,0.207,0.2395,,0.006808389,,,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
STAGE_A_STAGE_B_ANNULAR_SKIRT,coaxiality,mm,,CANDIDATE_PROCESS_CAPABILITY diametral zone 0.05; margin after consumption,0.182,,,0.014433757,,,CANDIDATE_TERM
STAGE_A_STAGE_B_AXIAL_SEAT,axial_gap,mm,0.0,CANDIDATE_PROCESS_CAPABILITY depth +/-0.05 flatness 0.02x2 parallelism 0.02,-0.16,0.16,0.0,0.045460606,-0.136381818,0.136381818,CANDIDATE_STACK_EXECUTED_BIPOLAR_GAP
STAGE_A_STAGE_B_AXIAL_SEAT,flatness,mm,,CANDIDATE_PROCESS_CAPABILITY 0.02 each face,-0.04,0.04,0.0,0.016329932,,,CANDIDATE_TERM
STAGE_A_STAGE_B_M5_AND_CLOCKING,hole_offset,mm,0.0,CANDIDATE_PROCESS_CAPABILITY pattern position 0.05 radial each side,-0.1,0.1,0.0,0.040824829,,,CANDIDATE_TERM
STAGE_A_STAGE_B_M5_AND_CLOCKING,radial_clearance,mm,0.25,CANDIDATE_FIT_ISO286_H7_HOLE + H6_THREAD_MAJOR_PROXY minus candidate position,0.15,0.36,,0.040877867,0.127366399,,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
STAGE_A_STAGE_B_M5_AND_CLOCKING,dowel_fit,mm,,CANDIDATE_FIT_ISO286_M6_DOWEL_PIN press H7/4.0 slip H7/4.1,-0.012,0.108,,,,,CANDIDATE_PRESS_PLUS_SLIP_PAIR
STAGE_A_STAGE_B_M5_AND_CLOCKING,clocking_angle,rad,0.0,slip-seat slop + candidate hole position at r=55 mm,-0.001890909,0.001890909,0.0,0.00037306,-0.001119179,0.001119179,CANDIDATE_STACK_EXECUTED_POSITIVE_CLEARANCE
STAGE_B_SPACECRAFT_M6_PATTERN,edge_ligament,mm,6.7,CANDIDATE_FIT_ISO286_H7_HOLE + CANDIDATE_PROCESS position 0.05; STAGE_B_SIDE_ONLY,6.6425,,6.69625,0.028948589,6.609404232,,CANDIDATE_STAGE_B_SIDE_ONLY_EXECUTED_INTERFACE_HOLD
STAGE_B_SPACECRAFT_M6_PATTERN,flatness,mm,,CANDIDATE_PROCESS_CAPABILITY 0.05 over 140 mm span; STAGE_B_SIDE_ONLY,0.0,0.05,,0.028867513,,,CANDIDATE_TERM
STAGE_B_SPACECRAFT_M6_PATTERN,mounting_tilt,rad,,STAGE_B_SIDE_ONLY candidate; interface tilt null HOLD,-0.000357143,0.000357143,0.0,0.000206197,,,CANDIDATE_STAGE_B_SIDE_ONLY_EXECUTED_INTERFACE_HOLD
STAGE_B_SPACECRAFT_M6_PATTERN,hole_offset,mm,,SPACECRAFT_MATING_SIDE_UNKNOWN,,,,,,,HOLD_LIVE_SPACECRAFT_MATING_GEOMETRY_MISSING
