pattern,fastener_index,y_m,z_m,unit_load_component,unit_load_value,unit_load_unit,N_axial_N,Qy_N,Qz_N,Q_resultant_N
B601_TO_STAGE_A_4XM4_HM4_75_64MM,1,-0.032,-0.032,Fx,1.0,N,0.25,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,2,-0.032,0.032,Fx,1.0,N,0.25,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,3,0.032,-0.032,Fx,1.0,N,0.25,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,4,0.032,0.032,Fx,1.0,N,0.25,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,1,-0.032,-0.032,Fy,1.0,N,0.0,0.25,0.0,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,2,-0.032,0.032,Fy,1.0,N,0.0,0.25,0.0,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,3,0.032,-0.032,Fy,1.0,N,0.0,0.25,0.0,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,4,0.032,0.032,Fy,1.0,N,0.0,0.25,0.0,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,1,-0.032,-0.032,Fz,1.0,N,0.0,0.0,0.25,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,2,-0.032,0.032,Fz,1.0,N,0.0,0.0,0.25,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,3,0.032,-0.032,Fz,1.0,N,0.0,0.0,0.25,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,4,0.032,0.032,Fz,1.0,N,0.0,0.0,0.25,0.25
B601_TO_STAGE_A_4XM4_HM4_75_64MM,1,-0.032,-0.032,Mx,1.0,N*m,0.0,3.9062500000000004,-3.9062500000000004,5.524271728019903
B601_TO_STAGE_A_4XM4_HM4_75_64MM,2,-0.032,0.032,Mx,1.0,N*m,0.0,-3.9062500000000004,-3.9062500000000004,5.524271728019903
B601_TO_STAGE_A_4XM4_HM4_75_64MM,3,0.032,-0.032,Mx,1.0,N*m,0.0,3.9062500000000004,3.9062500000000004,5.524271728019903
B601_TO_STAGE_A_4XM4_HM4_75_64MM,4,0.032,0.032,Mx,1.0,N*m,0.0,-3.9062500000000004,3.9062500000000004,5.524271728019903
B601_TO_STAGE_A_4XM4_HM4_75_64MM,1,-0.032,-0.032,My,1.0,N*m,-7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,2,-0.032,0.032,My,1.0,N*m,7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,3,0.032,-0.032,My,1.0,N*m,-7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,4,0.032,0.032,My,1.0,N*m,7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,1,-0.032,-0.032,Mz,1.0,N*m,7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,2,-0.032,0.032,Mz,1.0,N*m,7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,3,0.032,-0.032,Mz,1.0,N*m,-7.812500000000001,0.0,0.0,0.0
B601_TO_STAGE_A_4XM4_HM4_75_64MM,4,0.032,0.032,Mz,1.0,N*m,-7.812500000000001,0.0,0.0,0.0
