standard_canonical,as_written,occurrences,citing_file_count,use_area,ledger_status_before,disposition,rationale,future_trigger,finding_id
ASTMF593,ASTM F593,1,1,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO11359,ISO 11359,1,1,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO1183,ISO 1183,1,1,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO2768,ISO2768,2,2,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO27681,ISO 2768-1,2,2,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO286,ISO 286 / ISO286,142,4,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO2862,ISO 286-2,53,4,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO527,ISO 527,1,1,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO7089,ISO7089,4,2,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
ISO8981,ISO 898-1,3,2,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
MMPDS,MMPDS / mmpds,6,3,cited_in_M7_design_evidence (see CM01-F13 hit list),CITED_WITHOUT_CDR_LEDGER_ROW,NON_BLOCKING_TRACEABILITY_ITEM,"reference-level citation, not a compliance claim; no design value derives authority from this citation",GATE_B flight qualification standards audit,CM01-F13
