sample_id,family,sample_type,grid_i,grid_j,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,clearance_margin_mm,bend_margin_mm,pinch_margin_mm,length_margin_mm,joint_limit_margin_rad,status,required_action
HOME_FAMILY_Q2_0_Q3_0,HOME_FAMILY,COARSE_Q2_Q3,0,0,-1.570796,-3.14,-3.14,0.0,-0.523599,0.0,-11.497938753211098,-29.89987714029373,-11.107190899907907,820.0102139818837,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_0_Q3_1,HOME_FAMILY,COARSE_Q2_Q3,0,1,-1.570796,-3.14,-2.355,0.0,-0.523599,0.0,-11.497938753211098,-29.899877139568215,-11.107190899907907,831.8948682476412,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_0_Q3_2,HOME_FAMILY,COARSE_Q2_Q3,0,2,-1.570796,-3.14,-1.57,0.0,-0.523599,0.0,-11.497938753211098,-29.899877138110707,-11.107190899907907,864.384462008868,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_0_Q3_3,HOME_FAMILY,COARSE_Q2_Q3,0,3,-1.570796,-3.14,-0.7850000000000001,0.0,-0.523599,0.0,-11.497938753211098,-29.899877138834174,-11.107190899907907,906.4391025486616,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_0_Q3_4,HOME_FAMILY,COARSE_Q2_Q3,0,4,-1.570796,-3.14,0.0,0.0,-0.523599,0.0,-11.497938753211098,-29.899877140292666,-11.107190899907907,929.9659156113426,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_1_Q3_0,HOME_FAMILY,COARSE_Q2_Q3,1,0,-1.570796,-2.355,-3.14,0.0,-0.523599,0.0,-10.41035454559003,-29.899877138836136,-5.4345041271263295,831.8948821012305,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_1_Q3_1,HOME_FAMILY,COARSE_Q2_Q3,1,1,-1.570796,-2.355,-2.355,0.0,-0.523599,0.0,-10.41036304296794,-29.899877140293857,-5.4345041271263295,843.7795023626873,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_1_Q3_2,HOME_FAMILY,COARSE_Q2_Q3,1,2,-1.570796,-2.355,-1.57,0.0,-0.523599,0.0,-10.410362370677035,-29.899877139567835,-5.4345041271263295,876.2690804687186,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_1_Q3_3,HOME_FAMILY,COARSE_Q2_Q3,1,3,-1.570796,-2.355,-0.7850000000000001,0.0,-0.523599,0.0,-10.410353872162732,-29.899877138110664,-5.4345041271263295,918.3237546262098,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_1_Q3_4,HOME_FAMILY,COARSE_Q2_Q3,1,4,-1.570796,-2.355,0.0,0.0,-0.523599,0.0,-11.004760879807861,-29.89987713883421,-11.004760879807865,941.8505820912319,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_2_Q3_0,HOME_FAMILY,COARSE_Q2_Q3,2,0,-1.570796,-1.57,-3.14,0.0,-0.523599,0.0,-10.410353859814462,-29.899877138108753,-5.4345041271263295,864.3844769037128,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_2_Q3_1,HOME_FAMILY,COARSE_Q2_Q3,2,1,-1.570796,-1.57,-2.355,0.0,-0.523599,0.0,-10.410354545589392,-29.899877138837358,-5.4345041271263295,876.2691094006623,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_2_Q3_2,HOME_FAMILY,COARSE_Q2_Q3,2,2,-1.570796,-1.57,-1.57,0.0,-0.523599,0.0,-10.410363042967937,-29.89987714029404,-5.4345041271263295,908.7586532502341,1.046401,UNSAFE,ABORT
HOME_FAMILY_Q2_2_Q3_3,HOME_FAMILY,COARSE_Q2_Q3,2,3,-1.570796,-1.57,-0.7850000000000001,0.0,-0.523599,0.0,-10.410362370677088,-29.899877139567042,-5.4345041271263295,950.8133102962056,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_2_Q3_4,HOME_FAMILY,COARSE_Q2_Q3,2,4,-1.570796,-1.57,0.0,0.0,-0.523599,0.0,-11.270949529238482,-29.899877138110494,-5.4345041271263295,974.340170642216,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_3_Q3_0,HOME_FAMILY,COARSE_Q2_Q3,3,0,-1.570796,-0.7850000000000001,-3.14,0.0,-0.523599,0.0,-10.410362356126853,-29.899877139561955,-5.4345041271263295,906.4391016432205,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_3_Q3_1,HOME_FAMILY,COARSE_Q2_Q3,3,1,-1.570796,-0.7850000000000001,-2.355,0.0,-0.523599,0.0,-10.410353859814979,-29.89987713811226,-5.4345041271263295,918.3237681639821,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_3_Q3_2,HOME_FAMILY,COARSE_Q2_Q3,3,2,-1.570796,-0.7850000000000001,-1.57,0.0,-0.523599,0.0,-10.41035454558938,-29.899877138836885,-5.4345041271263295,950.8133276141884,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_3_Q3_3,HOME_FAMILY,COARSE_Q2_Q3,3,3,-1.570796,-0.7850000000000001,-0.7850000000000001,0.0,-0.523599,0.0,-10.410363042968031,-29.89987714029398,-5.4345041271263295,992.8679510151824,0.7850000000000001,UNSAFE,ABORT
HOME_FAMILY_Q2_3_Q3_4,HOME_FAMILY,COARSE_Q2_Q3,3,4,-1.570796,-0.7850000000000001,0.0,0.0,-0.523599,0.0,-10.410362370677026,-29.89987713956707,-5.4345041271263295,1016.3947970111853,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_4_Q3_0,HOME_FAMILY,COARSE_Q2_Q3,4,0,-1.570796,0.0,-3.14,0.0,-0.523599,0.0,-10.410363055398648,-29.899877140294695,-5.4345041271263295,929.9659116694038,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_4_Q3_1,HOME_FAMILY,COARSE_Q2_Q3,4,1,-1.570796,0.0,-2.355,0.0,-0.523599,0.0,-10.410362356127216,-29.8998771395655,-5.4345041271263295,941.8505660088972,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_4_Q3_2,HOME_FAMILY,COARSE_Q2_Q3,4,2,-1.570796,0.0,-1.57,0.0,-0.523599,0.0,-10.410353859814247,-29.899877138111798,-5.4345041271263295,974.3401597404336,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_4_Q3_3,HOME_FAMILY,COARSE_Q2_Q3,4,3,-1.570796,0.0,-0.7850000000000001,0.0,-0.523599,0.0,-10.41035454559005,-29.899877138836956,-5.4345041271263295,1016.3948001993654,0.0,UNSAFE,ABORT
HOME_FAMILY_Q2_4_Q3_4,HOME_FAMILY,COARSE_Q2_Q3,4,4,-1.570796,0.0,0.0,0.0,-0.523599,0.0,-10.410363042967752,-29.899877140293523,-5.4345041271263295,1039.9216132914967,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_0_Q3_0,TASK_READY_FAMILY,COARSE_Q2_Q3,0,0,-1.570796,-3.14,-3.14,-0.523599,0.0,0.0,-11.497938753211098,-29.89987713984414,-11.107190899907907,783.1831037095462,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_0_Q3_1,TASK_READY_FAMILY,COARSE_Q2_Q3,0,1,-1.570796,-3.14,-2.355,-0.523599,0.0,0.0,-11.497938753211098,-29.899877138881017,-11.107190899907907,795.0677426593675,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_0_Q3_2,TASK_READY_FAMILY,COARSE_Q2_Q3,0,2,-1.570796,-3.14,-1.57,-0.523599,0.0,0.0,-11.497938753211098,-29.899877132821253,-11.107190899907907,827.557331937528,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_0_Q3_3,TASK_READY_FAMILY,COARSE_Q2_Q3,0,3,-1.570796,-3.14,-0.7850000000000001,-0.523599,0.0,0.0,-11.497938753211098,-29.89987713377778,-11.107190899907907,869.6119877861302,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_0_Q3_4,TASK_READY_FAMILY,COARSE_Q2_Q3,0,4,-1.570796,-3.14,0.0,-0.523599,0.0,0.0,-11.497938753211098,-29.89987713983867,-11.107190899907907,893.1388053562573,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_1_Q3_0,TASK_READY_FAMILY,COARSE_Q2_Q3,1,0,-1.570796,-2.355,-3.14,-0.523599,0.0,0.0,-10.410346741147988,-29.899877133789303,-5.4345041271263295,795.0677673702021,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_1_Q3_1,TASK_READY_FAMILY,COARSE_Q2_Q3,1,1,-1.570796,-2.355,-2.355,-0.523599,0.0,0.0,-10.410355980603432,-29.899877139846446,-5.4345041271263295,806.9523920903498,0.7850000000000001,UNSAFE,ABORT
