class,id,path,bytes,sha256
INPUT,owner_odr_35_41,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR35_TO_ODR41_B601_HARNESS_RATED_ENVELOPE_V1.yaml,5220,7655FA44BA4CD2B0369184100A18DF1001B8C40CC6B4D9731D4E4ACEE9D6433E
INPUT,owner_odr_gpt_01_06,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR_GPT_01_TO_06_TERMINAL_CLOSURE_V1.yaml,10251,B7EE60281935DD7417027D5428B9291BEE7D3F6528022509ACA168FB39B68689
INPUT,route_b_frozen_pins,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/00_authority/ROUTE_B_FROZEN_INPUT_PINS_V1.yaml,3473,6BB8E9C5FF6910BE07D1720D320C4CB560A2CF07AD254DEB83E931AF4731C588
INPUT,route_b_terminal_freeze,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/00_authority/ROUTE_B_NEGATIVE_RESULT_TERMINAL_FREEZE_V1.yaml,13524,74EADB7A239C3A88B99C89999E49036EB3033654CE8D988A0D2F007F020DFA61
INPUT,route_b_product_definition,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/01_product_definition/B601_HARNESS_ROUTING_PRODUCT_DEFINITION_V1.yaml,6122,4294D08E246A99DB37A47A38B432B7DC2324436ED96FB2F0B771D4B08EA4BA9E
INPUT,exact_predicate_contract,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/02_exact_predicate/B601_HARNESS_EXACT_PREDICATE_CONTRACT_V1.yaml,2079,FB21D09602F6CDCF7CF21E60615FDEE9C795DFA29D11609B4FBE237789C5C295
INPUT,mandatory_state_probe,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/02_exact_predicate/CURRENT_ROUTE_KEY_STATE_PROBE_V1.json,60971,96FCBDA104ADDD3194ED3EDAA5A3CFD8E230ACCA8D4608BE18A4258636EADD70
INPUT,exact_predicate_wrapper,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/02_exact_predicate/harness_exact_check.py,8377,327F6C907A1F9281071E74BA931C3A42C36AA1782897CCC3D6972B66E1129C28
INPUT,envelope_map_csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_ENVELOPE_MAP_V1.csv,16971,0159FB6D525D7390E5929839610E30F4E94DA112CC3F49314369BD17EA2D6EF7
INPUT,envelope_map_npz,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_ENVELOPE_MAP_V1.npz,2415,21CB19FE3281090A834CCFA672C0E7CC8D1EEFCC7D55F11CB4A9E09E3E3B392B
INPUT,rated_envelope,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_RATED_ENVELOPE_V1.yaml,2236,A63A93DE5B6B3BEE37819379757ABE5B9F7FC457641F852E06676B686BC416C6
INPUT,mission_coverage_gate,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json,7324,F3B444222E87509B66F712E623A4903748C7309C6396708EC02A0C1A54CDAA5C
INPUT,mission_trajectory_contract,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_MANDATORY_MISSION_TRAJECTORY_CONTRACT_V1.yaml,3835,C06A40DE171F0517ACB34CCC14C918A9A4252F7B55A425B2CBAC95229B44A98A
INPUT,mission_pose_rebind,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_MISSION_POSE_AUTHORITY_REBIND_V1.yaml,2977,2954AA16DE68CE6550C0A281DD309BF14585970087EBE35663485E0E932AA62A
INPUT,harness_terminal_gate,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/B601_HARNESS_TERMINAL_GATE_V1.json,2486,D65BD945B3F0C93041BFD10CFABCD9E423596B3FC19400C45FA58CB08DE96AF4
INPUT,handoff_gate_v2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json,54345,13722965D5C558D3439A7CB1E77ABBF3C2094B88E9D62F80D664D0C4C90D4E21
INPUT,mission_probe_source,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/99_tools/probe_current_route_mission_states.py,12839,607ADF4A5C7EEB41D1418E9FF59FC5C4F5B679CCEEA587CFE7BE5B470611E75F
INPUT,checkpoint_b,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/ROUTE_C_CHECKPOINT_B_GATE_V1.json,14887,C9E7526D790E1FB7F5522A113EDF41F5913207C15A68E12468FD9EBA157349D1
INPUT,full_fk_negative_result,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/HARNESS_B601_FULL_FK_SWEEP_V2.json,20197,DB86348B8276FB2DCEB48DA30D1969948B37AAC4DF6D67D7588D928CF8281FAE
INPUT,route_b_geometry_kernel,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/sweep_b601_harness_full_fk.py,101363,F99FF775B20940D4F5338E2AECA6F9C03D565FF718170B92B6C97CBDEB499261
