class,path,bytes,sha256,role
SOURCE_PIN,20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/12_release/MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_GATE_V1.json,5440,0C0994E3E59EDBB5FD43B1D75FC048C8414A735D28CA4FC36E8FC23E03692577,scoped M4 digital-prototype release and mandatory holds
SOURCE_PIN,20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/03_mass_properties/CONFIGURATION_LIBRARY_V1.yaml,26528,DCE40C1DB8A318A077F0DD92A47F236BE55EAF2FD32B4E514D2BB67C9B19B4A2,nine-configuration identity and unreleased-property contract
SOURCE_PIN,20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml,6236,67293323A45237FB9B415871A4160732EFB156DE74776C9E11ABA9C4202134CA,canonical frame semantics and null-transform policy
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/12_release/MECHANICAL_ENGINEERING_RELEASE_GATE_V1.json,48538,2D9C8580701BD087A2DB52F57AE9ED23A919DEBC7476727467214411F952859E,current mechanical release authority ceiling
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/DESIGN_FREEZE_ASSEMBLY_BUILD_REPORT_V1.json,29415,105BCB020FAF9F535C3A18F9A37831679F89070A8CA69C5960F959A686F332C1,current valid R1 unified assembly build evidence
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml,48807,0F9897EF4E41666DDB29CB0FC621DD737FDD8CCDE3F5527030E53A9D1604681A,"product-tree geometry classes, including 12U envelope-proxy limitations"
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/DESIGN_FREEZE_ASSEMBLY_V1.FCStd,579603,013DA84FE9A5C388252DB18516628411C484BB818959FA1A5CF8D950485636E7,current R1 native assembly predecessor; read-only
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/DESIGN_FREEZE_ASSEMBLY_V1.step,1373004,8C85585E9C051AEBB849E48F56354B48BF4204F61103B550BD92FC77BA99EA9E,current R1 neutral assembly predecessor; read-only
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_BUILD_REPORT_V2.json,16118,4286EA2BBD84FB8EC33DDADE329534DA29194650AD22429245ECF8757B9AED1C,separate Solar R2 engineering-candidate evidence
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_CANDIDATE_V1.FCStd,23733,9D4D249A5D4EED7BDD8F3C08EC96737884A19523782112B1E72AD9EA0A1B65AB,Solar R2 native candidate; separate and read-only
SOURCE_PIN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_CANDIDATE_V1.step,131834,21FF77B882DBFAB87B3E77DD56817EFC7F321C68E30AFEDCDDBB4D79B9915795,Solar R2 neutral candidate; separate and read-only
