row_id,chain_id,part_or_assembly,feature,tolerance_type,tolerance_value,unit,datum_reference,standard_reference,classification,notes
DTS-001,M7-TC-01,M3R_STAGE_A / B601_BASE,STAGE_A_CLEARANCE_HOLE_4P6,SIZE_LIMITS,ISO286_H7,mm,B601_AS_BUILT_PATTERN_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H7,
DTS-002,M7-TC-01,M3R_STAGE_A / B601_BASE,M4_FASTENER_MAJOR_DIAMETER_PROXY,SIZE_LIMITS,ISO286_h6_ON_4P000_MAJOR,mm,B601_AS_BUILT_PATTERN_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H6_THREAD_MAJOR_PROXY,shaft proxy for thread major; final fastener spec WP4 PENDING_SIBLING_HASH
DTS-003,M7-TC-01,M3R_STAGE_A / B601_BASE,B601_AXIS_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,B601_AS_BUILT_PATTERN_DATUM,,PROCESS_CAP_ASSUMED,as-built axis verification bound
DTS-004,M7-TC-01,M3R_STAGE_A / B601_BASE,STAGE_A_HOLE_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,B601_AS_BUILT_PATTERN_DATUM,,PROCESS_CAP_ASSUMED,
DTS-005,M7-TC-01,M3R_STAGE_A / B601_BASE,DATUM_SHIFT,ASSEMBLY_DATUM_SHIFT_HALF_WIDTH,0.02,mm,B601_AS_BUILT_PATTERN_DATUM,,PROCESS_CAP_ASSUMED,
DTS-006,M7-TC-01,M3R_STAGE_A / B601_BASE,PATTERN_CLOCKING,ANGULAR_HALF_WIDTH_DEG,0.1,deg,B601_AS_BUILT_PATTERN_DATUM,,PROCESS_CAP_ASSUMED,arc 0.078984643 mm at measured PCD radius 45.254820886 mm
DTS-007,M7-TC-01,M3R_STAGE_A / B601_BASE,MOUNT_FACE_FLATNESS,FLATNESS,0.05,mm,B601_AS_BUILT_PATTERN_DATUM,,PROCESS_CAP_ASSUMED,over 64 mm pattern span
DTS-008,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,STAGE_B_RECEIVING_BORE_100P0,SIZE_LIMITS,ISO286_H7,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H7,
DTS-009,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,STAGE_A_SPIGOT_99P6,SIZE_LIMITS,ISO286_g6,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_G6,
DTS-010,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,SPIGOT_COAXIALITY,COAXIALITY_DIAMETRAL_ZONE,0.05,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-011,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,STAGE_A_RECESS_DEPTH_5P595,DEPTH_LIMITS_HALF_WIDTH,0.05,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-012,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,STAGE_B_POCKET_DEPTH_5P595,DEPTH_LIMITS_HALF_WIDTH,0.05,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-013,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,ANNULAR_FACE_FLATNESS_EACH,FLATNESS,0.02,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-014,M7-TC-02,M3R_STAGE_A + M3R_STAGE_B,ANNULAR_FACE_PARALLELISM,PARALLELISM_ACROSS_FACE,0.02,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-015,M7-TC-03,M3R_STAGE_A + M3R_STAGE_B,STAGE_B_POCKET_OUTER_150P4,SIZE_LIMITS,ISO286_H7,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H7,
DTS-016,M7-TC-03,M3R_STAGE_A + M3R_STAGE_B,STAGE_A_SKIRT_OUTER_150P0,SIZE_LIMITS,ISO286_g6,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_G6,
DTS-017,M7-TC-03,M3R_STAGE_A + M3R_STAGE_B,SKIRT_COAXIALITY,COAXIALITY_DIAMETRAL_ZONE,0.05,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-018,M7-TC-04,M3R_STAGE_A + M3R_STAGE_B,STAGE_B_M5_CLEARANCE_HOLE_5P5,SIZE_LIMITS,ISO286_H7,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H7,
DTS-019,M7-TC-04,M3R_STAGE_A + M3R_STAGE_B,M5_FASTENER_MAJOR_DIAMETER_PROXY,SIZE_LIMITS,ISO286_h6_ON_5P000_MAJOR,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H6_THREAD_MAJOR_PROXY,shaft proxy for thread major; final fastener spec WP4 PENDING_SIBLING_HASH
DTS-020,M7-TC-04,M3R_STAGE_A + M3R_STAGE_B,M5_PATTERN_POSITION_EACH_SIDE,POSITION_RADIAL_HALF_WIDTH,0.05,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,"radius 62.5 mm pattern, 8 places"
DTS-021,M7-TC-05,M3R_STAGE_A + M3R_STAGE_B + CLOCKING_DOWEL,CLOCKING_DOWEL_PIN_4P0,SIZE_LIMITS,ISO286_m6,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_M6_DOWEL_PIN,
DTS-022,M7-TC-05,M3R_STAGE_A + M3R_STAGE_B + CLOCKING_DOWEL,STAGE_B_BLIND_HOLE_4P0_PRESS_SEAT,SIZE_LIMITS,ISO286_H7,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H7,press fit -0.012..0.008 mm
DTS-023,M7-TC-05,M3R_STAGE_A + M3R_STAGE_B + CLOCKING_DOWEL,STAGE_A_DOWEL_CLEARANCE_4P1_SLIP_SEAT,SIZE_LIMITS,ISO286_H7,mm,M3R_INTERFACE_DATUM,ISO 286-2,CANDIDATE_FIT_ISO286_H7,slip clearance 0.088..0.108 mm
DTS-024,M7-TC-05,M3R_STAGE_A + M3R_STAGE_B + CLOCKING_DOWEL,DOWEL_HOLE_POSITION_EACH_SIDE,POSITION_RADIAL_HALF_WIDTH,0.025,mm,M3R_INTERFACE_DATUM,,PROCESS_CAP_ASSUMED,
DTS-025,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,LOAD_BRIDGE_HOLE_6P6,SIZE_LIMITS,ISO286_H11,mm,D_BRIDGE_BUS,ISO 286-2,CANDIDATE_FIT_ISO286_H11,M6 WP1 load-bridge fit candidate (H11/h9)
DTS-026,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,BUS_CIBORE_HOLE_6P6,SIZE_LIMITS,ISO286_H11,mm,D_BRIDGE_BUS,ISO 286-2,CANDIDATE_FIT_ISO286_H11,new bus-side design feature allocated by this WP; adoption WP1 DESIGN_FREEZE_ASSEMBLY_V1 PENDING_SIBLING_HASH
DTS-027,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,M6_FASTENER_SHAFT_PROXY,SIZE_LIMITS,ISO286_h9_ON_6P000,mm,D_BRIDGE_BUS,ISO 286-2,CANDIDATE_FIT_ISO286_H9_SHAFT_PROXY,M6 WP1 fit candidate; final fastener spec WP4 PENDING_SIBLING_HASH
DTS-028,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,BRIDGE_HOLE_PATTERN_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,D_BRIDGE_BUS,,PROCESS_CAP_ASSUMED,
DTS-029,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,BUS_CIBORE_PATTERN_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,D_BRIDGE_BUS,,PROCESS_CAP_ASSUMED,
DTS-030,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,BUS_MATE_FACE_FLATNESS,FLATNESS,0.05,mm,D_BRIDGE_BUS,,PROCESS_CAP_ASSUMED,
DTS-031,M7-TC-06,SPACECRAFT_LOAD_BRIDGE + BUS_+X_FACE,BRIDGE_BUS_FACE_FLATNESS,FLATNESS,0.05,mm,D_BRIDGE_BUS,,PROCESS_CAP_ASSUMED,
DTS-032,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,STAGE_B_M6_CLEARANCE_HOLE_6P6,SIZE_LIMITS,ISO286_H7,mm,D_BRIDGE_M3R,ISO 286-2,CANDIDATE_FIT_ISO286_H7,existing M3R Stage B feature (working-loop FROZEN nominal)
DTS-033,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,LOAD_BRIDGE_HOLE_6P6,SIZE_LIMITS,ISO286_H11,mm,D_BRIDGE_M3R,ISO 286-2,CANDIDATE_FIT_ISO286_H11,
DTS-034,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,M6_FASTENER_SHAFT_PROXY,SIZE_LIMITS,ISO286_h9_ON_6P000,mm,D_BRIDGE_M3R,ISO 286-2,CANDIDATE_FIT_ISO286_H9_SHAFT_PROXY,final fastener spec WP4 PENDING_SIBLING_HASH
DTS-035,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,STAGE_B_HOLE_PATTERN_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,D_BRIDGE_M3R,,PROCESS_CAP_ASSUMED,
DTS-036,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,BRIDGE_HOLE_PATTERN_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,D_BRIDGE_M3R,,PROCESS_CAP_ASSUMED,
DTS-037,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,STAGE_B_MATE_FACE_FLATNESS,FLATNESS,0.05,mm,D_BRIDGE_M3R,,PROCESS_CAP_ASSUMED,
DTS-038,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,BRIDGE_M3R_FACE_FLATNESS,FLATNESS,0.05,mm,D_BRIDGE_M3R,,PROCESS_CAP_ASSUMED,
DTS-039,M7-TC-07,SPACECRAFT_LOAD_BRIDGE + M3R_STAGE_B,HOLE_EDGE_LIGAMENT,MINIMUM_EDGE_LIGAMENT_FLOOR,6.0,mm,D_BRIDGE_M3R,,DESIGN_ALLOCATED_REQUIREMENT,WC ligament Stage B 6.6425 mm / bridge 6.605 mm; structural check WP7 PENDING_SIBLING_HASH
DTS-040,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,RAIL_PALM_NOMINAL_ADDITIONAL_CLEARANCE,NOMINAL_GAP_REQUIREMENT,0.2,mm,GRIPPER_CAPTURE_FRAME,,DESIGN_ALLOCATED_REQUIREMENT,requirement flowed down to WP1/WP5 geometry owners; NOT taken from the M4 owner example grid (that grid stays non-requirement); neutral sweep witness covers 0-overlap for the R1 slot envelope
DTS-041,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,SLOT_WIDTH,WIDTH_LIMITS_HALF_WIDTH,0.03,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-042,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,RAIL_WIDTH,WIDTH_LIMITS_HALF_WIDTH,0.03,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-043,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,SLOT_STRAIGHTNESS,STRAIGHTNESS,0.01,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-044,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,RAIL_STRAIGHTNESS,STRAIGHTNESS,0.01,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-045,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,GUIDE_PAIR_PARALLELISM,PARALLELISM,0.01,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-046,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,ASSEMBLY_DATUM_SHIFT,ASSEMBLY_SHIFT,0.02,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-047,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,COATING_THICKNESS_EACH_SIDE,COATING_THICKNESS_MAX,0.005,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,thin hard-coat allowance; final coating selection WP6 DESIGN_MATERIAL_SELECTION_V1 PENDING_SIBLING_HASH
DTS-048,M7-TC-08,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,GUARD_BAND,DECISION_GUARD_BAND,0.02,mm,GRIPPER_CAPTURE_FRAME,,DESIGN_ALLOCATED_REQUIREMENT,covers inspection uncertainty decision rule at conformity assessment
DTS-049,M7-TC-09,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,PALM_SLOT_POSITION_SYMMETRY,POSITION_RADIAL_HALF_WIDTH_EACH,0.05,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,left/right rail slots in the single palm part; WC relative 0.10 mm
DTS-050,M7-TC-09,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,FINGER_RAIL_POSITION,POSITION_RADIAL_HALF_WIDTH_EACH,0.05,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,
DTS-051,M7-TC-09,GRIPPER_R1_PALM + GRIPPER_R1_FINGERS,DRIVE_SYNCHRONISM_ERROR,STROKE_SYNC_HALF_WIDTH,0.1,mm,GRIPPER_CAPTURE_FRAME,,PROCESS_CAP_ASSUMED,left/right stroke synchronism allocation; drive topology to WP5 GRIPPER_ENGINEERING_PACK_V1 PENDING_SIBLING_HASH
DTS-052,M7-TC-10,SOLAR_HINGE_BRACKETS,LUG_BORE_POSITION_EACH,POSITION_RADIAL_HALF_WIDTH,0.05,mm,WING_HINGE_DATUM,,PROCESS_CAP_ASSUMED,evaluated over 227.0 mm hinge reference span (frozen panel chord)
DTS-053,M7-TC-10,SOLAR_HINGE_BRACKETS,HINGE_BRACKET_MOUNT_FLATNESS,FLATNESS,0.02,mm,WING_HINGE_DATUM,,PROCESS_CAP_ASSUMED,over 227.0 mm reference span
DTS-054,M7-TC-11,SOLAR_HINGE_HARD_STOP,STOP_ANGLE_REPEATABILITY,ANGULAR_HALF_WIDTH_DEG,0.5,deg,WING_HINGE_DATUM,,PROCESS_CAP_ASSUMED,"consolidated stop-chain term (stop contact geometry, contact flatness, pin freeplay at the stop) — single controllable drawing requirement; decomposition to hardware features needs WP5 hinge hardware nominals"
DTS-055,M7-TC-11,SOLAR_HINGE_HARD_STOP,HINGE_LINE_MISALIGNMENT_CONTRIBUTION,FROM_CHAIN,,rad,WING_HINGE_DATUM,,CROSS_CHAIN_REFERENCE,M7-TC-10 WC misalignment 5.286343e-4 rad carried into this stack
DTS-056,M7-TC-12,HINGE_BRACKET + PANEL_ROOT_FITTING,HINGE_BRACKET_HOLE_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,F_L / F_R,,PROCESS_CAP_ASSUMED,
DTS-057,M7-TC-12,HINGE_BRACKET + PANEL_ROOT_FITTING,BUS_SEAT_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,F_L / F_R,,PROCESS_CAP_ASSUMED,
DTS-058,M7-TC-12,HINGE_BRACKET + PANEL_ROOT_FITTING,PANEL_ROOT_FITTING_HOLE_POSITION,POSITION_RADIAL_HALF_WIDTH,0.05,mm,F_L / F_R,,PROCESS_CAP_ASSUMED,
DTS-059,ALL,ALL_M7_PARTS,UNTOLERANCED_LINEAR_AND_ANGULAR_DIMS,GENERAL_TOLERANCE_DEFAULT,ISO2768-m,mm,PER_PART_DATUM_SCHEME,ISO 2768-1/-2 medium,DESIGN_ALLOCATED_REQUIREMENT,drawing default for dimensions without an explicit allocation row; explicit rows above always win
