item_id,item,active_baseline_mass_kg,active_classification,legacy_material_derived_mass_kg,v5_material_derived_mass_kg,mga_percent,mga_mass_kg,projected_mass_kg,authority_status,hold_reason
MGA-001,M3R_TOTAL_STAGE_A_PLUS_STAGE_B,0.7619,BUDGETED,0.761904197,0.782327248,,,,ACTIVE_BASELINE_ONLY,HOLD_NO_OWNER_APPROVED_MASS_GROWTH_ALLOWANCE_POLICY
MGA-002,M3R_STAGE_A_RING,,,0.345018961,0.345018961,,,,HOLD_ACTIVE_COMPONENT_BASELINE_MISSING,TOTAL_BUDGET_NOT_OWNER_ALLOCATED_BY_COMPONENT
MGA-003,M3R_STAGE_B_LOAD_DIFFUSION_PLATE,,,0.416885236,0.437308287,,,,HOLD_ACTIVE_COMPONENT_BASELINE_MISSING,TOTAL_BUDGET_NOT_OWNER_ALLOCATED_BY_COMPONENT_AND_GEOMETRY_CANDIDATES_DIFFER
MGA-004,M3R_M4_B601_TO_STAGE_A_FASTENER_SET,,,,,,,,HOLD_BASELINE_MISSING,EXACT_LENGTH_GRADE_WASHER_NUT_PRELOAD_AND_MASS_MISSING
MGA-005,M3R_M5_STAGE_A_TO_STAGE_B_FASTENER_SET,,,,,,,,HOLD_BASELINE_MISSING,EXACT_LENGTH_GRADE_WASHER_NUT_PRELOAD_AND_MASS_MISSING
MGA-006,M3R_M6_STAGE_B_TO_SPACECRAFT_FASTENER_SET,,,,,,,,HOLD_BASELINE_MISSING,MATING_GEOMETRY_LENGTH_GRADE_PRELOAD_AND_MASS_MISSING
MGA-007,M3R_INTERSTAGE_LOCATOR_OR_DOWEL,,,,,,,,HOLD_BASELINE_MISSING,DIAMETER_LENGTH_MATERIAL_FIT_AND_MASS_NOT_RELEASED
MGA-008,M3R_CABLE_AND_HARNESS,,,,,,,,HOLD_BASELINE_MISSING,CABLE_HARNESS_DEFINITION_AND_MASS_MISSING
MGA-009,B601_COMPLETE_ARM,4.695555949342986,BUDGETED,,,,,,ACTIVE_ACCEPTED_URDF_BASELINE,HOLD_NO_OWNER_APPROVED_MASS_GROWTH_ALLOWANCE_POLICY
MGA-010,SYSTEM_TOTAL_CONFIGURATION_DEPENDENT,,,,,,,,HOLD_NOT_EVALUABLE,BUS_SOLAR_TARGET_CONFIGURATION_AND_TRANSFORM_AUTHORITIES_MISSING
