record_id,component_scope,candidate_material,material_source_type,material_source_path,material_source_sha256,material_source_field,material_approved,material_confidence,process_candidate,process_approved,heat_treatment_or_condition_approved,coating_or_finish_approved,density_authorized_for_mass,mechanical_properties_authorized_for_fea,flight_environment_screening,procurement_spec,lot_traceability,status,blocking_evidence
MAT-001,M3R_STAGE_A_INTERFACE_RING,AL6061-T6,LOCAL_DIGITAL_GEOMETRY_CANDIDATE,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,stage_A_interface_ring.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,RELEASED_MATERIAL_SPEC;PROCUREMENT_CONDITION;LOT_CERTIFICATE;PROCESS_ROUTE;FINISH;ENVIRONMENTAL_COMPATIBILITY;DESIGN_ALLOWABLES
MAT-002,M3R_STAGE_B_LOAD_SPREADING_ADAPTER,AL6061-T6,LOCAL_DIGITAL_GEOMETRY_CANDIDATE,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,591958F3A3BD06F5BD26B8218BFE145B4894031EC5005BC58C638B56D77F6E51,stage_B_load_spreading_adapter.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,RELEASED_MATERIAL_SPEC;PROCUREMENT_CONDITION;LOT_CERTIFICATE;PROCESS_ROUTE;FINISH;ENVIRONMENTAL_COMPATIBILITY;DESIGN_ALLOWABLES
MAT-003,WING_ROOT_CLEVIS_LEFT_RIGHT,AL6061-T6,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,rows_3_4.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,RELEASED_MATERIAL_SPEC;PROCESS_ROUTE;HINGE_LOADS;FIT_TOLERANCE;ENVIRONMENTAL_COMPATIBILITY;DESIGN_ALLOWABLES
MAT-004,WING_HINGE_AXIAL_SPACER,PTFE-FILLED-BRONZE,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,row_5.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,GRADE_AND_COMPOSITION;PROCUREMENT_SPEC;TRIBOLOGY_DATA;VACUUM_AND_TEMPERATURE_SCREENING;DIMENSIONAL_STABILITY
MAT-005,WING_HARNESS_GROMMET,VMQ-60A,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,row_6.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,GRADE_AND_COMPOUND;PROCUREMENT_SPEC;OUTGASSING;TEMPERATURE_RANGE;COMPRESSION_SET;FLAMMABILITY_IF_APPLICABLE
MAT-006,WING_MECHANICAL_STOP_PAD,AL6061-T6,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,row_7.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,RELEASED_MATERIAL_SPEC;PROCESS_ROUTE;CONTACT_SURFACE_FINISH;IMPACT_OR_STOP_LOAD;DESIGN_ALLOWABLES
MAT-007,G07_G08_MID_PRIMARY_SUPPORTS,AL7075-T6,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,rows_8_11_14.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,RELEASED_MATERIAL_SPEC;PROCUREMENT_CONDITION;STRESS_CORROSION_SCREENING;PROCESS_ROUTE;FINISH;DESIGN_ALLOWABLES
MAT-008,G07_CONTACT_PAD,PTFE-25GF,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,rows_9_10.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,GRADE_AND_FILLER_FRACTION;PROCUREMENT_SPEC;CREEP;WEAR;OUTGASSING;TEMPERATURE_RANGE;CONTACT_CALIBRATION
MAT-009,G08_CONTACT_PAD,VMQ-60A,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,rows_12_13.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,GRADE_AND_COMPOUND;PROCUREMENT_SPEC;OUTGASSING;TEMPERATURE_RANGE;COMPRESSION_SET;CONTACT_CALIBRATION
MAT-010,MID_CONTACT_PAD,VESPEL-SP1,LOCAL_DIGITAL_BOM_CANDIDATE,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/08_bom/V5_NATIVE_BOM_SEED.csv,BD25A8A680E5BBDB9EB624987E6CCD0500E7CFE5C83C9466B02F83E3474B3EBA,rows_15_16.material,false,MEDIUM_CANDIDATE_SCOPE_ONLY,,false,false,false,false,false,HOLD,,,CANDIDATE_ONLY,PROCUREMENT_SPEC;LOT_CERTIFICATE;CREEP;WEAR;OUTGASSING;TEMPERATURE_RANGE;CONTACT_CALIBRATION
