asset_id,path,sha256,status,consumer,authorized_scope
M4SIM-001,08_simulation_assets/MECH_RL_INTERFACE_V2.yaml,2A72F8B77220529B191BA6FE780924D2067195EC9CAF7A7EE5626A589B2E826F,HASH_BOUND_FINAL_WORKING_INTERFACE_14_REQUIRED_ARTIFACTS,Sim14,BOUNDED_DIAGNOSTIC_INTERFACE
M4SIM-002,03_mass_properties/CONFIGURATION_LIBRARY_V1.yaml,DCE40C1DB8A318A077F0DD92A47F236BE55EAF2FD32B4E514D2BB67C9B19B4A2,HASH_BOUND_RELEASE_PROPERTIES_HOLD,Sim14,ADR_ALIGNED_DIAGNOSTIC_BRANCH_B_ONLY
M4SIM-003,03_mass_properties/SYSTEM_MASS_PROPERTIES_V3.yaml,3F88318666C8A7DA57A74D65F94E8B27A7D84E32741039A893C21FC247A9FE9F,HASH_BOUND_RELEASE_SYSTEM_PROPERTIES_HOLD,Sim14,ADR_ALIGNED_DIAGNOSTIC_BRANCH_B_AND_PROVISIONAL_TARGETS_ONLY
M4SIM-004,01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml,67293323A45237FB9B415871A4160732EFB156DE74776C9E11ABA9C4202134CA,HASH_BOUND_IDENTITY_ALIAS_AND_NULL_TRANSFORMS_ACTION_MASKED,Sim14,FRAME_VALIDATION_ONLY
M4SIM-005,02_parameterized_cad/SEI_DIGITAL_PROTOTYPE_V1.FCStd,DEA1BC93AB182C0003B37B8B8D7D7BA2559AFB649769BDE59E52FAC0DB20D481,HASH_BOUND_DIGITAL_PROTOTYPE_WITH_RELEASE_HOLDS,Sim14,VISUAL_AND_GEOMETRY_REFERENCE_ONLY
M4SIM-006,02_parameterized_cad/SEI_DIGITAL_PROTOTYPE_V1.step,0FA64971512FAAA0B1D8EB026D4449DD513340BE8F047554D370ED359CD28020,HASH_BOUND_VALID_40_SOLID_COLD_REOPEN,Sim14,VISUAL_AND_GEOMETRY_REFERENCE_ONLY
M4SIM-007,02_parameterized_cad/DIGITAL_PROTOTYPE_COLLISION_ASSET_REGISTER_V1.yaml,A4881B5B99101EE861FF5112DA67C4985C0A51BA1D75F8659A17A7032FC7AFBE,HASH_BOUND_CAPTURE_COLLISION_HOLD,Sim14,ACTION_MASK_POLICY_ONLY
M4SIM-008,02_parameterized_cad/DIGITAL_PROTOTYPE_GEOMETRY_AUDIT_V1.json,99D2CCD1E1527B3B80035BCDDE15DC047E5AC76E5503756F6EF8BB652CC13D6D,PASS_WITH_RELEASE_HOLDS,Sim14,INPUT_VALIDATION_ONLY
M4SIM-009,02_parameterized_cad/DIGITAL_PROTOTYPE_INDEPENDENT_VALIDATION_V1.json,C610C7C490AA309A1FB23C09D9EB5311BFA5905731B977AA42E1F3AD86D3F4E9,PASS_WITH_RELEASE_HOLDS,Sim14,INPUT_VALIDATION_ONLY
M4SIM-010,03_mass_properties/M4_MASS_MATERIAL_TOLERANCE_MECHANISM_AUDIT_V1.json,C6940A4B5D4D3A65D8508603FE098BE68D1BF10E63F9B1FED61FC12BF191F499,HASH_BOUND_MASS_MATERIAL_TOLERANCE_MECHANISM_AUDIT_13_OF_13,Sim14,INPUT_VALIDATION_TRACE_ONLY_NOT_RUNTIME_UNLOCK
