configuration,mesh_set,arm_part,link,env_part,env_role,tier,aabb_gap_mm,mesh_gap_mm,effective_gap_mm,classification,counts_as_real,q_deg
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Adapter_Plate,ARM_MOUNT_INTERFACE,AABB_CLEAR,12.405,,12.405,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Aft_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,216.7609,,216.7609,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Central_Boss,ARM_MOUNT_INTERFACE,MESH,2.405,2.7142,2.7142,EXCLUDED_BOLTED_MOUNT_INTERFACE,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Deck_Front_Bay,BUS_STRUCTURE,AABB_CLEAR,91.405,,91.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Deck_Mid_Bay,BUS_STRUCTURE,AABB_CLEAR,152.405,,152.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Deck_Rear_Bay,BUS_STRUCTURE,AABB_CLEAR,274.405,,274.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Front_End_Frame,BUS_STRUCTURE,AABB_CLEAR,27.405,,27.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Front_Transverse_Frame,BUS_STRUCTURE,AABB_CLEAR,85.405,,85.405,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Fwd_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,60.328,,60.328,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Base_1_Left,BUS_STRUCTURE,AABB_CLEAR,363.1471,,363.1471,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Base_1_Right,BUS_STRUCTURE,AABB_CLEAR,363.1517,,363.1517,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Base_2_Left,BUS_STRUCTURE,AABB_CLEAR,168.8604,,168.8604,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Base_2_Right,BUS_STRUCTURE,AABB_CLEAR,168.8702,,168.8702,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Rod_1_Left,BUS_STRUCTURE,AABB_CLEAR,371.8367,,371.8367,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Rod_1_Right,BUS_STRUCTURE,AABB_CLEAR,371.8418,,371.8418,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Rod_2_Left,BUS_STRUCTURE,AABB_CLEAR,179.1662,,179.1662,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,HDRM_Rod_2_Right,BUS_STRUCTURE,AABB_CLEAR,179.1769,,179.1769,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hard_Stop_Left,BUS_STRUCTURE,AABB_CLEAR,275.0303,,275.0303,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_base_link_LINKLOCAL,base_link,Hard_Stop_Right,BUS_STRUCTURE,AABB_CLEAR,275.0373,,275.0373,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
