urdf_link,cad_component,status,collision_mesh_source,triangles
base_link,B51_REF_base_link_LINKLOCAL,MAPPED,CAD STEP tessellation,265028
link1,B51_REF_link1_LINKLOCAL,MAPPED,CAD STEP tessellation,81368
link2,B51_REF_link2_LINKLOCAL,MAPPED,CAD STEP tessellation,419132
link3,B51_REF_link3_LINKLOCAL,MAPPED,CAD STEP tessellation,331392
link4,B51_REF_link4_LINKLOCAL,MAPPED,CAD STEP tessellation,201592
link5,B51_REF_link5_LINKLOCAL,MAPPED,CAD STEP tessellation,176832
link6,B51_REF_link6_LINKLOCAL,MAPPED,CAD STEP tessellation,216564
gripper_link,B51_REF_gripper_detail_LINKLOCAL,MAPPED,CAD STEP tessellation,149156
gripper_left,,MISSING_GRIPPER_NOT_SEPARATED,,0
gripper_right,,MISSING_GRIPPER_NOT_SEPARATED,,0
