urdf_link,urdf_joint,joint_type,parent_link,cad_component,cad_native_path,cad_native_sha256,joint_origin_xyz_m,joint_origin_rpy_rad,joint_axis,lower_limit,upper_limit,urdf_mass_kg,mass_authority,mapping_status,notes
base_link,,ROOT,,B51_REF_base_link_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_base_link_LINKLOCAL.SLDPRT,3693A96973CCBFE4C00B202C4D80027E44E0CB13BBEA73C6FAABD8A4D1E995B0,0 0 0,0 0 0,,,,0.8366,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
link1,joint1,revolute,base_link,B51_REF_link1_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link1_LINKLOCAL.SLDPRT,BDC68C8CC26AF2DB318F800384BBDE5659617B911FD2B64A7D10D1416AC4AEFB,-8.416E-05 0 0.08465,0 0 0,0 0 1,-2.8,2.8,0.1613,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
link2,joint2,revolute,link1,B51_REF_link2_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link2_LINKLOCAL.SLDPRT,DE6FD9A9E878585F0D7AB4476679E6A1F4CC49732D298AF4BA3AD8503381730E,0.020084 0.031625 0.05555,-1.5708 0 0,0 0 -1,-3.14,0,1.3266,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
link3,joint3,revolute,link2,B51_REF_link3_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link3_LINKLOCAL.SLDPRT,1D8E82786F8F8D06BF75EDBCC1B0E8662D364BE08DE81E1BD3C4442811259F83,-0.264 0 0,0 0 0,0 0 1,-3.14,0,0.8353,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
link4,joint4,revolute,link3,B51_REF_link4_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link4_LINKLOCAL.SLDPRT,3E60226EAE9BBFC460C0B7DC1CF2138ABFD8B579CD962F545E2821A4DDBC0AE4,0.2426 -0.054 -0.001625,0 0 0,0 0 1,-1.87,1.57,0.52,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
link5,joint5,revolute,link4,B51_REF_link5_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link5_LINKLOCAL.SLDPRT,EE7F882445CD43603902FBA7E66FF7F0A5765BEC09EC962DC39546132274513A,0.078308 -0.0375 -0.03,-1.5708 0 0,0 0 1,-1.57,1.57,0.383,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
link6,joint6,revolute,link5,B51_REF_link6_LINKLOCAL,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link6_LINKLOCAL.SLDPRT,863AEF31D7DEB964F6AF1B99DAC060EF5ED261340D2BE0F52419B1DEE775E68C,0.023692 0 0.04,0 1.5708 0,0 0 1,-3.14,3.14,0.3663,ACCEPTED_URDF,MAPPED_FROM_FROZEN_V5_THREAD,Accepted URDF is unmodified; CAD is geometry comparison only.
gripper_link,gripper_joint,fixed,link6,B51_REF_gripper_detail_LINKLOCAL,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/gripper/B601_GRIPPER_PALM.SLDPRT,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,0 0 0.15971,0 -1.5708 0,0 0 0,,,0.181800159145243,ACCEPTED_URDF,MAPPED_WITH_GRIPPER_R1_HOLD,Accepted URDF is unmodified; CAD is geometry comparison only.
gripper_left,gripper_joint1,prismatic,gripper_link,B601_GRIPPER_LEFT_FINGER,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/gripper/B601_GRIPPER_LEFT_FINGER.SLDPRT,60C634173C1F138FCF6D553652655CF2308C4E302DB3A4DAE818E356E16F8A00,-0.042091 2.7531E-05 -1.3031E-05,0 0 -1.5708,1 0 0,0,0.0715,0.0423278952416158,ACCEPTED_URDF,MAPPED_WITH_GRIPPER_R1_HOLD,Accepted URDF is unmodified; CAD is geometry comparison only.
gripper_right,gripper_joint2,prismatic,gripper_link,B601_GRIPPER_RIGHT_FINGER,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/gripper/B601_GRIPPER_RIGHT_FINGER.SLDPRT,9D88E05B15F8F5D684A2D9EAC28DC67A3B789ABE5421D95843815289ED43C5B7,-0.042091 -2.7531E-05 1.3031E-05,0 0 1.5708,1 0 0,0,0.0715,0.0423278949561274,ACCEPTED_URDF,MAPPED_WITH_GRIPPER_R1_HOLD,Accepted URDF is unmodified; CAD is geometry comparison only.
