item,component,quantity,source,material,tolerance,finish,fastener_torque,status,release_scope
1,12U_BUS,1,V2_2 main neutral STEP/FCStd,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,MAIN_NEUTRAL_GEOMETRY_PRESENT,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
2,M3R_STAGE_A_RING,1,V4_B601_STAGE_A_INTERFACE_RING_REVB.step addendum,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,PACKAGE_ADDENDUM_PRESENT;MONOLITHIC_PLACEMENT_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
3,M3R_STAGE_B_LOAD_DIFFUSION_PLATE,1,V4_B601_STAGE_B_LOAD_ADAPTER_REVB2.step addendum,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,PACKAGE_ADDENDUM_PRESENT;MONOLITHIC_PLACEMENT_AND_MASS_RECONCILIATION_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
4,B601_BASE,1,accepted URDF base_link,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
5,B601_LINK_1,1,accepted URDF link1,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
6,B601_LINK_2,1,accepted URDF link2,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
7,B601_LINK_3,1,accepted URDF link3,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
8,B601_LINK_4,1,accepted URDF link4,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
9,B601_LINK_5,1,accepted URDF link5,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
10,B601_LINK_6,1,accepted URDF link6,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
11,B601_WRIST_FIXED,1,accepted URDF gripper_joint,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,URDF_AUTHORITY,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
12,B601_GRIPPER_R1,1,gripper_r1/B601_GRIPPER_PALM_RAIL_SLOT_R1.step addendum,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,GRIPPER_GEOMETRY_CORRECTION_PASS_NEUTRAL_ONLY;NATIVE_V5_REINTEGRATION_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
13,SOLAR_ARRAY_LEFT,1,V2_2/V5 left wing,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,TBD — MANUFACTURING OR FLIGHT AUTHORITY REQUIRED,GEOMETRY_SOURCE_PRESENT;CONFIG_READBACK_HOLD,COMPETITION_PROTOTYPE_ONORBIT_OPERATIONAL_INTERFACE
