record_type,side,source_name,semantic_name,neutral_import_index,source_bbox_mm,swept_bbox_mm,affected_palm_bodies,selector,original_volume_mm3,derived_volume_mm3,removed_volume_mm3,operation
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL005,LEFT_FINGER_SOLID_01__B51_REF_gripper_detail_LINKLOCAL005,46,"[-75.56401463639999, -16.335512571292025, -9.006083671310853, -71.2995144363, -13.249512251760974, -5.920083310407983]","[-75.56401463639999, -87.83551257129203, -9.006083671310853, -71.2995144363, -13.249512251760974, -5.920083310407983]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL006,LEFT_FINGER_SOLID_02__B51_REF_gripper_detail_LINKLOCAL006,44,"[-75.56401515139999, -26.33551246246644, -9.006157169788315, -71.2995144363, -23.249512251490973, -5.920156774736079]","[-75.56401515139999, -97.83551246246644, -9.006157169788315, -71.2995144363, -23.249512251490973, -5.920156774736079]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL007,LEFT_FINGER_SOLID_03__B51_REF_gripper_detail_LINKLOCAL007,45,"[-75.56401463639999, -26.335622647641667, 5.993842887608047, -71.2995144363, -23.249622298371477, 9.079843102424354]","[-75.56401463639999, -97.83562264764167, 5.993842887608047, -71.2995144363, -23.249622298371477, 9.079843102424354]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL008,LEFT_FINGER_SOLID_04__B51_REF_gripper_detail_LINKLOCAL008,43,"[-75.56401463639999, -16.335622667821646, 5.993916303901494, -71.2995144363, -13.249622404947424, 9.079916644671277]","[-75.56401463639999, -87.83562266782164, 5.993916303901494, -71.2995144363, -13.249622404947424, 9.079916644671277]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL009,LEFT_FINGER_SOLID_05__B51_REF_gripper_detail_LINKLOCAL009,47,"[-78.56401453640565, -34.242640913411044, -9.963226431300143, -70.56401453635563, -5.342493985990964, 10.03698587949998]","[-78.56401453640565, -105.74264091341104, -9.963226431300143, -70.56401453635563, -5.342493985990964, 10.03698587949998]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL010,LEFT_FINGER_SOLID_06__B51_REF_gripper_detail_LINKLOCAL010,0,"[-102.56401453630231, -82.74256744807569, -2.7135625298361963, -74.66401453630999, -77.24256744807569, 2.7864374701638046]","[-102.56401453630231, -154.2425674480757, -2.7135625298361963, -74.66401453630999, -77.24256744807569, 2.7864374701638046]",B51_REF_gripper_detail_LINKLOCAL050;B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL014,LEFT_FINGER_SOLID_07__B51_REF_gripper_detail_LINKLOCAL014,9,"[-106.66401453630203, -9.742481560657419, -14.654367356075397, -99.66401453630199, -3.742481560657419, -8.654367356075397]","[-106.66401453630203, -81.24248156065742, -14.654367356075397, -99.66401453630199, -3.742481560657419, -8.654367356075397]",B51_REF_gripper_detail_LINKLOCAL050;B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL015,LEFT_FINGER_SOLID_08__B51_REF_gripper_detail_LINKLOCAL015,20,"[-74.8460089026101, -27.843428545246155, -10.443157381850824, -58.84600890261001, -21.843428545246155, -4.443157381850824]","[-74.8460089026101, -99.34342854524616, -10.443157381850824, -58.84600890261001, -21.843428545246155, -4.443157381850824]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL019,LEFT_FINGER_SOLID_09__B51_REF_gripper_detail_LINKLOCAL019,14,"[-74.84600890261001, -17.843428545515945, -10.443083917749675, -58.84600890261001, -11.843428545515945, -4.443083917749675]","[-74.84600890261001, -89.34342854551595, -10.443083917749675, -58.84600890261001, -11.843428545515945, -4.443083917749675]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
SWEEP_CANDIDATE,LEFT,B51_REF_gripper_detail_LINKLOCAL020,LEFT_FINGER_SOLID_10__B51_REF_gripper_detail_LINKLOCAL020,15,"[-87.46401453271, -12.004637275964546, -18.02069503745048, -78.5640145327061, -6.504637275964546, -12.52069503745048]","[-87.46401453271, -83.50463727596454, -18.02069503745048, -78.5640145327061, -6.504637275964546, -12.52069503745048]",B51_REF_gripper_detail_LINKLOCAL054,FULL_STROKE_AABB_INTERSECTS_V5_POSE_INDUCED_TARGET_PALM_BODY,,,,
