fingerprint_id,configuration,component_A,body_A,component_B,body_B,interference_volume_mm3,centroid_mm_x,centroid_mm_y,centroid_mm_z,centroid_source,interference_bbox_mm,donor_hash,native_hash_A,native_hash_B,donor_volume_match_mm3,internal_donor_only,across_moving_joint,motion_relevance,functional_jaw_gap_mm,involves_spacecraft_solar_hdrm_camera_harness,external_collision_relevance,disposition,rationale
L1C1-OPEN-001,OPEN,B601_GRIPPER_PALM.SLDPRT,PALM_SOLID_09,B601_GRIPPER_RIGHT_FINGER.SLDPRT,RIGHT_FINGER_SOLID_01;RIGHT_FINGER_SOLID_04;RIGHT_FINGER_SOLID_06;RIGHT_FINGER_SOLID_07,435.914602,-75.864,88.62485,0.0377,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-78.564, 85.2074, -9.9623, -73.164, 92.0423, 10.0377]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,9D88E05B15F8F5D684A2D9EAC28DC67A3B789ABE5421D95843815289ED43C5B7,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-002,OPEN,B601_GRIPPER_LEFT_FINGER.SLDPRT,LEFT_FINGER_SOLID_05;LEFT_FINGER_SOLID_09;LEFT_FINGER_SOLID_13;LEFT_FINGER_SOLID_23,B601_GRIPPER_PALM.SLDPRT,PALM_SOLID_09,435.914602,-75.864,-88.60995,0.03635,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-78.564, -92.0274, -9.9637, -73.164, -85.1925, 10.0364]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,60C634173C1F138FCF6D553652655CF2308C4E302DB3A4DAE818E356E16F8A00,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-003,OPEN,B601_GRIPPER_LEFT_FINGER.SLDPRT,LEFT_FINGER_SOLID_22;LEFT_FINGER_SOLID_23,B601_GRIPPER_PALM.SLDPRT,PALM_SOLID_09,80.509012,-85.564,-88.61,8.7933,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-88.564, -92.0274, 7.2502, -82.564, -85.1926, 10.3364]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,60C634173C1F138FCF6D553652655CF2308C4E302DB3A4DAE818E356E16F8A00,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-004,OPEN,B601_GRIPPER_PALM.SLDPRT,PALM_SOLID_09,B601_GRIPPER_RIGHT_FINGER.SLDPRT,RIGHT_FINGER_SOLID_22;RIGHT_FINGER_SOLID_23,80.509009,-85.564,88.6249,-8.71925,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-88.564, 85.2075, -10.2623, -82.564, 92.0423, -7.1762]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,9D88E05B15F8F5D684A2D9EAC28DC67A3B789ABE5421D95843815289ED43C5B7,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-005,OPEN,B601_GRIPPER_LEFT_FINGER.SLDPRT,LEFT_FINGER_SOLID_17,B601_GRIPPER_PALM.SLDPRT,PALM_SOLID_07;PALM_SOLID_09,33.937541,-101.664,-84.9926,0.0364,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-103.164, -87.9176, -2.8886, -100.164, -82.0676, 2.9614]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,60C634173C1F138FCF6D553652655CF2308C4E302DB3A4DAE818E356E16F8A00,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-006,OPEN,B601_GRIPPER_PALM.SLDPRT,PALM_SOLID_07;PALM_SOLID_09,B601_GRIPPER_RIGHT_FINGER.SLDPRT,RIGHT_FINGER_SOLID_17,33.937541,-101.664,85.0074,0.0376,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-103.164, 82.0824, -2.8874, -100.164, 87.9324, 2.9626]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,9D88E05B15F8F5D684A2D9EAC28DC67A3B789ABE5421D95843815289ED43C5B7,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-007,OPEN,B601_GRIPPER_LEFT_FINGER.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,B601_GRIPPER_PALM.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,14.276249,-74.36805,-86.5198,-7.46335,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-75.7385, -88.1195, -9.286, -72.9976, -84.9201, -5.6407]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,60C634173C1F138FCF6D553652655CF2308C4E302DB3A4DAE818E356E16F8A00,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-008,OPEN,B601_GRIPPER_PALM.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,B601_GRIPPER_RIGHT_FINGER.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,14.276235,-74.36805,86.5346,7.5374,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-75.7385, 84.9349, 5.7148, -72.9976, 88.1343, 9.36]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,9D88E05B15F8F5D684A2D9EAC28DC67A3B789ABE5421D95843815289ED43C5B7,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-009,OPEN,B601_GRIPPER_LEFT_FINGER.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,B601_GRIPPER_PALM.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,14.275761,-74.3637,-86.52005,7.5367,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-75.7298, -88.1199, 5.7141, -72.9976, -84.9202, 9.3593]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,60C634173C1F138FCF6D553652655CF2308C4E302DB3A4DAE818E356E16F8A00,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
L1C1-OPEN-010,OPEN,B601_GRIPPER_PALM.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,B601_GRIPPER_RIGHT_FINGER.SLDPRT,BODY_EVIDENCE_NOT_CAPTURED_BY_PROBE,14.275726,-74.3637,86.5349,-7.46265,INTERFERENCE_BBOX_CENTER_NOT_VOLUMETRIC_CENTROID,"[-75.7298, 84.935, -9.2853, -72.9976, 88.1348, -5.64]",6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,0E226BA20D6CD2E6E8093EC2772892C2C7AA1C1FCDF8280D0EDDF0EFFD2BCD38,9D88E05B15F8F5D684A2D9EAC28DC67A3B789ABE5421D95843815289ED43C5B7,,NO,YES,PRISMATIC_JAW_DOF_TRAVEL_71.5_MM,82.2284,NO,NONE_INTERNAL_TO_GRIPPER_SUBASSEMBLY,POSE_INDUCED_ACROSS_MOVING_JOINT_RULING_REQUIRED,no donor internal row matches this volume; overlap is produced by commanded prismatic travel
