file_path,sha256,size_bytes,authority_role,allowed_use,prohibited_use,source_status,license_boundary,modification_policy
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\12_gate\F3_P4_GATE_STATUS.json,7CCA7DA6C8C88850BA6EABB166EE8C57FA208A4C609804015A1C1A40A625F849,5402,F3_P4_GATE,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4_EXECUTION_REPORT.md,F3863DD4509A49B464FFC8EF1881D4AE9ABEDAC45D5F8579D8B4C15BBAF66AC2,6619,F3_P4_REPORT,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4A_BASE_ADAPTER_LOAD_BRIDGE_FEA.md,7A55BA3713822002D8100A068DA87549CDB944A8187C06B5708FF1135D16EEFC,5064,F3_P4A_FEA_FRAMEWORK,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4A_SADDLE_REACTION_CONTACT_PRESSURE.md,481C3E154C9577C1DCECE09713086F968D4AC6C285F450AB91D15E5674F47FCE,4403,F3_P4A_SADDLE_FRAMEWORK,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4B_MID_SADDLE_TRADE_STUDY.md,0588E7B337F56794C6B552D5E3FF37CD261AF8126860649CDFB969C85B63996B,4866,F3_P4B_MID_DECISION,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4C_CONTACT_PAD_DETAILED_DESIGN.md,94E5BCC0237824F6D13C38A16186CACA617936988C3C839E08A746B6C36F4970,7519,F3_P4C_PAD_MATRIX,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4D_HDRM_STRUCTURAL_DEEPENING.md,657181E6F12ECDC9AB8019E63E00105F61806C617BD65382C5AD9EAC59BD65DF,5745,F3_P4D_HDRM_INTERFACE,read_only_reference,modification,current,internal,read_only
F:\Space-Embodied-Robot-HAG_A_20260804\12_f3_p1_hifi_attachment\13_reports\F3_P4E_INHERITANCE_MANUFACTURING_DEEPENING.md,6C42D69B67D84D699CA46DEFFC19AE6A39399A62079CF4F4EF0482AFC0FAA00F,12658,F3_P4E_MANUFACTURING,read_only_reference,modification,current,internal,read_only
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\arm_b601_v1.urdf,408147DDC9CC0BBA0FACBF864C559A54D1712262703BA41251514A4303B5A3A4,11029,ACCEPTED_B601_URDF,dynamics_truth,modification_or_mass_override,frozen,see_license,read_only
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\stage1_spacecraft_layout\04_mass_inertia_budget\mass_inertia_budget_v1.csv,073C802527E35C9495188EEFD5D8BA51F524D326142CF2AB31E436BAD0899392,1116,MASS_INERTIA_BUDGET,mass_truth,modification,frozen,internal,read_only
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_3_NATIVE_INTEGRATION\baseline_freeze_manifest.yaml,E27F44E58B726CDA8A5402F539B0CD96D74DE59C809721FFECF71458057D89E9,16218,V2_3_BASELINE_FREEZE,cad_baseline,modification,frozen,internal,read_only
