line_id,item,category,mass_kg,source,status
FRZ-BUS,bus_primary_structure (solid envelope proxy),structure,23.3032134,"repo:SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml#C01 sha256 3fd2557318e9",FROZEN_REF
FRZ-B601,b601_complete_arm_including_gripper,arm,4.695555949342986,"repo:SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml#C01",FROZEN_REF
FRZ-M3R,m3r_stage_a_plus_stage_b_budget_envelope,structure,0.7619,"repo:SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml#C01",FROZEN_REF
FRZ-BRIDGE,spacecraft_load_bridge_candidate,structure,0.702195458,"repo:SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml#C01",FROZEN_REF
FRZ-SOLAR-L,solar_array_r2_left,panel,0.78,"repo:SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml#C01",FROZEN_REF
FRZ-SOLAR-R,solar_array_r2_right,panel,0.78,"repo:SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml#C01",FROZEN_REF
SUBTOTAL-FROZEN-C01,subtotal frozen C01 (6 rows),structure,31.022864807342987,"computed: sum of FRZ-* rows",SUBTOTAL
V2PH-OBC,OBC_CDH_placeholder -> EQ-OBC,avionics,0.024,"V2_mass_ownership_table.csv row 7 sha256 096144350b15",V2_PLACEHOLDER_FILLED
V2PH-EPS,EPS_PMAD_placeholder -> EQ-EPS,avionics,0.181,"V2_mass_ownership_table.csv row 8",V2_PLACEHOLDER_FILLED
V2PH-BAT,battery_placeholder -> EQ-BAT1+EQ-BAT2,avionics,1.0,"V2_mass_ownership_table.csv row 9",V2_PLACEHOLDER_FILLED
V2PH-ADCS,reaction_wheel_IMU_placeholder -> RW1-4+IMU+ST1-2+SS1-6+MTQ-X/Y/Z+MAG+GPS-RCVR+GPS-ANT,avionics,1.24,"V2_mass_ownership_table.csv row 10",V2_PLACEHOLDER_FILLED
V2PH-PERCEPTION,perception_payload_placeholder -> EQ-CAM-NAV+EQ-ILLUM+EQ-FT,payload_sensor,0.45,"V2_mass_ownership_table.csv row 11",V2_PLACEHOLDER_FILLED
V2PH-PROP,propulsion_placeholder -> EQ-PROP-MIPS,propulsion,0.542,"V2_mass_ownership_table.csv row 12",V2_PLACEHOLDER_FILLED
V2PH-COMM,communication_placeholder -> EQ-RADIO+EQ-ANT-S+EQ-ANT-UHF,comm,0.55,"V2_mass_ownership_table.csv row 13",V2_PLACEHOLDER_FILLED
V2PH-THERMAL,thermal_placeholder -> EQ-TH-MLI,thermal,0.15,"V2_mass_ownership_table.csv row 14",V2_PLACEHOLDER_FILLED
V2PH-HARNESS,harness_placeholder -> EQ-HARNESS-INT,harness,0.5,"V2_mass_ownership_table.csv row 15",V2_PLACEHOLDER_FILLED
EQ-CAM-NAV,navigation camera module,payload_sensor,0.2,"ASSUMED (B1 has no camera row; 150-250g eng. estimate)",ASSUMED
EQ-ILLUM,LED illumination module,payload_sensor,0.1,"ASSUMED (eng. estimate)",ASSUMED
EQ-FT,6-axis F/T sensor Mini40-class,payload_sensor,0.15,"ASSUMED (V2-UNK-012; eng. estimate)",ASSUMED
EQ-OBC,GomSpace NanoMind A3200,avionics,0.024,"https://www.satnow.com/products/on-board-computers/gomspace/116-1279-nanomind-a3200 (B1)",CANDIDATE
EQ-EPS,GomSpace NanoPower P60 set,avionics,0.181,"https://gomspace.com/product/nanopower-p60/ (B1)",CANDIDATE
EQ-BAT1,GomSpace NanoPower BPX 100Wh,avionics,0.5,"https://gomspace.com/product/nanopower-bpx/ (B1)",CANDIDATE
EQ-BAT2,GomSpace NanoPower BPX 100Wh #2,avionics,0.5,"https://gomspace.com/product/nanopower-bpx/ (B1)",CANDIDATE
EQ-RW1,AAC Clyde RW400 30mNms,avionics,0.21,"https://www.aac-clyde.space/what-we-do/space-products-components/adcs/rw400 (B1)",CANDIDATE
EQ-RW2,AAC Clyde RW400 30mNms,avionics,0.21,"https://www.aac-clyde.space/what-we-do/space-products-components/adcs/rw400 (B1)",CANDIDATE
EQ-RW3,AAC Clyde RW400 30mNms,avionics,0.21,"https://www.aac-clyde.space/what-we-do/space-products-components/adcs/rw400 (B1)",CANDIDATE
EQ-RW4,AAC Clyde RW400 30mNms,avionics,0.21,"https://www.aac-clyde.space/what-we-do/space-products-components/adcs/rw400 (B1)",CANDIDATE
EQ-IMU,Safran STIM300,avionics,0.055,"https://safran-navigation-timing.com/product/stim300/ (B1)",CANDIDATE
EQ-ST1,AAC Clyde ST200,avionics,0.042,"https://www.aac-clyde.space/what-we-do/space-products-components/adcs/st200 (B1)",CANDIDATE
EQ-ST2,AAC Clyde ST200 #2,avionics,0.042,"https://www.aac-clyde.space/what-we-do/space-products-components/adcs/st200 (B1)",CANDIDATE
EQ-SS1,Solar MEMS nanoSSOC-D60,avionics,0.007,"https://www.cubesatshop.com/wp-content/uploads/2016/06/nanoSSOC-D60-Technical-Specifications.pdf (B1)",CANDIDATE
EQ-SS2,Solar MEMS nanoSSOC-D60,avionics,0.007,"https://www.cubesatshop.com/wp-content/uploads/2016/06/nanoSSOC-D60-Technical-Specifications.pdf (B1)",CANDIDATE
EQ-SS3,Solar MEMS nanoSSOC-D60,avionics,0.007,"https://www.cubesatshop.com/wp-content/uploads/2016/06/nanoSSOC-D60-Technical-Specifications.pdf (B1)",CANDIDATE
EQ-SS4,Solar MEMS nanoSSOC-D60,avionics,0.007,"https://www.cubesatshop.com/wp-content/uploads/2016/06/nanoSSOC-D60-Technical-Specifications.pdf (B1)",CANDIDATE
EQ-SS5,Solar MEMS nanoSSOC-D60,avionics,0.007,"https://www.cubesatshop.com/wp-content/uploads/2016/06/nanoSSOC-D60-Technical-Specifications.pdf (B1)",CANDIDATE
EQ-SS6,Solar MEMS nanoSSOC-D60,avionics,0.007,"https://www.cubesatshop.com/wp-content/uploads/2016/06/nanoSSOC-D60-Technical-Specifications.pdf (B1)",CANDIDATE
EQ-MTQ-X,CubeSpace CubeTorquer M,avionics,0.036,"https://www.nasa.gov/wp-content/uploads/2021/10/5.soa_gnc_2021.pdf?emrc=1511ca (B1)",CANDIDATE
EQ-MTQ-Y,CubeSpace CubeTorquer M,avionics,0.036,"https://www.nasa.gov/wp-content/uploads/2021/10/5.soa_gnc_2021.pdf?emrc=1511ca (B1)",CANDIDATE
EQ-MTQ-Z,CubeSpace CubeTorquer M,avionics,0.036,"https://www.nasa.gov/wp-content/uploads/2021/10/5.soa_gnc_2021.pdf?emrc=1511ca (B1)",CANDIDATE
EQ-MAG,3-axis magnetometer,avionics,0.03,"ASSUMED (B1 has no magnetometer row; 20-40g eng. estimate)",ASSUMED
EQ-PROP-MIPS,VACCO Standard MiPS incl propellant,propulsion,0.542,"https://www.vacco.com/images/uploads/pdfs/MiPS_standard_0714.pdf (B1)",CANDIDATE
EQ-RADIO,Syrlinks EWC31 S-band TT&C,comm,0.3,"envelope: eoPortal OPS-SAT (B1); mass ASSUMED (B1 range 100-500g)",ASSUMED
EQ-ANT-S,EnduroSat S-band patch,comm,0.1,"https://catalog.orbitaltransports.com/s-band-antenna-commercial/ (B1); mass ASSUMED (B1 range 50-300g)",ASSUMED
EQ-ANT-UHF,UHF/VHF whip system,comm,0.15,"ASSUMED (B1 range 50-300g)",ASSUMED
EQ-GPS-RCVR,NovAtel OEM719,avionics,0.031,"https://novatel.com/products/receivers/gnss-gps-receiver-boards/oem719 (B1)",CANDIDATE
EQ-GPS-ANT,GNSS patch antenna,comm,0.05,"ASSUMED (40-60g eng. estimate)",ASSUMED
EQ-TH-MLI,passive thermal kit MLI+coating,thermal,0.15,"ASSUMED (100-200g eng. estimate)",ASSUMED
EQ-HARNESS-INT,internal harness power/data/RF,harness,0.5,"ASSUMED (B1 R11 <5pct rule; ~1.6pct of design point)",ASSUMED
EQ-SEC-STRUCT,internal secondary structure,structure,1.0,"ASSUMED (GAP-IL-06; B1 section 2.1 basis)",ASSUMED
SUBTOTAL-EQUIPMENT-NEW,subtotal new equipment (EQ-* excl SEC-STRUCT),avionics,4.637,"computed: sum of EQ-* rows excluding EQ-SEC-STRUCT",SUBTOTAL
SUBTOTAL-SECONDARY-NEW,subtotal new secondary structure,structure,1.0,"computed: EQ-SEC-STRUCT",SUBTOTAL
ST-STRUCT-REAL,real 12U primary structure (CDS variant only),structure,2.0,"B1 section 2.1 table 3 (1.2-2.0 kg; conservative upper bound)",CANDIDATE
