object_id,logical_role,source_geometry_path,source_sha256,geometry_type,frame_id,frame_transform,unit,operational_authority,candidate_package,missing_reason,allowed_stages
A::base_link,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.npz,A0C5F9FAB58A748F2F89DC7CE398684B5A8C1205426C153C6752C56226250428,OPERATIONAL_COLLISION_PROXY_NPZ,base_link,ACCEPTED_URDF_FK,m,SYSTEM_OPERATIONAL,,,ALWAYS_IN_M01
A::gripper_left,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_GRIPPER_2P_OPERATIONAL_PROXY_V1/05_results/LOCAL_CANDIDATE_GATE_V1.json,6E4B66C2E913EBF175BEA1E3279820D02A5BD24E50D95F9E43A8DEBAEEBD698F,STEP_FIRST_LOCAL_CANDIDATE,gripper_left,ACCEPTED_URDF_FK_PLUS_M5_R1_GRIPPER_MOTION_CONTRACT,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,GRIPPER_2P,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,REQUIRES_gripper_joint1_m
A::gripper_link,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_GRIPPER_2P_OPERATIONAL_PROXY_V1/05_results/LOCAL_CANDIDATE_GATE_V1.json,6E4B66C2E913EBF175BEA1E3279820D02A5BD24E50D95F9E43A8DEBAEEBD698F,STEP_FIRST_LOCAL_CANDIDATE,gripper_link,ACCEPTED_URDF_FK_PLUS_M5_R1_GRIPPER_MOTION_CONTRACT,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,GRIPPER_2P,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
A::gripper_right,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_GRIPPER_2P_OPERATIONAL_PROXY_V1/05_results/LOCAL_CANDIDATE_GATE_V1.json,6E4B66C2E913EBF175BEA1E3279820D02A5BD24E50D95F9E43A8DEBAEEBD698F,STEP_FIRST_LOCAL_CANDIDATE,gripper_right,ACCEPTED_URDF_FK_PLUS_M5_R1_GRIPPER_MOTION_CONTRACT,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,GRIPPER_2P,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,REQUIRES_gripper_joint2_m
A::link1,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/05_results/B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json,18BF897628B61B5EF031B8D19EE8E8172292B50CF76EACE40B43FB67DE3BDEB3,STEP_FIRST_LOCAL_CANDIDATE,link1,ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,RIGID_LINKS,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
A::link2,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/05_results/B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json,18BF897628B61B5EF031B8D19EE8E8172292B50CF76EACE40B43FB67DE3BDEB3,STEP_FIRST_LOCAL_CANDIDATE,link2,ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,RIGID_LINKS,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
A::link3,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/05_results/B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json,18BF897628B61B5EF031B8D19EE8E8172292B50CF76EACE40B43FB67DE3BDEB3,STEP_FIRST_LOCAL_CANDIDATE,link3,ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,RIGID_LINKS,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
A::link4,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/05_results/B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json,18BF897628B61B5EF031B8D19EE8E8172292B50CF76EACE40B43FB67DE3BDEB3,STEP_FIRST_LOCAL_CANDIDATE,link4,ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,RIGID_LINKS,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
A::link5,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/05_results/B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json,18BF897628B61B5EF031B8D19EE8E8172292B50CF76EACE40B43FB67DE3BDEB3,STEP_FIRST_LOCAL_CANDIDATE,link5,ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,RIGID_LINKS,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
A::link6,A::?,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/05_results/B601_RIGID_LINK_OPERATIONAL_PROXY_LOCAL_GATE_V1.json,18BF897628B61B5EF031B8D19EE8E8172292B50CF76EACE40B43FB67DE3BDEB3,STEP_FIRST_LOCAL_CANDIDATE,link6,ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED,mm,LOCAL_CANDIDATE_PASS_PENDING_OWNER_BINDING,RIGID_LINKS,OWNER_SYSTEM_REGISTRY_REVISION_NOT_ISSUED,ALWAYS_IN_M01
