object_id,logical_role,source_candidate_id,source_geometry_path,source_geometry_sha256,geometry_representation,frame_id,frame_transform,unit,scale,operational_geometry_authority,allowed_stage_set,collision_group,adjacency_class,missing_reason,generation_method,owning_link,asset_path,asset_sha256,hausdorff_derate_mm,element_count,bounds_lo,bounds_hi
A::base_link,A::PHYSICAL,BASE_LINK_OPERATIONAL_COLLISION_V2,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.npz,A0C5F9FAB58A748F2F89DC7CE398684B5A8C1205426C153C6752C56226250428,DESIGN_SURFACE_TRIANGLE_MESH_NPZ,base_link,MOUNT_STATIC,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,OPERATIONAL_NPZ_PROXY_UNIT_NORMALIZATION_M_TO_MM,base_link,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__base_link_OP_V1.npz,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,0.0,207490,"[-45.972327603, -46.054537371, 2.455067643]","[46.027672597, 45.945462829, 82.60506774299999]"
A::gripper_left,A::PHYSICAL,B601_GRIPPER_2P_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_GRIPPER_2P_OPERATIONAL_PROXY_V1/01_cad/B601_GRIPPER_LEFT_FINGER_CHILD_LINK_LOCAL_V1.step,D0B725BEC635BD170D89C6C4DE933D519CC480A096A1BB0189CD55C50738E380,CANDIDATE_BREP_SOLID,gripper_left,ARM_FK_2P,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__GRIPPER_J1_BOUND_0_0M,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,gripper_left,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__gripper_left_OP_V1.brep,2B8E3E3F169FAC444241B69D69A2F0C87413AE7F9E5DA3A9BB0A65F45B501842,0.0,24,"[-31.33113564211838, -65.07438712852114, -32.95147241225403]","[82.77167653269632, 42.13775886727713, 33.051423157177865]"
A::gripper_link,A::PHYSICAL,B601_GRIPPER_2P_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_GRIPPER_2P_OPERATIONAL_PROXY_V1/01_cad/B601_GRIPPER_PALM_GRIPPER_LINK_LOCAL_V1.step,97E2FE07FE24673DEAE473D0518FD30E3345ED85A82F8811265482B0215811BC,CANDIDATE_BREP_SOLID,gripper_link,ARM_FK_2P,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,gripper_link,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__gripper_link_OP_V1.brep,DCEC07D2964D0FC104C99EB4FEF75F32CDB55616BFBF37FDB0134A723B388F3E,0.0,12,"[-107.16412453644904, -92.02751203054068, -34.19641827854705]","[-74.0639045362487, 92.04237713006708, 34.270468644479045]"
A::gripper_right,A::PHYSICAL,B601_GRIPPER_2P_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_GRIPPER_2P_OPERATIONAL_PROXY_V1/01_cad/B601_GRIPPER_RIGHT_FINGER_CHILD_LINK_LOCAL_V1.step,9A96D53CCC6EEE6272EE571041EA41B36C85904D7B6C5BD5179980EB43613327,CANDIDATE_BREP_SOLID,gripper_right,ARM_FK_2P,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__GRIPPER_J2_BOUND_0_0M,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,gripper_right,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__gripper_right_OP_V1.brep,11F0440F4E60C0C03A76813417F3E4BAF6C62A74136E8889A16D89DD2A151D39,0.0,24,"[-31.31627054258405, -42.13775892186203, -32.97737279123454]","[82.78654163222195, 65.07438707391223, 33.02552277819557]"
A::link1,A::PHYSICAL,B601_RIGID_LINK_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/03_assets/B601_LINK1_OPERATIONAL_COLLISION_PROXY_V1.step,59DCDDCBF0E35DD5172E7DB8D1E8BAE5E4765859F0F32091BFA0E79220B4AA4A,CANDIDATE_BREP_SOLID,link1,ARM_FK,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,link1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__link1_OP_V1.brep,86103C2F14F578CEA9D28E6DBECFBA97763EBA2BFDD3E09A51C9C63D62E681F6,0.0,12,"[-38.18699421034, -38.779006168705, -10.600011895759]","[48.726987854106, 38.481016472443, 87.949976425035]"
A::link2,A::PHYSICAL,B601_RIGID_LINK_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/03_assets/B601_LINK2_OPERATIONAL_COLLISION_PROXY_V1.step,78774178708986E5931B8FB6E1AD5EB18B648C0618B037740DA4619DBAA146F8,CANDIDATE_BREP_SOLID,link2,ARM_FK,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,link2,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__link2_OP_V1.brep,3D1140864C5B962C73A3856DF1BA80F165AC440BB77E688BBE950CF83EF50EA4,0.0,12,"[-292.24699745635, -28.54102180943434, -65.36005513415]","[28.753005068167003, 28.469019398553662, 2.6500104614510023]"
A::link3,A::PHYSICAL,B601_RIGID_LINK_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/03_assets/B601_LINK3_OPERATIONAL_COLLISION_PROXY_V1.step,3C894C51B4EDB2C54BEAC08AD5804BF63B7631D180D529EB18CFC580B018CEA4,CANDIDATE_BREP_SOLID,link3,ARM_FK,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,link3,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__link3_OP_V1.brep,F4C103D7202F5210248B4EB8B13D6E83A99DB436CD12C8B1B5BE3879A7C48ECA,0.0,12,"[-26.70562091038, -81.33298979744998, -71.16909401164]","[271.119982104163, 23.67703133868401, 9.090936571826012]"
A::link4,A::PHYSICAL,B601_RIGID_LINK_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/03_assets/B601_LINK4_OPERATIONAL_COLLISION_PROXY_V1.step,2DE7E5CE61CC154E66C2D4F498CA16C764D6D695E3E857B3CABB3E011D4B0AA8,CANDIDATE_BREP_SOLID,link4,ARM_FK,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,link4,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__link4_OP_V1.brep,2D5CA3A409945CFF9CEA093CEC667E84F0146298A5CC08CD0449D2506D0B5090,0.0,12,"[-29.52822866605, -86.33799181923999, -63.37501184688001]","[116.35572473273999, 29.629382133946002, 3.3950245161529993]"
A::link5,A::PHYSICAL,B601_RIGID_LINK_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/03_assets/B601_LINK5_OPERATIONAL_COLLISION_PROXY_V1.step,89DFC8D1589871771469015C10DA6E2671276C454FE90A78D9290030E09A0B48,CANDIDATE_BREP_SOLID,link5,ARM_FK,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,link5,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__link5_OP_V1.brep,70040C40AC1E5C5E6C75B5108BF9D23F6BC005EF3721169CD495F0A9339CF293,0.0,12,"[-36.68002487765, -38.59201894745692, -5.780997320427001]","[33.329979345663, 38.41797711001208, 79.25897846685199]"
A::link6,A::PHYSICAL,B601_RIGID_LINK_OPERATIONAL_PROXY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_B601_RIGID_LINK_OPERATIONAL_PROXY_V1/03_assets/B601_LINK6_OPERATIONAL_COLLISION_PROXY_V1.step,2FC80AA0226344176C8DFFB260F6130026954318A70150D8B11A96DDFB043EDF,CANDIDATE_BREP_SOLID,link6,ARM_FK,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,A,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,link6,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/A__link6_OP_V1.brep,F161ABD67134CA8C269138F0F6C6025702E1A12D51E0C20A79AE509A067287CF,0.0,12,"[-38.536496560434, -31.749860212660536, -3.959362224199998]","[38.463551651102996, 31.764642164571562, 57.55074770794601]"
