pair_id,stage,object_a,object_b,geometry_sha_a,geometry_sha_b,frame_a,frame_b,required_clearance_m,clearance_policy_source,oracle_type,exact_or_conservative,configuration_domain,result,minimum_distance_m,witness_configuration,failure_reason
A::base_link||A::gripper_left,PRE_RELEASE@q_start_STOW,A::base_link,A::gripper_left,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,2B8E3E3F169FAC444241B69D69A2F0C87413AE7F9E5DA3A9BB0A65F45B501842,base_link,gripper_left,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::gripper_left,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::gripper_left,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,2B8E3E3F169FAC444241B69D69A2F0C87413AE7F9E5DA3A9BB0A65F45B501842,base_link,gripper_left,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::gripper_link,PRE_RELEASE@q_start_STOW,A::base_link,A::gripper_link,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,DCEC07D2964D0FC104C99EB4FEF75F32CDB55616BFBF37FDB0134A723B388F3E,base_link,gripper_link,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::gripper_link,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::gripper_link,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,DCEC07D2964D0FC104C99EB4FEF75F32CDB55616BFBF37FDB0134A723B388F3E,base_link,gripper_link,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::gripper_right,PRE_RELEASE@q_start_STOW,A::base_link,A::gripper_right,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,11F0440F4E60C0C03A76813417F3E4BAF6C62A74136E8889A16D89DD2A151D39,base_link,gripper_right,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::gripper_right,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::gripper_right,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,11F0440F4E60C0C03A76813417F3E4BAF6C62A74136E8889A16D89DD2A151D39,base_link,gripper_right,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link2,PRE_RELEASE@q_start_STOW,A::base_link,A::link2,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,3D1140864C5B962C73A3856DF1BA80F165AC440BB77E688BBE950CF83EF50EA4,base_link,link2,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link2,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::link2,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,3D1140864C5B962C73A3856DF1BA80F165AC440BB77E688BBE950CF83EF50EA4,base_link,link2,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link3,PRE_RELEASE@q_start_STOW,A::base_link,A::link3,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,F4C103D7202F5210248B4EB8B13D6E83A99DB436CD12C8B1B5BE3879A7C48ECA,base_link,link3,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link3,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::link3,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,F4C103D7202F5210248B4EB8B13D6E83A99DB436CD12C8B1B5BE3879A7C48ECA,base_link,link3,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link4,PRE_RELEASE@q_start_STOW,A::base_link,A::link4,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,2D5CA3A409945CFF9CEA093CEC667E84F0146298A5CC08CD0449D2506D0B5090,base_link,link4,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link4,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::link4,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,2D5CA3A409945CFF9CEA093CEC667E84F0146298A5CC08CD0449D2506D0B5090,base_link,link4,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link5,PRE_RELEASE@q_start_STOW,A::base_link,A::link5,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,70040C40AC1E5C5E6C75B5108BF9D23F6BC005EF3721169CD495F0A9339CF293,base_link,link5,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link5,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::link5,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,70040C40AC1E5C5E6C75B5108BF9D23F6BC005EF3721169CD495F0A9339CF293,base_link,link5,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link6,PRE_RELEASE@q_start_STOW,A::base_link,A::link6,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,F161ABD67134CA8C269138F0F6C6025702E1A12D51E0C20A79AE509A067287CF,base_link,link6,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||A::link6,POST_RELEASE@q_goal_RELEASE_CLEAR,A::base_link,A::link6,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,F161ABD67134CA8C269138F0F6C6025702E1A12D51E0C20A79AE509A067287CF,base_link,link6,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
A::base_link||C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,PRE_RELEASE@q_start_STOW,A::base_link,C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,40FA476528D5E01F808062CBDB80E2A04513CA9431EC92310915DF3311094D45,6D846540EB64E8B4CFCB9689D91CF00DB85F0581740BC7A152F3FEA12BB3CDDD,base_link,A0_Q0_REFERENCE,0.0,OWNER_TERMINAL_DIRECTIVE_NONPENETRATION_ZERO,,,ENDPOINT_CONFIGURATION,UNKNOWN,,,ORACLE_WORKER_PROCESS_FAILURE:3221225786
