link_set,margin_deg,mode,profile,L_mm,W_mm,H_mm,worst_protrusion_mm,inside_box,corridor_thickness_mm,gross_residual_slab_width_mm,min_margin_to_hard_limit_deg,mount_angle_deg,seed_spread,self_collision_status,q1,q2,q3,q4,q5,q6
CORRIDOR,0.0,FIT,CDS_12U_REFERENCE,349.598,208.226,87.434,-8.201,True,87.434,138.866,0.001,5.377,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,-3.282,-179.908,-0.003,-104.760,9.928,-4.247
CORRIDOR,0.0,THIN,CDS_12U_REFERENCE,351.002,197.118,80.250,-7.499,True,80.250,146.050,0.001,0.003,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,-0.000,-179.854,-0.001,-107.080,-89.851,0.006
CORRIDOR,2.0,FIT,CDS_12U_REFERENCE,353.553,205.065,80.311,-6.223,True,80.311,145.989,2.000,2.631,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,0.004,-177.909,-2.000,-105.143,-87.954,-1.100
CORRIDOR,2.0,THIN,CDS_12U_REFERENCE,354.181,215.004,80.250,-5.648,True,80.250,146.050,2.021,0.000,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,0.000,-177.821,-2.021,-105.074,0.004,0.004
CORRIDOR,3.0,FIT,CDS_12U_REFERENCE,352.133,212.433,212.431,-6.933,True,212.431,13.869,3.000,45.182,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,-0.046,-21.013,-3.000,86.692,-3.741,0.902
CORRIDOR,3.0,THIN,CDS_12U_REFERENCE,356.344,222.928,80.250,-1.686,True,80.250,146.050,3.015,0.000,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,0.000,-176.880,-3.036,-104.129,0.004,0.004
CORRIDOR,5.0,FIT,CDS_12U_REFERENCE,348.989,209.289,209.289,-8.506,True,209.289,17.011,5.000,117.018,3.1356,NOT_VALIDATED_HULL_LEVEL_ONLY,-109.698,-130.614,-6.869,84.954,61.405,-40.199
CORRIDOR,5.0,THIN,CDS_12U_REFERENCE,365.429,178.421,80.250,-0.286,True,80.250,146.050,5.143,0.082,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,-0.011,-8.963,-5.143,84.624,0.050,-0.057
FULLARM,0.0,FIT,CDS_12U_REFERENCE,381.602,241.976,241.976,7.838,False,241.976,-15.676,0.000,9.545,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,1.254,-0.000,-0.085,78.732,-51.182,-1.275
FULLARM,0.0,THIN,CDS_12U_REFERENCE,365.951,247.122,225.244,10.411,False,225.244,1.056,0.000,11.665,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,-19.625,0.000,0.000,89.305,-45.562,-14.678
FULLARM,2.0,FIT,CDS_12U_REFERENCE,383.086,243.397,243.397,8.549,False,243.397,-17.097,2.000,5.259,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,1.019,-2.000,-2.160,77.545,-51.537,-1.807
FULLARM,2.0,THIN,CDS_12U_REFERENCE,364.227,250.437,226.300,12.068,False,226.300,0.000,2.000,99.731,0.0000,NOT_VALIDATED_HULL_LEVEL_ONLY,1.867,-2.087,-2.000,87.954,-43.227,-1.067
