candidate,station_mm,y_max,y_min,z_max,z_min,clr_plusY,clr_minusY,clr_plusZ,clr_minusZ,rail_min_clearance_mm,governing_rail_zone,responsible_link,classification
CAND_0_THIN,-176.0,2.598,-5.140,13.551,11.851,110.552,108.010,99.599,125.001,135.861,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-175.0,8.642,-9.642,12.151,11.851,104.508,103.508,100.999,125.001,132.809,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-173.0,34.920,-35.920,16.851,11.851,78.230,77.230,96.299,125.001,111.683,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-172.0,37.913,-38.913,16.151,14.015,75.237,74.237,96.999,127.165,110.243,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-171.0,38.125,-39.125,17.351,17.351,75.025,74.025,95.799,130.501,109.154,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-160.0,38.125,-39.125,43.280,43.280,75.025,74.025,69.870,156.430,89.777,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-155.0,-0.500,-0.500,6.750,6.750,113.650,112.650,106.400,119.900,142.939,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-154.0,3.616,-4.616,6.750,6.750,109.534,108.534,106.400,119.900,139.969,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-153.0,7.493,-8.493,6.750,6.750,105.657,104.657,106.400,119.900,137.225,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-151.0,35.218,-36.217,11.850,11.850,77.932,76.933,101.300,125.000,115.304,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-150.0,10.906,-11.905,6.750,6.750,102.244,101.245,106.400,119.900,134.855,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-147.0,13.656,-14.655,6.750,6.750,99.494,98.495,106.400,119.900,132.980,NY_PZ,link1,INSIDE_NOMINAL
CAND_0_THIN,-146.0,32.375,-33.375,74.417,64.239,80.775,79.775,38.733,177.389,78.360,NY_PZ,link2,INSIDE_NOMINAL
CAND_0_THIN,-145.0,36.928,-37.928,78.138,11.849,76.222,75.222,35.012,124.999,76.567,NY_PZ,link2,INSIDE_NOMINAL
CAND_0_THIN,-144.0,38.125,-39.125,80.781,6.749,75.025,74.025,32.369,119.899,69.737,NY_PZ,link1,INSIDE_NOMINAL
