station_mm,Y_min,Y_max,Z_min,Z_max,width_Y,width_Z,responsible_Y_min,responsible_Y_max,responsible_Z_min,responsible_Z_max,component_set_at_station
-195.0,-131.636,48.364,-33.808,-33.694,180.000,0.114,base_link,base_link,base_link,base_link,base_link
-194.0,-135.472,52.191,-33.845,-19.708,187.663,14.137,base_link,base_link,base_link,base_link,base_link
-192.0,-138.707,55.435,-33.947,-33.824,194.142,0.123,base_link,base_link,base_link,base_link,base_link
-191.0,-138.716,55.426,-19.961,-19.838,194.142,0.123,base_link,base_link,base_link,base_link,base_link
-189.0,-140.875,57.603,-34.097,-33.971,198.478,0.126,base_link,base_link,base_link,base_link,base_link
-188.0,-140.884,57.594,-20.112,-19.986,198.478,0.126,base_link,base_link,base_link,base_link,base_link
-185.0,-141.636,58.364,-34.273,-34.146,200.000,0.127,base_link,base_link,base_link,base_link,base_link
-184.0,-141.645,58.355,-20.288,-20.161,200.000,0.127,base_link,base_link,base_link,base_link,base_link
-167.0,-61.932,-21.446,47.170,47.697,40.486,0.526,base_link,base_link,base_link,base_link,base_link
-166.0,-61.835,-21.544,47.647,47.673,40.291,0.026,base_link,base_link,base_link,base_link,base_link
-165.0,-67.935,-15.443,47.083,47.116,52.492,0.033,base_link,base_link,base_link,base_link,base_link
-164.0,-67.744,-15.635,47.561,47.594,52.109,0.033,base_link,base_link,base_link,base_link,base_link
-162.0,-73.468,-9.911,46.944,46.984,63.556,0.040,base_link,base_link,base_link,base_link,base_link
-161.0,-73.190,-10.189,47.424,47.464,63.001,0.040,base_link,base_link,base_link,base_link,base_link
-160.0,-44.791,-38.595,47.659,49.065,6.196,1.406,link1,link1,link1,link1,link1
-159.0,-46.333,-33.992,47.345,49.061,12.342,1.716,link1,link1,link1,link1,link1
-158.0,-78.317,-5.062,46.758,47.319,73.255,0.561,base_link,base_link,base_link,base_link,base_link|link1
-157.0,-77.964,-5.416,47.241,47.287,72.548,0.046,base_link,base_link,base_link,base_link,base_link
-156.0,-79.108,-4.280,47.203,52.236,74.828,5.033,link1,link1,link1,link1,link1
-155.0,-80.321,-3.071,50.964,52.668,77.250,1.704,link1,link1,link1,link1,link1
-153.0,-82.297,-1.083,46.533,47.071,81.214,0.538,base_link,base_link,base_link,base_link,base_link
-147.0,-85.254,1.874,46.277,46.823,87.128,0.546,base_link,base_link,base_link,base_link,base_link
-142.0,-80.337,-3.087,78.002,78.051,77.250,0.049,link1,link1,link1,link1,link1
-141.0,-87.075,3.695,46.000,46.553,90.770,0.552,base_link,base_link,base_link,base_link,base_link
-139.0,-41.689,-41.689,41.294,41.294,0.000,0.000,link1,link1,link1,link1,link1
-138.0,-45.805,-37.572,41.269,41.282,8.232,0.013,link1,link1,link1,link1,link1
-137.0,-49.682,-33.695,41.199,41.209,15.986,0.010,link1,link1,link1,link1,link1
-135.0,-87.690,4.309,45.714,46.271,92.000,0.557,base_link,base_link,base_link,base_link,base_link|link1
-134.0,-53.094,-30.283,41.089,41.103,22.811,0.015,link1,link1,link1,link1,link1
-131.0,-55.844,-27.533,40.944,40.963,28.311,0.018,link1,link1,link1,link1,link1
-129.0,-79.120,-4.264,45.927,45.974,74.856,0.048,link1,link1,link1,link1,link1
-128.0,-57.771,-25.606,40.775,40.795,32.165,0.020,link1,link1,link1,link1,link1
-127.0,-79.693,-8.851,46.159,107.538,70.842,61.380,link1,link2,link1,link2,link1|link2
-126.0,-74.607,-8.848,93.039,111.248,65.759,18.208,link2,link2,link2,link2,link2
-125.0,-74.596,-8.846,91.201,113.633,65.750,22.432,link2,link2,link2,link2,link2
-124.0,-80.360,-3.110,46.066,115.927,77.250,69.861,link1,link1,link1,link2,link1|link2
-123.0,-80.160,-3.223,40.589,117.033,76.938,76.444,link1,link1,link1,link2,link1|link2
-122.0,-74.613,-8.863,86.184,118.447,65.750,32.263,link2,link2,link2,link2,link2
-121.0,-80.364,-3.114,45.875,120.164,77.250,74.289,link1,link1,link1,link2,link1|link2
-120.0,-74.591,-8.841,83.525,121.138,65.750,37.613,link2,link2,link2,link2,link2
-119.0,-74.615,-8.865,40.399,122.074,65.750,81.675,link2,link2,link1,link2,link1|link2
-118.0,-60.089,-3.316,45.782,80.901,56.773,35.119,link2,link1,link1,link2,link1|link2
-117.0,-80.366,-3.116,45.364,124.285,77.250,78.920,link1,link1,link1,link2,link1|link2
-116.0,-74.617,-8.838,79.257,125.103,65.779,45.846,link2,link2,link2,link2,link2
-115.0,-60.117,-18.817,40.215,125.399,41.300,85.184,link2,link2,link1,link2,link1|link2
-114.0,-71.318,-66.918,126.383,126.386,4.400,0.003,link2,link2,link2,link2,link2
-113.0,-74.587,-8.837,77.576,126.967,65.750,49.391,link2,link2,link2,link2,link2
-112.0,-80.369,-3.119,40.048,127.533,77.250,87.486,link1,link1,link1,link1,link1|link2
-111.0,-78.383,-4.999,45.089,127.979,73.384,82.890,link1,link1,link1,link2,link1|link2
-109.0,-74.586,-8.836,39.907,128.786,65.750,88.879,link2,link2,link1,link2,link1|link2
-108.0,-71.285,-11.936,75.139,128.962,59.350,53.823,link2,link2,link2,link2,link2
-107.0,-87.692,4.308,44.429,129.373,92.000,84.944,base_link,base_link,base_link,link2,base_link|link2
-106.0,-80.370,-3.120,39.801,129.729,77.250,89.928,link1,link1,link1,link2,link1|link2
-105.0,-76.203,-7.179,39.736,129.890,69.024,90.154,link1,link1,link1,link2,link1|link2
-104.0,-74.585,-8.835,33.844,130.213,65.750,96.368,link2,link2,link3,link2,link1|link2|link3|link4
-103.0,-74.620,-8.870,30.436,130.353,65.750,99.917,link2,link2,link3,link2,link2|link3|link4
-102.0,-75.067,-8.307,29.080,130.463,66.760,101.383,link4,link4,link3,link2,link2|link3|link4
-101.0,-87.077,3.693,26.634,130.594,90.770,103.960,base_link,base_link,link3,link2,base_link|link2|link3|link4
-100.0,-80.371,-3.121,24.633,130.660,77.250,106.028,link1,link1,link3,link1,link1|link2|link3|link4
-99.0,-75.061,-8.300,22.722,73.687,66.761,50.966,link4,link4,link3,link2,link2|link3|link4
-98.0,-75.077,-8.317,-27.120,130.691,66.760,157.811,link4,link4,link5,link2,link2|link3|link4|link5
-97.0,-75.058,-8.298,20.250,58.129,66.760,37.879,link4,link4,link3,link3,link3|link4
-96.0,-73.080,-10.320,19.189,58.942,62.760,39.753,link4,link4,link3,link4,link3|link4
-95.0,-85.256,1.872,-31.976,60.894,87.128,92.870,base_link,base_link,link5,link3,base_link|link3|link4|link5
-94.0,-80.370,6.424,-41.946,130.318,86.794,172.265,link1,gripper_link,gripper_link,link1,gripper_link|link1|link3|link4|link5
-93.0,-75.055,41.727,-47.383,45.560,116.783,92.943,link4,gripper_link,gripper_link,gripper_link,gripper_link|link3|link4
-92.0,-73.082,71.709,-49.378,63.199,144.791,112.577,link4,gripper_link,gripper_link,link3,gripper_link|link3|link4
-91.0,-61.603,59.053,-51.999,63.846,120.656,115.845,link3,gripper_link,gripper_link,link3,gripper_link|link3
-90.0,-81.884,61.130,-54.760,64.181,143.014,118.940,base_link,gripper_right,gripper_link,link3,base_link|gripper_link|gripper_right|link3|link4|link5
-89.0,-82.299,61.140,-56.225,43.668,143.440,99.892,base_link,gripper_right,gripper_link,base_link,base_link|gripper_link|gripper_right|link3|link4
-88.0,-80.369,-3.119,13.780,128.707,77.250,114.927,link1,link1,link3,link1,link1|link3
-87.0,-73.430,5.587,-65.429,65.352,79.017,130.780,link5,gripper_link,link5,link4,gripper_link|link4|link5
-86.0,-78.567,-4.817,-60.661,66.217,73.750,126.878,link1,link1,gripper_link,link3,gripper_link|link1|link3|link4
-85.0,-80.319,61.142,-59.655,49.458,141.461,109.113,link1,gripper_right,link5,link1,base_link|gripper_right|link1|link3|link4|link5
-84.0,-69.670,-8.292,-41.512,43.873,61.378,85.385,link3,link4,link6,link1,link1|link3|link4|link5|link6
-83.0,-80.368,58.135,-62.856,125.899,138.503,188.755,link1,gripper_link,gripper_link,link1,gripper_link|link1|link3|link4|link5|link6
-82.0,-19.136,83.864,-47.288,67.351,103.000,114.639,link5,gripper_left,link5,link3,gripper_left|gripper_link|link3|link5|link6
-81.0,-75.084,83.885,-50.254,67.512,158.969,117.765,link4,gripper_left,link5,link3,base_link|gripper_left|link3|link4|link5|link6
-80.0,-75.084,-8.267,-51.195,65.258,66.817,116.453,link4,link6,link6,link4,link3|link4|link5|link6
-79.0,-80.121,61.075,-62.513,12.264,141.196,74.777,link5,gripper_right,link5,gripper_right,gripper_link|gripper_right|link3|link5|link6
-78.0,-80.365,54.955,-54.988,122.022,135.320,177.009,link1,gripper_right,link6,link1,base_link|gripper_right|link1|link5|link6
-77.0,-19.770,-11.216,-55.844,11.078,8.554,66.921,link3,link6,link5,link3,link3|link5|link6
-76.0,-75.084,54.700,-17.733,67.796,129.785,85.529,link4,gripper_right,link6,link4,base_link|gripper_link|gripper_right|link4|link6
-75.0,-66.370,70.981,-58.323,42.998,137.351,101.321,link3,gripper_left,link6,base_link,base_link|gripper_left|link3|link5|link6
-74.0,-80.362,71.981,-16.072,117.249,152.343,133.321,link1,gripper_left,link6,link1,gripper_left|link1|link3|link5|link6
-73.0,-45.124,82.785,-46.402,51.824,127.910,98.227,link5,gripper_right,gripper_left,gripper_link,gripper_left|gripper_link|gripper_right|link5
-72.0,-80.359,-3.109,-60.472,111.798,77.250,172.270,link1,link1,link6,link1,gripper_link|link1|link5|link6
