component_id,group,source_file,source_sha256,authority,kinematic_parent,joint_type,joint_limits,geometry,hull_vertices,source_faces,mass_kg,mass_ownership,included_in_links1_6,included_in_fullarm,missing_geometry,note
base_link,BASE_FIXED_SYSTEM,meshes_b601_gripper/base_link.STL,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,ACCEPTED_URDF_L0,,root,-,convex hull of accepted STL,114,77972,0.8366,accepted URDF (immutable),False,True,False,
link1,SERIAL_ARM,meshes_b601_gripper/link1.STL,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,ACCEPTED_URDF_L0,base_link,revolute,"[-2.8, 2.8]",convex hull of accepted STL,143,9980,0.1613,accepted URDF (immutable),True,True,False,
link2,SERIAL_ARM,meshes_b601_gripper/link2.STL,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,ACCEPTED_URDF_L0,link1,revolute,"[-3.14, 0.0]",convex hull of accepted STL,573,119842,1.3266,accepted URDF (immutable),True,True,False,
link3,SERIAL_ARM,meshes_b601_gripper/link3.STL,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,ACCEPTED_URDF_L0,link2,revolute,"[-3.14, 0.0]",convex hull of accepted STL,286,84198,0.8353,accepted URDF (immutable),True,True,False,
link4,SERIAL_ARM,meshes_b601_gripper/link4.STL,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,ACCEPTED_URDF_L0,link3,revolute,"[-1.87, 1.57]",convex hull of accepted STL,210,51592,0.52,accepted URDF (immutable),True,True,False,
link5,SERIAL_ARM,meshes_b601_gripper/link5.STL,3A32006227C1F9DBC70E77E07055C61E3F195F1054D4D2EB480262F0873BF001,ACCEPTED_URDF_L0,link4,revolute,"[-1.57, 1.57]",convex hull of accepted STL,200,42386,0.383,accepted URDF (immutable),True,True,False,
link6,SERIAL_ARM,meshes_b601_gripper/link6.STL,C586A7D0B8345D2CD32EAB7DFD2E334ABA56E83F582A6298D41BBF718F2EBEF1,ACCEPTED_URDF_L0,link5,revolute,"[-3.14, 3.14]",convex hull of accepted STL,353,24962,0.3663,accepted URDF (immutable),True,True,False,
gripper_link,DISTAL_SYSTEM,meshes_b601_gripper/gripper_link.STL,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,ACCEPTED_URDF_L0,link6,fixed,-,convex hull of accepted STL,74,53526,0.181800159145243,accepted URDF (immutable),False,True,False,
gripper_left,DISTAL_SYSTEM,meshes_b601_gripper/gripper_left.STL,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,ACCEPTED_URDF_L0,gripper_link,prismatic,"[0, 0.0715] m",convex hull of accepted STL,100,42392,0.0423278952416158,accepted URDF (immutable),False,True,False,
gripper_right,DISTAL_SYSTEM,meshes_b601_gripper/gripper_right.STL,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,ACCEPTED_URDF_L0,gripper_link,prismatic,"[0, 0.0715] m",convex hull of accepted STL,100,42392,0.0423278949561274,accepted URDF (immutable),False,True,False,
M3R_STAGE_A_RING,BASE_FIXED_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,interface ring; no local B-rep in this package
M3R_STAGE_B_DIFFUSION,BASE_FIXED_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,load diffusion plate; geometry not present
HDRM_ROOT,STOW_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,primary root restraint; not selected
HDRM_DISTAL,STOW_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,distal stow restraint; not selected
STOW_SADDLE_A,STOW_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,support saddle; placeholder only
STOW_SADDLE_B,STOW_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,support saddle; placeholder only
HARNESS_TRUNK,STOW_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,Route-C authority only; no stowed CAD
CONNECTOR_SET,STOW_SYSTEM,,,MISSING_GEOMETRY_HOLD,,,,DESIGN_PROXY_NOT_FLIGHT_GEOMETRY,0,0,,UNKNOWN,False,False,True,not modelled
