clamp_id,host_link,type,frame,x_mm,y_mm,z_mm,fastener_interface,note
CF-BUS-00,bus,FIXED,S,-29.580,-63.440,-39.410,2xM3 on RC-CHN-BUS-FT,fixed clamp at HN-01 (passage mouth)
CF-BUS-01,bus,FIXED+STRAIN_RELIEF,S,-29.580,-63.440,-18.410,2xM3 on RC-CHN-BUS-FT,fixed clamp + strain relief at HN-02
CF-BUS-02,base_link,FIXED,base_link_frame,-25.600,-64.770,4.590,2xM3 on bracket arm,route clamp with bracket arm to CN-BASE-00 at HN-03 station (S 215,0,-45)
CF-BUS-03,base_link,FIXED,base_link_frame,-8.017,-81.300,52.137,2xM3 on bracket arm,riser clamp, bracket arm to collar ring at HN-04 station (S 220,0,-30)
CM-J1-M,link1,MOVING,link1_frame,-53.340,27.473,55.750,2xM3 on RC-BRK-L1-01,rotating clamp at annulus exit
CF-L1-01,link1,FIXED,link1_frame,-39.611,54.130,56.704,2xM3 on RC-BRK-L1-01,fixed clamp on link1 annulus exit stub
CF-J2-F,link1,FIXED,link1_frame,18.138,81.625,55.265,2xM3 on link1 derived pad,J2 loop fixed clamp (link1 side)
CM-J2-M,link2,MOVING,link2_frame,-80.592,-4.800,50.000,2xM3 on RC-CHN-L2,J2 loop moving clamp (link2 side)
CF-L2-01,link2,FIXED,link2_frame,-100.000,-6.800,50.000,2xM3 on RC-CHN-L2,link2 channel fixed clamp
CM-J3-M,link2,MOVING_CARRIER,link2_frame,-160.000,-6.800,50.000,carriage RC-CAR-J3-CARRIAGE,J3 carrier moving clamp, travel x -85..-195 (link2 frame)
CF-L2-02,link2,FIXED,link2_frame,-228.000,-6.800,50.000,2xM3 on RC-CHN-L2,link2 channel end clamp
CG-J3-S,link2,GUIDE_SADDLE,link2_frame,-275.000,-6.800,50.000,4xM3 saddle bracket,J3 guide saddle entry tangent
CF-L3-01,link3,FIXED,link3_frame,118.075,50.906,50.000,2xM3 on RC-CHN-L3,link3 channel fixed clamp
CF-L3-02,link3,FIXED,link3_frame,168.538,3.053,50.000,2xM3 on RC-CHN-L3,link3 channel fixed clamp
CF-J4-F,link3,FIXED,link3_frame,219.000,-44.800,50.000,2xM3 on RC-CHN-L3,J4 loop fixed clamp (link3 side)
CM-J4-M,link4,MOVING,link4_frame,-11.282,-0.900,51.625,2xM3 on RC-CHN-L4,J4 loop moving clamp (link4 side)
CF-L4-01,link4,FIXED,link4_frame,58.177,-36.206,35.305,2xM3 on RC-CHN-L4,link4 channel end clamp
CF-J5-F,link4,FIXED,link4_frame,116.400,-65.800,21.625,2xM3 on riser guide tube,J5 wrap entry fixed clamp
CM-J5-M,link5,MOVING,link5_frame,-107.399,38.191,21.700,2xM3 on link5 derived pad,J5 wrap exit moving clamp
CM-J6-F,link5,FIXED,link5_frame,28.092,55.000,40.000,2xM3 on link5 end pad,J6 helix entry fixed clamp
CM-J6-M,link6,MOVING,link6_frame,55.000,-0.000,39.400,2xM3 on link6 derived pad,J6 helix exit moving clamp
CF-WR-SR,link6,STRAIN_RELIEF,link6_frame,50.000,55.000,124.400,2xM3 on link6 wrist pad,wrist strain relief
CF-WR-PL,link6,FIXED,link6_frame,50.000,55.000,161.400,4xM3 on RC-PLT-WRIST-SPLIT,wrist connector split plate
