margin_id,unit,value,acceptance,status,basis
clearance_mission_worst_gated,mm,-13.846290639879491,>= 0,FAIL,cable tube surface vs gated obstacles after tracking-tube derate
clearance_key_states_worst_gated,mm,-13.687342603892265,>= 0,FAIL,10 mandatory key states
pinch_worst_gated,mm,10.66419697300633,>= 0,PASS,cable vs adjacent vendor housings in joint bands
bend_radius_margin,mm,-4.838085487790522e-11,>= 0 (zero by design),FAIL,guide-enforced radius vs P06=50.0
take_up_margin_joint1,mm,203.84073187201193,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint1,mm,114.53115187201195,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint2,mm,122.3396864812932,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint2,mm,59.58743648129317,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint3,mm,148.96126989006495,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint3,mm,20.41336089006495,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint4,mm,212.3244216139187,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint4,mm,101.32492501111247,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint5,mm,133.73939996018157,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint5,mm,2.919533621111327,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint6,mm,546.3099559866871,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint6,mm,234.92887577726663,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
axial_extension_total_margin,mm,1374.9364754093262,>= 0,PASS,sum capacity - sum demand
carrier_travel_margin,mm,36.74495232140545,>= 0,PASS,55 mm hard-stop half stroke - festoon demand
carrier_travel_margin_full_range,mm,5.407555321405447,>= 0,PASS,full J3 range
torque_margin_joint1,N*m,26.122212434196914,>= 0,PASS,URDF effort 27.0 - worst candidate tau
torque_margin_joint2,N*m,26.21348085708119,>= 0,PASS,URDF effort 27.0 - worst candidate tau
torque_margin_joint3,N*m,26.43395609973409,>= 0,PASS,URDF effort 27.0 - worst candidate tau
torque_margin_joint4,N*m,6.118185879922301,>= 0,PASS,URDF effort 7.0 - worst candidate tau
torque_margin_joint5,N*m,6.308775834240081,>= 0,PASS,URDF effort 7.0 - worst candidate tau
torque_margin_joint6,N*m,5.656371759844601,>= 0,PASS,URDF effort 7.0 - worst candidate tau
thermal_length_derate_total,mm,7.421009605168745,reported,INFO,alpha_al*dT*path per segment summed
rc_hardware_cross_clearance_worst,mm,-0.4631140400000078,>= 0,FAIL,"RC parts vs vendor/solar/bus, other-host pairs"
full_range_spot_clearance_worst_gated,mm,-43.456249185885824,>= 0,FAIL,per-joint sweeps + 64 corners
