source_id,type,title,locator,revision_or_date,accessed_date,used_for,authority_class,traceability_state
GORE_2025_CATALOG,vendor_catalog,"GORE Space Cables for Traditional Space Applications catalog, Table 21 p.30",https://www.gore.com/sites/default/files/resources/pdf/2025-09/gore-space-cables-traditional-brochure-us.pdf,2025-09 issue; accessed via ROUTE_C_VENDOR_RFI_SHORTLIST_V1 2026-08-23,2026-08-23,"P02/P06 max catalog bend radius 45.0 mm bound; P09 component cross-check",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
AXON_SPACE_LINKS,vendor_catalog,"Axon Space High-Speed Links catalog, P551259 table",https://www.axon-cable.com/publications/axon-space-high-speed-links_cg.pdf,accessed via ROUTE_C_VENDOR_RFI_SHORTLIST_V1 2026-08-23,2026-08-23,"P01/P09 component OD 6.5 mm max and linear mass 42.0 g/m max; static bend 25.0 mm",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
TE_55_9960_26,vendor_product_page,"TE Connectivity 55/9960-26 (CD03823001) Spec 55 equipment wire",https://www.te.com/en/product-CD03823001.html,accessed via ROUTE_C_VENDOR_RFI_SHORTLIST_V1 2026-08-23,2026-08-23,"P01/P09 discrete wire OD 0.72 mm nominal and 1.81 g/m nominal; temperature -65..+200 degC",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
GLENAIR_GSWM,vendor_datasheet,"Glenair GSWM SpaceWire cable assemblies datasheet",https://cdn.glenair.com/micro-d/pdf/b/spacewire-cable-assembly-in-back-to-back-or-single-ended-wire-configurations.pdf,accessed via ROUTE_C_VENDOR_RFI_SHORTLIST_V1 2026-08-23,2026-08-23,"P02 catalog bend radii 31.75/28.575 mm unclassified cross-check",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
GLENAIR_MICRO_D_SPEC,vendor_datasheet,"Glenair Micro-D specifications",https://www.glenair.com/micro-d/pdf/micro-d-specifications.pdf,accessed via ROUTE_C_VENDOR_RFI_SHORTLIST_V1 2026-08-23,2026-08-23,"connector family candidate mating cycles 500; current 3 A/contact (MPI-04 candidate only)",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
AXON_SPACE_MICRO_NANO_D,vendor_catalog,"Axon Micro-D and Nano-D Connectors for Space catalog",https://www.axon-cable.com/PageSite/MediaFile?idPageLangue=946&path=%2FPDF%2Faxon-micro-D-connectors-space_cg.pdf&type=4,accessed via ROUTE_C_VENDOR_RFI_SHORTLIST_V1 2026-08-23,2026-08-23,"connector family candidate mating cycles 200/500; approximate masses (MPI-04 candidate only)",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
IGUS_E210_SERIES,vendor_catalog,"igus E2.10 e-chain series page (E2 micro)",https://www.igus.com/product/series-E2-10,current online issue,2026-08-25,"P12 carrier cross-section inner height 10 mm, Bi 6-50 mm, R 18/28/38, pitch 20 mm; P04 travel accommodation",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
IGUS_E2_MICRO_OVERVIEW,vendor_catalog,"igus E2 micro system overview",https://www.igus.eu/energy-chain/products/energy-chains-for-small-installation-spaces/e2-micro,current online issue,2026-08-25,"P12 series confirmation: E2.10 hi 10 mm, Bi 6-50 mm, R 18-38 mm, pitch 20 mm",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
IGUS_E2_SERIES06,vendor_catalog,"igus E2 Micro Series 06 e-chain page",https://www.igus.com/product/series-06,current online issue,2026-08-25,"P12 micro-class cross-check: Hi 10.5 mm, R18/28/38, weight 0.1315 kg/m, fill up to 0.7 kg/m class",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
IGUS_IGLIDUR_J260_MATERIAL,vendor_material_data,"igus iglidur J260 plain bearing material data",https://www.igus.eu/plain-bearing/materials/continuous-operation/iglidur-j-260-material-data,current online issue,2026-08-25,"P10 dynamic coefficient of friction against steel mu 0.06-0.20 dry",BOUNDED_DATASHEET_RANGE,OFFICIAL_URL_ONLY__CONTROLLED_COPY_REQUIRED_BEFORE_SELECTION
