role,path,sha256,disposition
terminal_ruling,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_TERMINAL_RULING.json,09611DDB8ADC96D82C7446B5EDD7877C075DCCEBE9166550014282DDD25054D5,PENDING_OWNER_REVIEW_NO_RELEASE
current_frontier,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_TERMINAL_CURRENT_FRONTIER_V3.json,5C73438C86A6F217E9B5EAC30F875759F265ACF3C33944203151A6906DB3A86A,TERMINAL_NEGATIVE_FRONTIER
engineering_report,01_project/competition/Route_C_V9F终局机械设计与后续仿真入口裁决_20260826.md,2CEB3EBEF01C0DB12235059C9612114F947D89E4C33BBC5D5A72FB3DE6A0C051,ENGINEERING_REPORT
terminal_red_team,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_TERMINAL_RED_TEAM.json,1E280DAA5FAE439F61F41C27EED0D263ED9004E956D1FE03BF0ED2646775E213,PASS_NEGATIVE_AUDIT_NO_RELEASE
mandatory_m01_falsifier,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_MANDATORY_M01_FALSIFIER_GATE.json,09C3199BD9824DFDBB9782C20BE200F31760F44A89EF68D16F32D0E213F191A0,V9F_REJECTED_CURRENT_M01
odr58_authority,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-58_RECORD.json,67374EA72CD6B39912CF1291E67CD9FD2780BAE5E0B50619847C50681A5878EE,BOUNDED_LOOP_AUTHORITY
fallback_binding,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_FALLBACK_AUTHORITY_BINDING.json,6C49A1604F15FD7E338F6019EBB34E39341683DDC4611B5237B53ECC990F7F7D,FALLBACK_BUDGET_CONSUMED
odr59_request,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-59_DECISION_REQUEST.json,FE5274C5E588E2BC4E9C32BCC87FEB2E19CE85C876049200305D7C0FC02CC4EF,OWNER_RULE_ABSENT
exhaustive_abort,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/_work/v9f_exhaustive_sweeps_aborted_after_falsifier/ABORT_RECORD.json,715ABB038F6DB31156EC244CFA4896A24F5A7878D4CB419CB4DED14B9FB7E914,NO_PARTIAL_OUTPUT_NO_POSITIVE_CREDIT
reference_p0_benchmark,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/_work/v9f_p1_candidate/REFERENCE_VS_P0_SINGLE_POSE_BENCHMARK_V2.json,8B49A56630D57563F8499FE460F3ED7A8470E223AFDEC1A2F62552677EEED93F,EXACT_THREE_WAY_NEGATIVE_WITNESS
reference_p0_review,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/_work/v9f_p1_candidate/REFERENCE_VS_P0_SINGLE_POSE_BENCHMARK_V2_REVIEW.json,1EDB83753BBB4D3A74FF4A9F746C113F57E39117F3B4E6C15E852932CEB9F06B,PASS_READ_ONLY_REVIEW
v9f_freecad_source,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_GUIDED_DRESS_PACK_V9F.FCStd,FE4D5AE61DF208E898532BD9E8F7F1341BAE8E3D476CA45B1E5ABDAC6C4F6DC5,REJECTED_LINEAGE_SOURCE
v9f_neutral_step,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_GUIDED_DRESS_PACK_V9F.step,51718D1FDC2B503F36F8B0649474FA361DA4B497C5409C02BEB583D5BA6CD29E,LOCAL_DRESS_PACK_ONLY
v9f_build_receipt,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_BUILD_RECEIPT_V9F.json,8B6C877AF2B2397102D87381F35BE8D78151DF1E97B57A1C45FE4C8972D153FC,SOURCE_ONLY_NO_GATE_PASS
v9f_kinematic_proof,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_INDEPENDENT_KINEMATIC_PROOF.json,ED42A9E7552262100D52AFB7ED7EACD7677ECB34FD758684DC14E76464EB7D46,PASS_KINEMATIC_IDENTITY_ONLY
v9f_load_path_screen,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_LOCAL_LOAD_PATH_SCREEN.json,3F1334253BF2656E2C1FAFB04F1900D7AC19D8A42CF4A789B476070D5EAC6F3F,PASS_SOURCE_PRESENCE_WITH_HOLDS
v9f_dynamic_mass,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_MASS_PROPAGATION_V2_V9F_DYNAMIC_MOTION_RERUN.json,BD272FFB4F683150C9A640BA15416B337311C5C9A5B77CDBAABAC9340BA9622C,C05_FAIL_C06_C09_HOLD
v9f_mesh_manifest,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_SWEEP_MESH_PACK_V9F/MANIFEST.json,A90123580F73A7FF2DCE3F7A5BDB31DC31A1741D69A3CBFE837CB4DB53A00F25,136_OF_136_HASH_VERIFIED
historical_release_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,14D30FD40AC60253C0716A71BA46950E1DF6B8E69DCE3F12690319B970A48674,UNCHANGED_GATE_A_NOT_PASSED
