margin_id,unit,value,acceptance,status,basis
clearance_mission_worst_gated,mm,-13.769617245700724,>= 0,FAIL,cable tube surface vs gated obstacles after tracking-tube derate
clearance_key_states_worst_gated,mm,-13.769617245700724,>= 0,FAIL,10 mandatory key states
pinch_worst_gated,mm,0.9522867989836921,>= 0,PASS,cable vs adjacent vendor housings in joint bands
bend_radius_margin,mm,4.738310225385391,>= 0 (zero by design),PASS,guide-enforced radius vs P06=50.0
take_up_margin_joint1,mm,210.52025323162738,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint1,mm,112.27971523162739,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint2,mm,134.643223739017,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint2,mm,65.615748739017,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint3,mm,146.72345210108713,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint3,mm,14.094657101087137,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint4,mm,232.96798407801532,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint4,mm,110.86853781492849,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint5,mm,146.4607030171289,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint5,mm,2.558850044151626,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
take_up_margin_joint6,mm,600.8136816260676,>= 0,PASS,capacity - R*(mission range + 2*dq) - thermal
take_up_margin_full_range_joint6,mm,258.29449339570516,>= 0,PASS,capacity - R*(URDF range + 2*dq) - thermal
axial_extension_total_margin,mm,1481.3732426291767,>= 0,PASS,sum capacity - sum demand
carrier_travel_margin,mm,36.165426998275464,>= 0,PASS,55 mm hard-stop half stroke - festoon demand
carrier_travel_margin_full_range,mm,3.83319199827546,>= 0,PASS,full J3 range
torque_margin_joint1,N*m,26.215339272648787,>= 0,PASS,URDF effort 27.0 - worst candidate tau
torque_margin_joint2,N*m,26.284982597346538,>= 0,PASS,URDF effort 27.0 - worst candidate tau
torque_margin_joint3,N*m,26.451372835126886,>= 0,PASS,URDF effort 27.0 - worst candidate tau
torque_margin_joint4,N*m,6.198350799929364,>= 0,PASS,URDF effort 7.0 - worst candidate tau
torque_margin_joint5,N*m,6.37161439476371,>= 0,PASS,URDF effort 7.0 - worst candidate tau
torque_margin_joint6,N*m,5.778519781676909,>= 0,PASS,URDF effort 7.0 - worst candidate tau
thermal_length_derate_total,mm,9.243944836233158,reported,INFO,alpha_al*dT*path per segment summed
clamp_support_bore_axis_gate,count,0,= 0 failures,PASS,per-interface bore containment and <=3 deg tangent alignment
d3_open_sector_max_free_span,mm,103.716,<= 150.000,PASS,two-layer helix crossing retention plus P13 spacing
rc_hardware_cross_clearance_worst,mm,NOT_EVALUATED_IN_KEY_STATE_FAST_CHECK,>= 0 (mandatory in full mission sweep),NOT_EVALUATED,"RC parts vs vendor/solar/bus, other-host pairs"
full_range_spot_clearance_worst_gated,mm,SKIPPED_IN_FAST_MODE,>= 0 (not required by ODR-54 mission-rated target),INFO,per-joint sweeps + 64 corners; skipped in FAST_MODE (V1/V3 reference)
