port,pin,signal,domain,direction,pin_number_scope,physical_pin_verified,connector_MPN
R3-JHOST,1,CAN_H_HOST,HOST_CAN,bidirectional,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JHOST,2,CAN_L_HOST,HOST_CAN,bidirectional,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JHOST,3,HOST_CAN_REFERENCE,HOST_CAN,reference,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JHOST,4,SHIELD_CHASSIS_RESERVATION,CHASSIS,shield,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JARM,1,WP10_ARM_BUS_PLUS,ARM_POWER,to_arm,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JARM,2,WP10_ARM_RETURN,ARM_POWER,return,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JARM,3,WP10_LEGACY_075,ARM_CAN,bidirectional,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JARM,4,WP10_LEGACY_076,ARM_CAN,bidirectional,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JLOGIC,1,CTRL_LOGIC_SUPPLY_RESERVED,CTRL_LOGIC,input,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JLOGIC,2,CTRL_LOGIC_RETURN_RESERVED,CTRL_LOGIC,return,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JSAFE,1,INHIBIT_REQUEST_RESERVED,STOP_INTERFACE,to_existing_STOP,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JSAFE,2,STOP_STATE_RESERVED,STOP_INTERFACE,from_existing_STOP,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JSAFE,3,STOP_REFERENCE_RESERVED,STOP_INTERFACE,reference,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
R3-JSAFE,4,SPARE_DO_NOT_CONNECT,NONE,none,R3_DESIGN_ONLY_NOT_OEM_PIN_NUMBER,False,
