instance_id,parent_group,quantity,native_file,native_source,native_source_sha256,expected_solids,representation_role,T_S_local_mm_json,candidate_material,material_status,material_metadata_inherited_by_exact_native_hash,as_built_mass_kg,whole_mass_complete
B601_base_link,DPG_800856989b49,1,P_6b7fd618c29b36144b33_80d82f.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_50c3c0fe8e29d7706821.SLDPRT,6b7fd618c29b36144b33b25585aac82982b09616fa48e523f86dfb516497ac8a,69,PHYSICAL_GEOMETRY,"[[1.0,0.0,0.0,90.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,125.15],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_gripper_left,DPG_800856989b49,1,P_cbc78637962dbd29bb73_c67873.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_401adf8db25b559b3f4d.SLDPRT,cbc78637962dbd29bb7393f98c57d689353b280508da7f3ece69c3eaaaaa9baa,24,PHYSICAL_GEOMETRY,"[[-5.174929086049016e-06,0.766044443105137,-0.6427876096822024,479.0877047953936],[0.9999999999780976,1.3121143749915985e-06,-6.487043461084378e-06,14.972792177226538],[-4.125952732814698e-06,-0.6427876097016944,-0.7660444430951494,393.3188205745923],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_gripper_link,DPG_800856989b49,1,P_0083a82f719b9ff6d41c_533429.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_27d57470afe474a75b97.SLDPRT,0083a82f719b9ff6d41ca1242a1cb16b02ec65732b989a4c41f1654f5d876a13,12,PHYSICAL_GEOMETRY,"[[0.7660444431189777,2.361090728241845e-06,-0.6427876096822025,511.32298284430584],[-2.3610907282418457e-06,-0.9999999999761712,-6.487043461084379e-06,0.0002237123519107526],[-0.6427876096822025,6.487043461084379e-06,-0.7660444430951495,366.2533266810169],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_gripper_right,DPG_800856989b49,1,P_7fda42dcbff9879e0bf1_3b9740.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_657d0990b866babca543.SLDPRT,7fda42dcbff9879e0bf11d87d0fddd009bbcf143fc70dbc5e9a6aac579f981d6,24,PHYSICAL_GEOMETRY,"[[-4.52747629597183e-07,-0.7660444431224824,-0.6427876096822024,479.07102316742555],[-0.9999999999607522,6.034295831443433e-06,-6.487043461084378e-06,-14.972145990922849],[8.848134189266531e-06,0.6427876096540378,-0.7660444430951494,393.29905017843055],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_link1,DPG_800856989b49,1,P_81cf529653a46d2f09d7_b816e0.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_4f35d35383d9f7c00fe0.SLDPRT,81cf529653a46d2f09d7e16cd9781c961174d5f3be10612a66f21cf75e13f247,30,PHYSICAL_GEOMETRY,"[[1.0,0.0,0.0,89.91584],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,209.8],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_link2,DPG_800856989b49,1,P_589404be78530bb48dbf_568c76.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_2c568bdc19c94c258c7f.SLDPRT,589404be78530bb48dbfb1c7c311b0121296e072451fe6159206fdad7bbc12e2,71,PHYSICAL_GEOMETRY,"[[0.1736481776669304,-0.9848077530122078,0.0,109.99984],[-3.617400864138815e-06,-6.378453723857897e-07,0.9999999999932536,31.625],[-0.9848077530055641,-0.17364817766575893,-3.6732051033050435e-06,265.35],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_link3,DPG_800856989b49,1,P_b692cc5c9ae298b9a886_5e832b.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_f49d51649b008a0cfe1d.SLDPRT,b692cc5c9ae298b9a8866e58bf0289e5726aa695c52a00975aebc09b2e8ff969,80,PHYSICAL_GEOMETRY,"[[0.9848077530122078,-0.17364817766693025,0.0,64.15672109593038],[-6.378453723857891e-07,-3.617400864138815e-06,0.9999999999932535,31.62595499382813],[-0.17364817766575882,-0.9848077530055641,-3.673205103305043e-06,525.3392467934689],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_link4,DPG_800856989b49,1,P_1d9671691a8154c7d545_8a2133.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_dbbf754538cb6b08cd84.SLDPRT,1d9671691a8154c7d5455e0c9337664cbb91b096475963c1646bac9c933e7bdc,40,PHYSICAL_GEOMETRY,"[[0.7660444431189779,-0.642787609686539,0.0,312.4480835707062],[-2.361090728241846e-06,-2.8138383578231006e-06,0.9999999999932535,30.000995592198418],[-0.6427876096822027,-0.76604444311381,-3.673205103305043e-06,536.3918235230145],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_link5,DPG_800856989b49,1,P_478afc7a0494a4e382ba_5066d5.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_77a5fb8a45f974cbdccc.SLDPRT,478afc7a0494a4e382ba1d0b81d0dec9f5d716e0a2869990fe871f727b992b89,21,PHYSICAL_GEOMETRY,"[[0.7660444431189778,2.3610907282418457e-06,-0.6427876096822026,396.54002718571235],[-2.3610907282418457e-06,-0.9999999999761714,-6.4870434610843805e-06,0.0009162190464842013],[-0.6427876096822026,6.4870434610843805e-06,-0.7660444430951496,514.7831881969415],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
B601_link6,DPG_800856989b49,1,P_4aef466ed52b1fd5df96_db4334.SLDPRT,20_engineering/SERVICE_STAR_DIGITAL_PROTOTYPE_R1_20260919/native/P_e553ffda751b85cf1061.SLDPRT,4aef466ed52b1fd5df96cf1ca4caff85fe7af35114be95e5413ceed0fc4c608c,20,PHYSICAL_GEOMETRY,"[[0.6427847958395083,2.3610907282418452e-06,0.7660468042045381,388.97764774479907],[6.487052133811129e-06,-0.9999999999761713,-2.3610668999847707e-06,0.0006007983465073203],[0.7660468041807099,6.48704346108438e-06,-0.6427847958395084,468.9124864245448],[0.0,0.0,0.0,1.0]]",,UNASSIGNED_COMPOSITE_OR_UNKNOWN,True,,False
