id,action,role,nominal_size,MPN,material_status,STEP_source,T_S_local
R6H_MAIN_PCBA_INSTALLED,ADD,MIXED_35_REF_PCBA_HORIZONTAL_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_PCBA_INSTALLED.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_SPACER_1,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,OD6 ID3.4 L20,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_SPACER_1.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_BOLT_1,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,M3x30,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_BOLT_1.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_TOP_1,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_TOP_1.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_BOTTOM_1,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_BOTTOM_1.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_NUT_1,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_NUT_1.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_SPACER_2,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,OD6 ID3.4 L20,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_SPACER_2.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_BOLT_2,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,M3x30,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_BOLT_2.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_TOP_2,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_TOP_2.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
R6H_MAIN_WASHER_BOTTOM_2,ADD,HORIZONTAL_INSTALLATION_HARDWARE_CANDIDATE,,UNKNOWN,See native material receipt; unspecified hardware and mixed-PCBA mass UNKNOWN,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\SERVICE_STAR_CORE_INSTALLATION_R6H_20260920\cad\R6H_MAIN_WASHER_BOTTOM_2.step,"[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]"
