source,destination,role,bytes,source_sha256,destination_sha256,copy_operation,redistribution_status
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/results/propulsion_trade_20260917/PROPULSION_TRADE_MATRIX_20260917.json,04_propulsion/trade/PROPULSION_TRADE_MATRIX_20260917.json,UNFROZEN_PROPULSION_TRADE,12523,d692de692646758cf34a15285b316ad8f3bce6c544fb6816c97c0d17cfe8e2a0,d692de692646758cf34a15285b316ad8f3bce6c544fb6816c97c0d17cfe8e2a0,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/results/propulsion_trade_20260917/PROPULSION_TRADE_STUDY_20260917.md,04_propulsion/trade/PROPULSION_TRADE_STUDY_20260917.md,UNFROZEN_PROPULSION_TRADE,13944,a676ee0f0007dba57a92ddea098ee463416579e070d74ff72a0fe9e8110f5d27,a676ee0f0007dba57a92ddea098ee463416579e070d74ff72a0fe9e8110f5d27,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/propulsion/resume_20260908/PROPULSION_INTERFACE_CONTRACT.json,04_propulsion/interfaces/wp09/PROPULSION_INTERFACE_CONTRACT.json,PROPULSION_CATALOGUE_INTERFACE,6517,c79f055cbbd21364fd5c15b71d89b6297c3853d8fe2a189ebeda669327cf97cc,c79f055cbbd21364fd5c15b71d89b6297c3853d8fe2a189ebeda669327cf97cc,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/propulsion/resume_20260908/SOURCE_SIDE_INTERFACE_ROWS.csv,04_propulsion/interfaces/wp09/SOURCE_SIDE_INTERFACE_ROWS.csv,PROPULSION_CATALOGUE_INTERFACE,379,e9859868022110a8c6e8c4d52fa7c75c28f47ce57e6804e6ea0791d23d258c76,e9859868022110a8c6e8c4d52fa7c75c28f47ce57e6804e6ea0791d23d258c76,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp09_interfaces_20260907_1525/system_completion/propulsion/resume_20260908/SOURCE_BINDINGS.json,04_propulsion/interfaces/wp09/SOURCE_BINDINGS.json,PROPULSION_CATALOGUE_INTERFACE,2715,f18beabb6ec5e3d16665a34892851acb07e5bddc1c3e4419e777768ef3ebf364,f18beabb6ec5e3d16665a34892851acb07e5bddc1c3e4419e777768ef3ebf364,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
20_engineering/SERVICE_STAR_CORE_INSTALLATION_R6H_20260920/inputs/PROPULSION_ASSEMBLY_PREPARATION.json,04_propulsion/preparation/PROPULSION_ASSEMBLY_PREPARATION.json,CURRENT_R6H_PROPULSION_PREPARATION,26633,b6877af7244974ea21f1b336ae46f55bddd3ae9217ba699a87f2c06bd01a1df8,b6877af7244974ea21f1b336ae46f55bddd3ae9217ba699a87f2c06bd01a1df8,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
20_engineering/SERVICE_STAR_CORE_INSTALLATION_R6H_20260920/inputs/PROPULSION_OEM_INPUT_TEMPLATE.json,04_propulsion/preparation/PROPULSION_OEM_INPUT_TEMPLATE.json,CURRENT_R6H_PROPULSION_PREPARATION,1668,7b439e68ccce4088d437a18484ca32c6f29daac234f8ef9ad5c363b69bd77db9,7b439e68ccce4088d437a18484ca32c6f29daac234f8ef9ad5c363b69bd77db9,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
20_engineering/SERVICE_STAR_CORE_INSTALLATION_R6H_20260920/docs/PROPULSION_NEXT_WORK_ORDERS.csv,04_propulsion/preparation/PROPULSION_NEXT_WORK_ORDERS.csv,CURRENT_R6H_PROPULSION_PREPARATION,3907,bab536b2a86d54f3640241a125869b91a67dfbad739e0338ca5ad309cfdf0118,bab536b2a86d54f3640241a125869b91a67dfbad739e0338ca5ad309cfdf0118,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
20_engineering/SERVICE_STAR_CORE_INSTALLATION_R6H_20260920/docs/PROPULSION_ASSEMBLY_HANDOFF.md,04_propulsion/preparation/PROPULSION_ASSEMBLY_HANDOFF.md,CURRENT_R6H_PROPULSION_PREPARATION,3618,7824af467d21c187cb81fc62fac6c47f62d6a3e367a96fa91bebf5ec552ce0e3,7824af467d21c187cb81fc62fac6c47f62d6a3e367a96fa91bebf5ec552ce0e3,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
01_project/competition/SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905/runs/wp10_mechatronic_closure_20260908/implementation/mechanical/BATTERY_PROPULSION_ROUTING.json,04_propulsion/routing/BATTERY_PROPULSION_ROUTING.json,FUNCTIONAL_ROUTE_PARAMETERS,2923,d3cfe96916a3e74b9eb08264bd11a45f44750ede699c0ef71fac103990e1ef7c,d3cfe96916a3e74b9eb08264bd11a45f44750ede699c0ef71fac103990e1ef7c,BYTE_IDENTICAL,PROJECT_OR_PROJECT_DERIVED_OWNER_LICENSE_NOT_ASSIGNED
