wire_id,active,from_endpoint,from_ref_pin,from_MPN,from_housing,from_contact,to_endpoint,to_ref_pin,to_MPN,to_housing,to_contact,net,identity,voltage_V,current_A,wire_MPN,AWG,cut_length_mm,cut_tolerance_mm,strip_start_mm,strip_end_mm,shield,shield_termination,protection,missing_fields,source,manufacturing_release
A01,True,J200.1,J200.1,,,,F201.1,F201.1,,,,WP10_BAT_PROTECTED_PLUS,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A01""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A02,True,Q203.3,Q203.3,,,,K1.A2(+),U7.A2(+),,,,WP10_RB_OUTPUT_PLUS,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A02""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A03,True,K1.A1(-),U7.A1(-),,,,J203.1,J203.1,,,,WP10_ARM_BUS_PLUS,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A03""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A04,True,U203.5,U203.5,,,,J203.2,J203.2,,,,WP10_ARM_RETURN,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A04""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A06,True,J200.2,J200.2,,,,U203.4,U203.4,,,,WP10_INPUT_RETURN,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A06""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A07,True,J203.1,J203.1,,,,SEP.PWR,U21.PWR,,,,WP10_ARM_BUS_PLUS,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A07""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A08,True,J203.2,J203.2,,,,SEP.RET,U21.RET,,,,WP10_ARM_RETURN,GROUND_ENGINEERING_CANDIDATE,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A08""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A09,True,SEP.PWR,U21.PWR,,,,DM.VCC_REF,U4.VCC_REF,,,,WP10_ARM_BUS_PLUS,OEM_ARM_HARNESS_RETAINED_PIN_CAVITY_UNBOUND,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A09""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A10,True,SEP.RET,U21.RET,,,,DM.RET_REF,U4.RET_REF,,,,WP10_ARM_RETURN,OEM_ARM_HARNESS_RETAINED_PIN_CAVITY_UNBOUND,,,,,,,,,,,,"[""wire_MPN"", ""load_current_A"", ""cut_length_mm"", ""cut_length_tolerance_mm"", ""strip_start_mm"", ""strip_end_mm"", ""shield"", ""shield_termination"", ""remote_termination_or_crimp_process"", ""protection_coordination"", ""installed_temperature"", ""as_built_continuity_insulation"", ""mounted_mating_endpoint_and_route""]","[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A10""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
A11,False,U1.R+,U23.R+,,,,RB1.A,U18.A,,,,unconnected-(U23-PadR+),RETIRED_NO_REUSE,,,,,,,,,,,,[],"[{""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\ecad\\MASTER_FROM_TO.csv"", ""wire_id"": ""A11""}, {""path"": ""F:\\China Graduate Future Flight Vehicle Innovation Competition\\01_project\\competition\\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\\runs\\wp10_mechatronic_closure_20260908\\implementation\\results\\stop_v36\\pcb\\thermal_filter_20260916\\native_20260916_a\\wp10_system.xml""}]",False
