endpoint,ref,pin,net,pinfunction,pintype
U107.12,U107,12,/Actual watchdog and contactor driver/ARMED,2D_12,input
U107.5,U107,5,/Actual watchdog and contactor driver/ARMED,1Q_5,output
U113.4,U113,4,/Actual watchdog and contactor driver/AUX_CLOSED_3V3,Y_4,output
U118.2,U118,2,/Actual watchdog and contactor driver/AUX_CLOSED_3V3,A_2,input
R115.2,R115,2,/Actual watchdog and contactor driver/AUX_DIV,,passive
R116.1,R116,1,/Actual watchdog and contactor driver/AUX_DIV,1k_1%_1,passive
R130.1,R130,1,/Actual watchdog and contactor driver/AUX_DIV,3.9k_1%_100ppm/C_1,passive
R116.2,R116,2,/Actual watchdog and contactor driver/AUX_SENSE,,passive
U113.2,U113,2,/Actual watchdog and contactor driver/AUX_SENSE,A_2,input
J102.6,J102,6,/Actual watchdog and contactor driver/AUX_STATUS_MCU,AUX_CLOSED_6,passive
R122.2,R122,2,/Actual watchdog and contactor driver/AUX_STATUS_MCU,,passive
U118.4,U118,4,/Actual watchdog and contactor driver/AUX_STATUS_MCU,Y_4,open_collector
J102.7,J102,7,/Actual watchdog and contactor driver/BUS_MONITOR_OK,BUS_MONITOR_OK_3V3_7,passive
R117.1,R117,1,/Actual watchdog and contactor driver/BUS_MONITOR_OK,10k_1%_1,passive
U114.2,U114,2,/Actual watchdog and contactor driver/BUS_MONITOR_OK,B_2,input
C101.1,C101,1,/Actual watchdog and contactor driver/CWD,120pF_1%_C0G_1,passive
U101.2,U101,2,/Actual watchdog and contactor driver/CWD,CWD_2,input
J103.6,J103,6,/Actual watchdog and contactor driver/EN_STOP,STOP_NC_RETURN_6,passive
R102.1,R102,1,/Actual watchdog and contactor driver/EN_STOP,10k_1%_1,passive
U101.3,U101,3,/Actual watchdog and contactor driver/EN_STOP,EN_3,input
R113.1,R113,1,/Actual watchdog and contactor driver/GATE_DRV,22R_1%_1,passive
U112.5,U112,5,/Actual watchdog and contactor driver/GATE_DRV,OUT_5,output
U107.2,U107,2,/Actual watchdog and contactor driver/HB_SEEN,1D_2,input
U108.5,U108,5,/Actual watchdog and contactor driver/HB_SEEN,1Q_5,output
R104.2,R104,2,/Actual watchdog and contactor driver/HEARTBEAT_FILTER,,passive
R119.1,R119,1,/Actual watchdog and contactor driver/HEARTBEAT_FILTER,47k_1%_1,passive
U115.2,U115,2,/Actual watchdog and contactor driver/HEARTBEAT_FILTER,A_2,input
J102.1,J102,1,/Actual watchdog and contactor driver/HEARTBEAT_IN,HEARTBEAT_3V3_1,passive
R104.1,R104,1,/Actual watchdog and contactor driver/HEARTBEAT_IN,1k_1%_1,passive
J102.2,J102,2,/Actual watchdog and contactor driver/HW_PERMIT_IN,HW_PERMIT_3V3_2,passive
R118.1,R118,1,/Actual watchdog and contactor driver/HW_PERMIT_IN,10k_1%_1,passive
U114.1,U114,1,/Actual watchdog and contactor driver/HW_PERMIT_IN,A_1,input
Q101.1,Q101,1,/Actual watchdog and contactor driver/K1_GATE,G_1,input
R113.2,R113,2,/Actual watchdog and contactor driver/K1_GATE,,passive
R114.1,R114,1,/Actual watchdog and contactor driver/K1_GATE,10k_1%_1,passive
J102.8,J102,8,/Actual watchdog and contactor driver/MCU_VIO,MCU_VIO_RECEIVER_RAIL_8,passive
R120.1,R120,1,/Actual watchdog and contactor driver/MCU_VIO,10k_1%_1,passive
R121.1,R121,1,/Actual watchdog and contactor driver/MCU_VIO,10k_1%_1,passive
R122.1,R122,1,/Actual watchdog and contactor driver/MCU_VIO,10k_1%_1,passive
J103.5,J103,5,/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP,STOP_NC_FEED_5,passive
U114.4,U114,4,/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP,Y_4,output
J103.2,J103,2,/Actual watchdog and contactor driver/RESET_CONTACT,RESET_NO_RETURN_2,passive
R107.1,R107,1,/Actual watchdog and contactor driver/RESET_CONTACT,10k_1%_1,passive
U105.6,U105,6,/Actual watchdog and contactor driver/RESET_EDGE,RESET_Y_6,output
U107.3,U107,3,/Actual watchdog and contactor driver/RESET_EDGE,1CLK_3,input
U109.2,U109,2,/Actual watchdog and contactor driver/RESET_EDGE,A_2,input
U109.4,U109,4,/Actual watchdog and contactor driver/RESET_N,Y_4,output
U111.2,U111,2,/Actual watchdog and contactor driver/RESET_N,B_2,input
C102.1,C102,1,/Actual watchdog and contactor driver/RESET_RC,1uF_X7R_16V_10%_1,passive
R107.2,R107,2,/Actual watchdog and contactor driver/RESET_RC,,passive
R109.1,R109,1,/Actual watchdog and contactor driver/RESET_RC,100k_1%_1,passive
U105.1,U105,1,/Actual watchdog and contactor driver/RESET_RC,RESET_A_1,input
U107.13,U107,13,/Actual watchdog and contactor driver/RUN_CLEAR_N,2CLR_N_13,input
U111.4,U111,4,/Actual watchdog and contactor driver/RUN_CLEAR_N,Y_4,output
R111.2,R111,2,/Actual watchdog and contactor driver/RUN_DRIVE,,passive
R112.1,R112,1,/Actual watchdog and contactor driver/RUN_DRIVE,10k_1%_1,passive
U119.2,U119,2,/Actual watchdog and contactor driver/RUN_DRIVE,A_2,input
R180.2,R180,2,/Actual watchdog and contactor driver/RUN_INHIBIT_5V,,passive
U112.4,U112,4,/Actual watchdog and contactor driver/RUN_INHIBIT_5V,IN-_4,input
U119.4,U119,4,/Actual watchdog and contactor driver/RUN_INHIBIT_5V,Y_4,output
R111.1,R111,1,/Actual watchdog and contactor driver/RUN_LATCH,1k_1%_1,passive
R123.1,R123,1,/Actual watchdog and contactor driver/RUN_LATCH,47k_1%_1,passive
U107.9,U107,9,/Actual watchdog and contactor driver/RUN_LATCH,2Q_9,output
U116.2,U116,2,/Actual watchdog and contactor driver/RUN_LATCH,A_2,input
J102.4,J102,4,/Actual watchdog and contactor driver/RUN_STATUS_MCU,RUN_STATUS_4,passive
R120.2,R120,2,/Actual watchdog and contactor driver/RUN_STATUS_MCU,,passive
U116.4,U116,4,/Actual watchdog and contactor driver/RUN_STATUS_MCU,Y_4,open_collector
U106.4,U106,4,/Actual watchdog and contactor driver/SAFE_N,Y_4,output
U107.1,U107,1,/Actual watchdog and contactor driver/SAFE_N,1CLR_N_1,input
U108.1,U108,1,/Actual watchdog and contactor driver/SAFE_N,1CLR_N_1,input
U111.1,U111,1,/Actual watchdog and contactor driver/SAFE_N,A_1,input
U117.2,U117,2,/Actual watchdog and contactor driver/SAFE_N,A_2,input
J102.5,J102,5,/Actual watchdog and contactor driver/SAFE_STATUS_MCU,FAULT_STATUS_N_5,passive
R121.2,R121,2,/Actual watchdog and contactor driver/SAFE_STATUS_MCU,,passive
U117.4,U117,4,/Actual watchdog and contactor driver/SAFE_STATUS_MCU,Y_4,open_collector
R105.2,R105,2,/Actual watchdog and contactor driver/SENSE_24V,,passive
R106.1,R106,1,/Actual watchdog and contactor driver/SENSE_24V,10k_0.1%_25ppm_1,passive
U104.5,U104,5,/Actual watchdog and contactor driver/SENSE_24V,SENSE_5,input
J103.4,J103,4,/Actual watchdog and contactor driver/START_CONTACT,START_NO_RETURN_4,passive
R108.1,R108,1,/Actual watchdog and contactor driver/START_CONTACT,10k_1%_1,passive
U105.4,U105,4,/Actual watchdog and contactor driver/START_EDGE,START_Y_4,output
U107.11,U107,11,/Actual watchdog and contactor driver/START_EDGE,2CLK_11,input
C103.1,C103,1,/Actual watchdog and contactor driver/START_RC,1uF_X7R_16V_10%_1,passive
R108.2,R108,2,/Actual watchdog and contactor driver/START_RC,,passive
R110.1,R110,1,/Actual watchdog and contactor driver/START_RC,100k_1%_1,passive
U105.3,U105,3,/Actual watchdog and contactor driver/START_RC,START_A_3,input
C111.1,C111,1,/Actual watchdog and contactor driver/STOP_5V,100nF_X7R_16V_10%_1,passive
C121.1,C121,1,/Actual watchdog and contactor driver/STOP_5V,100nF_X7R_16V_10%_1,passive
C122.1,C122,1,/Actual watchdog and contactor driver/STOP_5V,1uF_X7R_16V_10%_1,passive
C129.1,C129,1,/Actual watchdog and contactor driver/STOP_5V,100nF_X7R_16V_10%_1,passive
J101.2,J101,2,/Actual watchdog and contactor driver/STOP_5V,5V_TEST_OUTPUT_NO_EXT_SUPPLY_2,passive
R125.1,R125,1,/Actual watchdog and contactor driver/STOP_5V,39R_5%_250ppm/C_2W_1,passive
R180.1,R180,1,/Actual watchdog and contactor driver/STOP_5V,10k_1%_1,passive
U102.3,U102,3,/Actual watchdog and contactor driver/STOP_5V,MR_N_3,input
U102.6,U102,6,/Actual watchdog and contactor driver/STOP_5V,VDD_6,power_in
U103.5,U103,5,/Actual watchdog and contactor driver/STOP_5V,SENSE_5,input
U112.1,U112,1,/Actual watchdog and contactor driver/STOP_5V,VDD_1,power_in
U119.5,U119,5,/Actual watchdog and contactor driver/STOP_5V,VCC_5,power_in
U121.3,U121,3,/Actual watchdog and contactor driver/STOP_5V,VOUT_3,power_out
R103.1,R103,1,/Actual watchdog and contactor driver/WDI,47k_1%_1,passive
U101.6,U101,6,/Actual watchdog and contactor driver/WDI,WDI_6,input
U110.2,U110,2,/Actual watchdog and contactor driver/WDI,A_2,input
U115.4,U115,4,/Actual watchdog and contactor driver/WDI,Y_4,output
U108.3,U108,3,/Actual watchdog and contactor driver/WDI_FALL,1CLK_3,input
U110.4,U110,4,/Actual watchdog and contactor driver/WDI_FALL,Y_4,output
C301.1,C301,1,WP10_ARM_BUS_PLUS,A_1,passive
D311.2,D311,2,WP10_ARM_BUS_PLUS,K_2,passive
D312.2,D312,2,WP10_ARM_BUS_PLUS,K_2,passive
D313.2,D313,2,WP10_ARM_BUS_PLUS,K_2,passive
J203.1,J203,1,WP10_ARM_BUS_PLUS,ARM_BUS_PLUS_1,passive
R305.1,R305,1,WP10_ARM_BUS_PLUS,A_1,passive
RB301.1,RB301,1,WP10_ARM_BUS_PLUS,TERMINAL_1_1,passive
RB302.1,RB302,1,WP10_ARM_BUS_PLUS,TERMINAL_1_1,passive
RB303.1,RB303,1,WP10_ARM_BUS_PLUS,TERMINAL_1_1,passive
U21.PWR,U21,PWR,WP10_ARM_BUS_PLUS,PWR_PWR,passive
U301.10,U301,10,WP10_ARM_BUS_PLUS,IN_10,power_in
U301.11,U301,11,WP10_ARM_BUS_PLUS,IN_11,power_in
U301.8,U301,8,WP10_ARM_BUS_PLUS,SHDN_8,input
U4.VCC_REF,U4,VCC_REF,WP10_ARM_BUS_PLUS,VCC_REF_VCC_REF,passive
U7.A1(-),U7,A1(-),WP10_ARM_BUS_PLUS,A1(-)_A1(-),passive
C101.2,C101,2,WP10_ARM_RETURN,,passive
C102.2,C102,2,WP10_ARM_RETURN,,passive
C103.2,C103,2,WP10_ARM_RETURN,,passive
C110.2,C110,2,WP10_ARM_RETURN,,passive
C111.2,C111,2,WP10_ARM_RETURN,,passive
C112.2,C112,2,WP10_ARM_RETURN,,passive
C113.2,C113,2,WP10_ARM_RETURN,,passive
C114.2,C114,2,WP10_ARM_RETURN,,passive
C115.2,C115,2,WP10_ARM_RETURN,,passive
C116.2,C116,2,WP10_ARM_RETURN,,passive
C117.2,C117,2,WP10_ARM_RETURN,,passive
C118.2,C118,2,WP10_ARM_RETURN,,passive
C119.2,C119,2,WP10_ARM_RETURN,,passive
C120.2,C120,2,WP10_ARM_RETURN,,passive
C121.2,C121,2,WP10_ARM_RETURN,,passive
C122.2,C122,2,WP10_ARM_RETURN,,passive
C123.2,C123,2,WP10_ARM_RETURN,,passive
C124.2,C124,2,WP10_ARM_RETURN,,passive
C125.2,C125,2,WP10_ARM_RETURN,,passive
C126.2,C126,2,WP10_ARM_RETURN,,passive
C127.2,C127,2,WP10_ARM_RETURN,,passive
C128.2,C128,2,WP10_ARM_RETURN,,passive
C129.2,C129,2,WP10_ARM_RETURN,,passive
C204.2,C204,2,WP10_ARM_RETURN,B_2,passive
C205.2,C205,2,WP10_ARM_RETURN,B_2,passive
C206.2,C206,2,WP10_ARM_RETURN,B_2,passive
C208.2,C208,2,WP10_ARM_RETURN,B_2,passive
C209.2,C209,2,WP10_ARM_RETURN,B_2,passive
C210.2,C210,2,WP10_ARM_RETURN,B_2,passive
C301.2,C301,2,WP10_ARM_RETURN,B_2,passive
C302.2,C302,2,WP10_ARM_RETURN,B_2,passive
C303.2,C303,2,WP10_ARM_RETURN,B_2,passive
C304.2,C304,2,WP10_ARM_RETURN,B_2,passive
C305.2,C305,2,WP10_ARM_RETURN,B_2,passive
C306.2,C306,2,WP10_ARM_RETURN,B_2,passive
C307.2,C307,2,WP10_ARM_RETURN,,passive
C308.2,C308,2,WP10_ARM_RETURN,,passive
C311.2,C311,2,WP10_ARM_RETURN,B_2,passive
C312.2,C312,2,WP10_ARM_RETURN,B_2,passive
C313.2,C313,2,WP10_ARM_RETURN,B_2,passive
C314.2,C314,2,WP10_ARM_RETURN,,passive
C315.2,C315,2,WP10_ARM_RETURN,,passive
C316.2,C316,2,WP10_ARM_RETURN,,passive
C317.2,C317,2,WP10_ARM_RETURN,,passive
C318.2,C318,2,WP10_ARM_RETURN,,passive
C319.2,C319,2,WP10_ARM_RETURN,,passive
J101.4,J101,4,WP10_ARM_RETURN,RETURN_4,passive
J102.3,J102,3,WP10_ARM_RETURN,GND_3,passive
J106.2,J106,2,WP10_ARM_RETURN,RETURN_1_2,passive
J106.4,J106,4,WP10_ARM_RETURN,RETURN_2_4,passive
J106.6,J106,6,WP10_ARM_RETURN,RETURN_3_6,passive
J203.2,J203,2,WP10_ARM_RETURN,ARM_RETURN_2,passive
Q101.3,Q101,3,WP10_ARM_RETURN,S_3,passive
Q301.3,Q301,3,WP10_ARM_RETURN,S_3,passive
Q302.3,Q302,3,WP10_ARM_RETURN,S_3,passive
Q303.3,Q303,3,WP10_ARM_RETURN,S_3,passive
R102.2,R102,2,WP10_ARM_RETURN,,passive
R103.2,R103,2,WP10_ARM_RETURN,,passive
R106.2,R106,2,WP10_ARM_RETURN,,passive
R109.2,R109,2,WP10_ARM_RETURN,,passive
R110.2,R110,2,WP10_ARM_RETURN,,passive
R112.2,R112,2,WP10_ARM_RETURN,,passive
R114.2,R114,2,WP10_ARM_RETURN,,passive
R117.2,R117,2,WP10_ARM_RETURN,,passive
R118.2,R118,2,WP10_ARM_RETURN,,passive
R119.2,R119,2,WP10_ARM_RETURN,,passive
R123.2,R123,2,WP10_ARM_RETURN,,passive
R124.2,R124,2,WP10_ARM_RETURN,,passive
R125.2,R125,2,WP10_ARM_RETURN,,passive
R130.2,R130,2,WP10_ARM_RETURN,,passive
R181.2,R181,2,WP10_ARM_RETURN,,passive
R302.2,R302,2,WP10_ARM_RETURN,B_2,passive
R304.2,R304,2,WP10_ARM_RETURN,B_2,passive
R306.2,R306,2,WP10_ARM_RETURN,B_2,passive
R309.2,R309,2,WP10_ARM_RETURN,,passive
R310.2,R310,2,WP10_ARM_RETURN,,passive
