concept,condition,axis,sign,maximum_pure_axis,unit,nonzero_authority,active_jet_count
CONCEPT_12_JETS,nominal,Fx,1,0.024,N,True,2
CONCEPT_12_JETS,nominal,Fx,-1,0.024,N,True,2
CONCEPT_12_JETS,nominal,Fy,1,0.024,N,True,2
CONCEPT_12_JETS,nominal,Fy,-1,0.024,N,True,2
CONCEPT_12_JETS,nominal,Fz,1,0.024,N,True,2
CONCEPT_12_JETS,nominal,Fz,-1,0.024,N,True,2
CONCEPT_12_JETS,nominal,Tx,1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,nominal,Tx,-1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,nominal,Ty,1,0.0033600000000000006,Nm,True,2
CONCEPT_12_JETS,nominal,Ty,-1,0.0033600000000000006,Nm,True,2
CONCEPT_12_JETS,nominal,Tz,1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,nominal,Tz,-1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Fx,1,-0.0,N,False,0
CONCEPT_12_JETS,C12_J01_FAILED,Fx,-1,0.024,N,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Fy,1,0.024,N,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Fy,-1,0.024,N,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Fz,1,0.024,N,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Fz,-1,0.024,N,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Tx,1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Tx,-1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Ty,1,0.0033600000000000006,Nm,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Ty,-1,0.0033600000000000006,Nm,True,2
CONCEPT_12_JETS,C12_J01_FAILED,Tz,1,-0.0,Nm,False,0
CONCEPT_12_JETS,C12_J01_FAILED,Tz,-1,0.0019199999999999998,Nm,True,2
CONCEPT_12_JETS,C12_J02_FAILED,Fx,1,-0.0,N,False,0
CONCEPT_12_JETS,C12_J02_FAILED,Fx,-1,0.024,N,True,2
CONCEPT_12_JETS,C12_J02_FAILED,Fy,1,0.024,N,True,2
CONCEPT_12_JETS,C12_J02_FAILED,Fy,-1,0.024,N,True,2
CONCEPT_12_JETS,C12_J02_FAILED,Fz,1,0.024,N,True,2
CONCEPT_12_JETS,C12_J02_FAILED,Fz,-1,0.024,N,True,2
